"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"aceeinut  ","P",01/07/2015 12:30,1,1,1         ,1         ,"",0.0269,<0>  ,0.0226,<0>  ,"","","","",0.0061,<0>  ,3.63,<1> (CSM) ,
"aceeinut  ","P",01/07/2015 12:30,1,1,1         ,1         ,"",0.0269,<0>  ,0.0226,<0>  ,"","","","",0.0061,<0>  ,3.63,<1> (CSM) ,
"aceeinut  ","P",01/07/2015 12:31,1,1,1         ,2         ,"",0.033,<0>  ,0.0374,<0>  ,"","","","",0.0103,<0>  ,3.47,<1> (CSM) ,
"aceeinut  ","P",01/07/2015 12:31,1,1,1         ,2         ,"",0.033,<0>  ,0.0374,<0>  ,"","","","",0.0103,<0>  ,3.47,<1> (CSM) ,
"aceeinut  ","P",02/23/2015 14:00,1,1,1         ,1         ,"",0.0408,<0>  ,0.0315,<0>  ,"","","","",0.0056,<0>  ,2.01,<1> (CSM) ,
"aceeinut  ","P",02/23/2015 14:00,1,1,1         ,1         ,"",0.0408,<0>  ,0.0315,<0>  ,"","","","",0.0056,<0>  ,2.01,<1> (CSM) ,
"aceeinut  ","P",02/23/2015 14:01,1,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,1.75,<1> (CSM) ,
"aceeinut  ","P",02/23/2015 14:01,1,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,1.75,<1> (CSM) ,
"aceeinut  ","P",03/18/2015 10:45,1,1,1         ,1         ,"",0.0156,<0>  ,0.021,<0>  ,"","","","",0.0021,<-4> [SBL] ,4.02,<1> (CSM) ,
"aceeinut  ","P",03/18/2015 10:45,1,1,1         ,1         ,"",0.0156,<0>  ,0.021,<0>  ,"","","","",0.0021,<-4> [SBL] ,4.02,<1> (CSM) ,
"aceeinut  ","P",03/18/2015 10:46,1,1,1         ,2         ,"",0.0204,<0>  ,0.0217,<0>  ,"","","","",0.0021,<-4> [SBL] ,3.76,<1> (CSM) ,
"aceeinut  ","P",03/18/2015 10:46,1,1,1         ,2         ,"",0.0204,<0>  ,0.0217,<0>  ,"","","","",0.0021,<-4> [SBL] ,3.76,<1> (CSM) ,
"aceeinut  ","P",04/08/2015 12:45,1,1,1         ,1         ,"",0.0332,<0>  ,0.0020,<-4> [SBL] ,"","","","",0.0112,<0>  ,3.12,<1> (CSM) ,
"aceeinut  ","P",04/08/2015 12:45,1,1,1         ,1         ,"",0.0332,<0>  ,0.0020,<-4> [SBL] ,"","","","",0.0112,<0>  ,3.12,<1> (CSM) ,
"aceeinut  ","P",04/08/2015 12:46,1,1,1         ,2         ,"",0.04,<0>  ,0.0020,<-4> [SBL] ,"","","","",0.0086,<0>  ,3.61,<1> (CSM) ,
"aceeinut  ","P",04/08/2015 12:46,1,1,1         ,2         ,"",0.04,<0>  ,0.0020,<-4> [SBL] ,"","","","",0.0086,<0>  ,3.61,<1> (CSM) ,
"aceeinut  ","P",05/06/2015 12:45,1,1,1         ,1         ,"",0.0168,<0>  ,0.0325,<0>  ,"","","","",0.0066,<0>  ,4.2,<1> (CSM) ,
"aceeinut  ","P",05/06/2015 12:45,1,1,1         ,1         ,"",0.0168,<0>  ,0.0325,<0>  ,"","","","",0.0066,<0>  ,4.2,<1> (CSM) ,
"aceeinut  ","P",05/06/2015 12:46,1,1,1         ,2         ,"",0.0219,<0>  ,0.041,<0>  ,"","","","",0.0045,<0>  ,3.93,<1> (CSM) ,
"aceeinut  ","P",05/06/2015 12:46,1,1,1         ,2         ,"",0.0219,<0>  ,0.041,<0>  ,"","","","",0.0045,<0>  ,3.93,<1> (CSM) ,
"aceeinut  ","P",06/17/2015 10:45,1,1,1         ,1         ,"",0.025,<0>  ,0.0383,<0>  ,"","","","",0.0294,<0>  ,1.72,<1> (CSM) ,
"aceeinut  ","P",06/17/2015 10:45,1,1,1         ,1         ,"",0.025,<0>  ,0.0383,<0>  ,"","","","",0.0294,<0>  ,1.72,<1> (CSM) ,
"aceeinut  ","P",06/17/2015 10:46,1,1,1         ,2         ,"",0.0265,<0>  ,0.0445,<0>  ,"","","","",0.029,<0>  ,1.44,<1> (CSM) ,
