"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"acemcnut  ","P",01/13/2016 16:45,1,1,1         ,1         ,"",0.0663,<0>  ,0.0642,<0>  ,"","","","",0.0251,<0>  ,2.29,<0>  ,
"acemcnut  ","P",01/13/2016 16:46,1,1,1         ,2         ,"",0.0644,<0>  ,0.0539,<0>  ,"","","","",0.0255,<0>  ,2.38,<0>  ,
"acemcnut  ","P",02/10/2016 14:00,1,1,1         ,1         ,"",0.0558,<0>  ,0.0843,<0>  ,"","","","",0.0133,<0>  ,2.89,<0>  ,
"acemcnut  ","P",02/10/2016 14:01,1,1,1         ,2         ,"",0.0623,<0>  ,0.0908,<0>  ,"","","","",0.012,<0>  ,2.4,<0>  ,
"acemcnut  ","P",03/09/2016 13:45,1,1,1         ,1         ,"",0.0163,<0>  ,0.0701,<0>  ,"","","","",0.0201,<1> [SRD] (CSM) ,5.25,<0>  ,
"acemcnut  ","P",03/09/2016 13:46,1,1,1         ,2         ,"",0.027,<0>  ,0.0726,<0>  ,"","","","",0.0355,<1> [SRD] (CSM) ,5.74,<0>  ,
"acemcnut  ","P",04/06/2016 13:00,1,1,1         ,1         ,"",0.0204,<1> [SRD] (CSM) ,0.112,<0>  ,"","","","",0.059,<0>  ,5.49,<0>  ,
"acemcnut  ","P",04/06/2016 13:01,1,1,1         ,2         ,"",0.04,<1> [SRD] (CSM) ,0.121,<0>  ,"","","","",0.051,<0>  ,5.64,<0>  ,
"acemcnut  ","P",05/18/2016 11:15,1,1,1         ,1         ,"",0.038,<0>  ,0.104,<0>  ,"","","","",0.0254,<0>  ,8.81,<0>  ,
"acemcnut  ","P",05/18/2016 11:16,1,1,1         ,2         ,"",0.0374,<0>  ,0.1,<0>  ,"","","","",0.0255,<0>  ,8.23,<0>  ,
"acemcnut  ","P",06/15/2016 10:45,1,1,1         ,1         ,"",0.051,<0>  ,0.0754,<0>  ,"","","","",0.0363,<0>  ,10.15,<0>  ,
"acemcnut  ","P",06/15/2016 10:46,1,1,1         ,2         ,"",0.0347,<0>  ,0.0562,<0>  ,"","","","",0.0223,<0>  ,11.35,<0>  ,
"acemcnut  ","P",07/13/2016 9:45,1,1,1         ,1         ,"",0.0536,<0>  ,0.0201,<0>  ,"","","","",0.2739,<1> [GQS] (CSM) ,11.36,<0>  ,
"acemcnut  ","P",07/13/2016 9:46,1,1,1         ,2         ,"",0.0742,<0>  ,0.0264,<0>  ,"","","","",0.2369,<1> [GQS] (CSM) ,7.51,<0>  ,
"acemcnut  ","P",08/17/2016 11:45,1,1,1         ,1         ,"",0.0778,<0>  ,0.0206,<0>  ,"","","","",0.0954,<0>  ,11.66,<0>  ,
"acemcnut  ","P",08/17/2016 11:46,1,1,1         ,2         ,"",0.0746,<0>  ,0.0129,<0>  ,"","","","",0.0971,<0>  ,14.13,<0>  ,
"acemcnut  ","P",09/28/2016 11:55,1,1,1         ,1         ,"",0.0699,<0>  ,0.0154,<0>  ,"","","","",0.0872,<0>  ,9.92,<0>  ,
"acemcnut  ","P",09/28/2016 11:56,1,1,1         ,2         ,"",0.068,<0>  ,0.02,<0>  ,"","","","",0.0881,<0>  ,8.4,<0>  ,
"acemcnut  ","P",10/26/2016 10:45,1,1,1         ,1         ,"",0.0703,<0>  ,0.0802,<0>  ,"","","","",0.0194,<0>  ,2.16,<0>  ,
"acemcnut  ","P",10/26/2016 10:46,1,1,1         ,2         ,"",0.0596,<0>  ,0.0754,<0>  ,"","","","",0.0133,<0>  ,1.58,<0>  ,
"acemcnut  ","P",11/16/2016 15:36,1,1,1         ,1         ,"",0.0516,<0>  ,0.0379,<0>  ,"","","","",0.022,<0>  ,0.8,<0>  ,
"acemcnut  ","P",11/16/2016 15:37,1,1,1         ,2         ,"",0.0502,<0>  ,0.0381,<0>  ,"","","","",0.0219,<0>  ,0.88,<0>  ,
"acemcnut  ","P",12/14/2016 14:27,1,1,1         ,1         ,"",0.0437,<0>  ,0.05,<0>  ,"","","","",0.0315,<0>  ,0.78,<0>  ,
"acemcnut  ","P",12/14/2016 14:28,1,1,1         ,2         ,"",0.0473,<0>  ,0.0509,<0>  ,"","","","",0.0336,<0>  ,1.05,<0>  ,

