"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"acespnut  ","P",01/09/2017 11:38,1,1,2         ,1         ,"",0.0392,<0>  ,0.0649,<0>  ,"","","","",0.0252,<0>  ,1.5,<0>  ,
"acespnut  ","P",01/09/2017 13:42,1,1,2         ,1         ,"",0.0187,<0>  ,0.0409,<0>  ,"","","","",0.0166,<0>  ,3.5,<0>  ,
"acespnut  ","P",01/09/2017 15:46,1,1,2         ,1         ,"",0.0281,<0>  ,0.0205,<0>  ,"","","","",0.0211,<0>  ,5.2,<0>  ,
"acespnut  ","P",01/09/2017 17:50,1,1,2         ,1         ,"",0.0283,<0>  ,0.0209,<0>  ,"","","","",0.0348,<0>  ,5.1,<0>  ,
"acespnut  ","P",01/09/2017 19:54,1,1,2         ,1         ,"",0.0278,<0>  ,0.0205,<0>  ,"","","","",0.0247,<0>  ,3.3,<0>  ,
"acespnut  ","P",01/09/2017 21:58,1,1,2         ,1         ,"",0.0391,<0>  ,0.0499,<0>  ,"","","","",0.0239,<0>  ,1.5,<0>  ,
"acespnut  ","P",01/10/2017 0:02,1,1,2         ,1         ,"",0.0624,<0>  ,0.0856,<0>  ,"","","","",0.0242,<0>  ,1.2,<0>  ,
"acespnut  ","P",01/10/2017 2:06,1,1,2         ,1         ,"",0.0268,<0>  ,0.0341,<0>  ,"","","","",0.0293,<0>  ,3.6,<0>  ,
"acespnut  ","P",01/10/2017 4:10,1,1,2         ,1         ,"",0.0283,<0>  ,0.0154,<0>  ,"","","","",0.0254,<0>  ,1.8,<0>  ,
"acespnut  ","P",01/10/2017 6:14,1,1,2         ,1         ,"",0.0294,<0>  ,0.0119,<0>  ,"","","","",0.0277,<0>  ,1.8,<0>  ,
"acespnut  ","P",01/10/2017 8:18,1,1,2         ,1         ,"",0.0295,<0>  ,0.0166,<0>  ,"","","","",0.0316,<0>  ,2.1,<0>  ,
"acespnut  ","P",01/10/2017 10:22,1,1,2         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"acespnut  ","P",01/10/2017 12:26,1,1,2         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"acespnut  ","P",01/11/2017 10:33,1,1,1         ,1         ,"",0.0287,<0>  ,0.0197,<0>  ,"","","","",0.0268,<0>  ,0.9,<0>  ,
"acespnut  ","P",01/11/2017 10:34,1,1,1         ,2         ,"",0.0303,<0>  ,0.0254,<0>  ,"","","","",0.0288,<0>  ,1.1,<0>  ,
