"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"delbbnut  ","S",01/22/2018 7:16,1,1,1         ,1         ,"",0.016,<0>  ,0.35,<0>  ,0.01,<0>  ,0.634,<0>  ,0.644,<0>  ,1.7,<0>  ,
"delbbnut  ","S",02/07/2018 10:23,1,1,1         ,1         ,"",0.011,<0>  ,0.072,<0>  ,0.0060,<1> (CSM) ,0.464,<1> [GQS] ,0.47,<0>  ,3.3,<0>  ,
"delbbnut  ","S",03/05/2018 8:44,1,1,1         ,1         ,"",0.014,<0>  ,0.033,<0>  ,0.012,<0>  ,0.328,<0>  ,0.34,<0>  ,1.2,<0>  ,
"delbbnut  ","S",04/02/2018 7:02,1,1,1         ,1         ,"",0.011,<0>  ,0.07,<0>  ,0.0040,<-4> [SBL] ,"",<-4> [SCB] ,0.185,<0>  ,4.2,<0>  ,
"delbbnut  ","S",05/15/2018 7:16,1,1,1         ,1         ,"",0.033,<0>  ,0.139,<0>  ,0.0040,<-4> [SBL] ,"",<-4> [SCB] ,0.118,<0>  ,7.3,<0>  ,
"delbbnut  ","S",06/04/2018 8:40,1,1,1         ,1         ,"",0.044,<0>  ,0.123,<0>  ,0.018,<0>  ,0.266,<0>  ,0.284,<0>  ,11.1,<0>  ,
"delbbnut  ","S",07/02/2018 9:37,1,1,1         ,1         ,"",0.037,<0>  ,0.27,<0>  ,0.0090,<0>  ,0.096,<0>  ,0.105,<0>  ,22.8,<0>  ,
"delbbnut  ","S",08/01/2018 6:27,1,1,1         ,1         ,"",0.035,<0>  ,0.02,<0>  ,0.0050,<1> (CSM) ,0.06,<1> [GQS] ,0.065,<0>  ,75.3,<1> (CSM) ,
"delbbnut  ","S",09/18/2018 9:24,1,1,1         ,1         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,
"delbbnut  ","S",10/29/2018 8:28,1,1,1         ,1         ,"",0.027,<0>  ,0.109,<0>  ,0.22,<1> (CSM) ,1.64,<1> (CSM) ,1.86,<1> (CSM) ,3.3,<0>  ,
"delbbnut  ","S",11/26/2018 8:37,1,1,1         ,1         ,"",0.018,<0>  ,0.029,<1> (CHB) ,0.0040,<1> (CSM) ,0.27,<1> [GQS] ,0.274,<0>  ,0.6,<0>  ,
"delbbnut  ","S",12/11/2018 8:56,1,1,1         ,1         ,"",0.018,<0>  ,0.078,<0>  ,0.0040,<1> (CSM) ,0.458,<1> [GQS] ,0.462,<0>  ,1.1,<0>  ,

