"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"delblnut  ","P",01/22/2018 7:10,1,1,1         ,1         ,"",0.024,<0>  ,0.476,<1> (CSM) ,0.019,<0>  ,1.051,<0>  ,1.07,<0>  ,2.6,<0>  ,
"delblnut  ","P",02/07/2018 10:17,1,1,1         ,1         ,"",0.019,<0>  ,0.195,<0>  ,0.011,<0>  ,0.911,<0>  ,0.922,<0>  ,3.5,<0>  ,
"delblnut  ","P",03/05/2018 8:37,1,1,1         ,1         ,"",0.018,<0>  ,0.094,<0>  ,0.01,<0>  ,0.781,<0>  ,0.791,<0>  ,3.8,<0>  ,
"delblnut  ","P",04/02/2018 6:53,1,1,1         ,1         ,"",0.016,<0>  ,0.107,<0>  ,0.0090,<0>  ,0.889,<0>  ,0.898,<0>  ,10.6,<0>  ,
"delblnut  ","P",05/15/2018 7:08,1,1,1         ,1         ,"",0.038,<0>  ,0.191,<0>  ,0.017,<0>  ,0.369,<0>  ,0.386,<0>  ,62.1,<0>  ,
"delblnut  ","P",06/04/2018 8:27,1,1,1         ,1         ,"",0.066,<0>  ,0.155,<0>  ,0.028,<0>  ,0.465,<0>  ,0.493,<0>  ,27.4,<0>  ,
"delblnut  ","P",06/04/2018 8:29,1,1,1         ,2         ,"",0.067,<0>  ,0.154,<0>  ,0.028,<0>  ,0.458,<0>  ,0.486,<0>  ,27.6,<0>  ,
"delblnut  ","P",06/04/2018 8:32,1,1,1         ,3         ,"",0.063,<0>  ,0.156,<0>  ,0.029,<0>  ,0.454,<0>  ,0.483,<0>  ,27.9,<0>  ,
"delblnut  ","P",07/02/2018 9:29,1,1,1         ,1         ,"",0.016,<0>  ,0.04,<0>  ,0.0040,<-4> [SBL] ,"",<-4> [SCB] ,0.014,<1> (CSM) ,64.5,<0>  ,
"delblnut  ","P",08/01/2018 6:20,1,1,1         ,1         ,"",0.042,<0>  ,0.028,<0>  ,0.0070,<1> (CSM) ,0.094,<1> [GQS] ,0.101,<0>  ,64.7,<0>  ,
"delblnut  ","P",09/18/2018 9:14,1,1,1         ,1         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,
"delblnut  ","P",10/29/2018 8:20,1,1,1         ,1         ,"",0.042,<0>  ,0.031,<0>  ,0.0080,<0>  ,0.673,<0>  ,0.681,<0>  ,6.7,<0>  ,
"delblnut  ","P",11/26/2018 8:29,1,1,1         ,1         ,"",0.031,<0>  ,0.01,<-4> [SBL] (CHB) ,0.0040,<1> (CSM) ,0.334,<1> [GQS] ,0.338,<0>  ,1.2,<0>  ,
"delblnut  ","P",12/11/2018 8:46,1,1,1         ,1         ,"",0.019,<0>  ,0.092,<0>  ,0.0090,<0>  ,1.621,<0>  ,1.63,<0>  ,2.4,<0>  ,

