"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gtmpinut  ","P",01/16/2018 10:23,0,1,1         ,1         ,"",0.036,<0>  ,0.04,<0>  ,0.0020,<0>  ,0.032,<0>  ,0.034,<0>  ,3.6,<0>  ,
"gtmpinut  ","P",01/16/2018 10:26,0,1,1         ,2         ,"",0.036,<0>  ,0.038,<0>  ,0.0020,<-4> [SBL] ,0.028,<0>  ,0.03,<0>  ,3.4,<0>  ,
"gtmpinut  ","P",02/13/2018 9:13,0,1,1         ,1         ,"",0.032,<0>  ,0.035,<0>  ,0.0020,<0>  ,0.014,<0>  ,0.016,<0>  ,3.5,<0>  ,
"gtmpinut  ","P",02/13/2018 9:15,0,1,1         ,2         ,"",0.032,<0>  ,0.032,<0>  ,0.0020,<0>  ,0.014,<0>  ,0.016,<0>  ,2.7,<0>  ,
"gtmpinut  ","P",03/27/2018 7:17,0,1,1         ,1         ,"",0.012,<0>  ,0.014,<0>  ,0.0020,<-4> [SBL] ,0.0020,<0>  ,0.0040,<-4> [SBL] ,2.1,<0>  ,
"gtmpinut  ","P",03/27/2018 7:20,0,1,1         ,2         ,"",0.012,<0>  ,0.014,<0>  ,0.0020,<-4> [SBL] ,0.0020,<0>  ,0.0040,<-4> [SBL] ,3.3,<0>  ,
"gtmpinut  ","P",04/25/2018 7:00,0,1,1         ,1         ,"",0.015,<0>  ,0.021,<0>  ,0.0020,<-4> [SBL] ,0.0060,<0>  ,0.0080,<0>  ,5.3,<0>  ,
"gtmpinut  ","P",04/25/2018 7:02,0,1,1         ,2         ,"",0.016,<0>  ,0.02,<0>  ,0.0020,<-4> [SBL] ,0.0060,<0>  ,0.0080,<0>  ,4.2,<1> (CSM) ,
"gtmpinut  ","P",05/29/2018 9:23,0,1,1         ,1         ,"{CLE}",0.023,<0>  ,0.043,<0>  ,0.0030,<0>  ,0.0060,<0>  ,0.0090,<0>  ,6.9,<0>  ,
"gtmpinut  ","P",05/29/2018 9:24,0,1,1         ,2         ,"{CLE}",0.023,<0>  ,0.04,<0>  ,0.0030,<0>  ,0.0060,<0>  ,0.0090,<0>  ,6.7,<0>  ,
"gtmpinut  ","P",06/12/2018 8:36,0,1,1         ,1         ,"",0.045,<0>  ,0.11,<0>  ,0.0090,<0>  ,0.016,<0>  ,0.025,<0>  ,5.0,<0>  ,
"gtmpinut  ","P",06/12/2018 8:39,0,1,1         ,2         ,"",0.045,<0>  ,0.1,<0>  ,0.0080,<0>  ,0.017,<0>  ,0.025,<0>  ,5.4,<1> (CSM) ,
"gtmpinut  ","P",07/24/2018 8:17,0,1,1         ,1         ,"",0.041,<0>  ,0.037,<0>  ,0.073,<1> [SCC] ,-0.041,<-3> [SNV] ,0.032,<1> [SCC] ,4.4,<0>  ,
"gtmpinut  ","P",07/24/2018 8:19,0,1,1         ,2         ,"",0.04,<0>  ,0.036,<0>  ,0.071,<1> [SCC] ,-0.037,<-3> [SNV] ,0.034,<1> [SCC] ,4.3,<0>  ,
"gtmpinut  ","P",08/07/2018 6:38,0,1,1         ,1         ,"",0.039,<0>  ,0.019,<0>  ,0.06,<1> [SCC] ,-0.046,<-3> [SNV] ,0.014,<1> [SCC] ,11.0,<0>  ,
"gtmpinut  ","P",08/07/2018 6:39,0,1,1         ,2         ,"",0.04,<0>  ,0.017,<0>  ,0.058,<1> [SCC] ,-0.044,<-3> [SNV] ,0.014,<1> [SCC] ,11.0,<0>  ,
"gtmpinut  ","P",09/05/2018 6:26,0,1,1         ,1         ,"",0.046,<0>  ,0.037,<0>  ,0.094,<1> [SCC] ,-0.039,<-3> [SNV] ,0.055,<1> [SCC] ,3.7,<0>  ,
"gtmpinut  ","P",09/05/2018 6:30,0,1,1         ,2         ,"",0.047,<0>  ,0.035,<0>  ,0.096,<1> [SCC] ,-0.044,<-3> [SNV] ,0.052,<1> [SCC] ,3.8,<0>  ,
"gtmpinut  ","P",10/23/2018 10:34,0,1,1         ,1         ,"",0.037,<0>  ,0.058,<0>  ,0.0060,<0>  ,0.021,<0>  ,0.027,<0>  ,4.6,<0>  ,
"gtmpinut  ","P",10/23/2018 10:36,0,1,1         ,2         ,"",0.039,<0>  ,0.058,<0>  ,0.0070,<0>  ,0.015,<0>  ,0.022,<0>  ,5.4,<0>  ,
"gtmpinut  ","P",11/06/2018 9:23,0,1,1         ,1         ,"",0.024,<0>  ,0.038,<0>  ,0.0080,<0>  ,0.01,<0>  ,0.018,<0>  ,3.5,<0>  ,
"gtmpinut  ","P",11/06/2018 9:26,0,1,1         ,2         ,"",0.025,<0>  ,0.039,<0>  ,0.0080,<0>  ,0.0090,<0>  ,0.017,<0>  ,4.6,<0>  ,
"gtmpinut  ","P",12/04/2018 8:31,0,1,1         ,1         ,"",0.022,<0>  ,0.04,<0>  ,0.0020,<-4> [SBL] ,0.148,<0>  ,0.15,<0>  ,3.0,<0>  ,
"gtmpinut  ","P",12/04/2018 8:33,0,1,1         ,2         ,"",0.023,<0>  ,0.035,<0>  ,0.0020,<-4> [SBL] ,0.148,<0>  ,0.15,<0>  ,2.7,<0>  ,

