"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"niwolnut  ","P",01/02/2018 1:40,1,1,2         ,1         ,"",0.0186,<0>  ,0.0277,<0>  ,6.0E-4,<0>  ,8.0E-4,<0>  ,0.0014,<0>  ,2.15,<0>  ,
"niwolnut  ","P",01/02/2018 3:44,1,1,2         ,1         ,"",0.0173,<0>  ,0.0254,<0>  ,6.0E-4,<0>  ,0.0011,<0>  ,0.0017,<0>  ,1.82,<0>  ,
"niwolnut  ","P",01/02/2018 5:48,1,1,2         ,1         ,"",0.0097,<0>  ,0.0109,<0>  ,6.0E-4,<0>  ,8.0E-4,<0>  ,0.0014,<0>  ,3.17,<0>  ,
"niwolnut  ","P",01/02/2018 7:52,1,1,2         ,1         ,"",0.0050,<0>  ,0.0065,<0>  ,4.0E-4,<0>  ,"",<-4> [SCB] ,0.0013,<-4> [SBL] ,6.44,<0>  ,
"niwolnut  ","P",01/02/2018 9:56,1,1,2         ,1         ,"",0.0045,<0>  ,0.0055,<0>  ,3.0E-4,<0>  ,"",<-4> [SCB] ,0.0013,<-4> [SBL] ,5.44,<0>  ,
"niwolnut  ","P",01/02/2018 12:00,1,1,2         ,1         ,"",0.0069,<0>  ,0.0129,<0>  ,3.0E-4,<0>  ,"",<-4> [SCB] ,0.0013,<-4> [SBL] ,3.44,<0>  ,
"niwolnut  ","P",01/02/2018 14:04,1,1,2         ,1         ,"",0.0125,<0>  ,0.01,<0>  ,2.0E-4,<0>  ,0.0023,<0>  ,0.0025,<0>  ,2.66,<0>  ,
"niwolnut  ","P",01/02/2018 16:08,1,1,2         ,1         ,"",0.0175,<0>  ,0.0158,<0>  ,3.0E-4,<0>  ,0.0023,<0>  ,0.0026,<0>  ,2.16,<0>  ,
"niwolnut  ","P",01/02/2018 18:12,1,1,2         ,1         ,"",0.0105,<0>  ,0.0112,<0>  ,5.0E-4,<0>  ,0.0013,<0>  ,0.0018,<0>  ,2.31,<0>  ,
"niwolnut  ","P",01/02/2018 20:16,1,1,2         ,1         ,"",0.0045,<0>  ,0.0076,<0>  ,5.0E-4,<0>  ,"",<-4> [SCB] ,0.0013,<-4> [SBL] ,5.04,<0>  ,
"niwolnut  ","P",01/02/2018 22:20,1,1,2         ,1         ,"",0.0066,<0>  ,0.0067,<0>  ,1.0E-4,<0>  ,"",<-4> [SCB] ,0.0013,<-4> [SBL] ,4.14,<0>  ,
"niwolnut  ","P",01/03/2018 0:24,1,1,2         ,1         ,"",0.0114,<0>  ,0.0113,<0>  ,3.0E-4,<0>  ,0.0016,<0>  ,0.0019,<0>  ,2.37,<0>  ,
"niwolnut  ","P",01/03/2018 2:28,1,1,2         ,1         ,"",0.0188,<0>  ,0.0199,<0>  ,4.0E-4,<0>  ,0.0021,<0>  ,0.0025,<0>  ,2.41,<0>  ,
"niwolnut  ","P",01/03/2018 2:30,1,1,1         ,1         ,"",0.0198,<0>  ,0.0198,<0>  ,6.0E-4,<0>  ,0.0019,<0>  ,0.0025,<0>  ,2.33,<0>  ,
