"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"noclcnut  ","P",01/24/2018 13:50,0,1,1         ,1         ,"",0.0023,<0>  ,0.0298,<0>  ,0.0016,<-4> [SBL] ,0.0039,<-4> [SCB] ,0.0055,<-4> [SBL] ,1.95,<0>  ,
"noclcnut  ","P",02/06/2018 12:03,0,1,1         ,1         ,"",0.0021,<0>  ,0.0074,<0>  ,0.0016,<-4> [SBL] ,0.0039,<-4> [SCB] ,0.0055,<-4> [SBL] ,1.18,<0>  ,
"noclcnut  ","P",02/06/2018 12:04,0,1,1         ,2         ,"",0.0016,<-4> [SBL] ,0.0075,<0>  ,0.0016,<-4> [SBL] ,0.0039,<-4> [SCB] ,0.0055,<-4> [SBL] ,1.37,<0>  ,
"noclcnut  ","P",02/06/2018 12:05,0,1,1         ,3         ,"",0.0016,<-4> [SBL] ,0.0136,<0>  ,0.0016,<-4> [SBL] ,0.0039,<-4> [SCB] ,0.0055,<-4> [SBL] ,1.27,<0>  ,
"noclcnut  ","P",03/06/2018 12:05,0,1,1         ,1         ,"",0.0032,<0>  ,0.0142,<0>  ,0.0016,<-4> [SBL] ,0.0039,<-4> [SCB] ,0.0055,<-4> [SBL] ,1.41,<0>  ,
"noclcnut  ","P",04/03/2018 10:50,0,1,1         ,1         ,"",0.0025,<0>  ,0.0074,<0>  ,0.0016,<-4> [SBL] ,0.0039,<-4> [SCB] ,0.0055,<-4> [SBL] ,1.21,<0>  ,
"noclcnut  ","P",05/02/2018 9:55,0,1,1         ,1         ,"",0.0037,<0>  ,0.0076,<0>  ,0.0016,<-4> [SBL] ,0.0061,<-4> [SCB] ,0.0077,<0>  ,4.08,<0>  ,
"noclcnut  ","P",06/05/2018 10:56,0,1,1         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,0.0039,<-4> [SCB] ,0.0055,<-4> [SBL] ,7.1,<0>  ,
"noclcnut  ","P",07/02/2018 11:50,0,1,1         ,1         ,"",0.0056,<0>  ,0.0184,<0>  ,0.0016,<-4> [SBL] ,0.0039,<-4> [SCB] ,0.0055,<-4> [SBL] ,2.77,<0>  ,
"noclcnut  ","P",08/14/2018 11:50,0,1,1         ,1         ,"",0.0040,<0>  ,0.0145,<0>  ,0.0016,<-4> [SBL] ,0.0039,<-4> [SCB] ,0.0055,<-4> [SBL] ,3.32,<0>  ,
"noclcnut  ","P",10/24/2018 13:03,0,1,1         ,1         ,"",0.0097,<0>  ,0.0173,<0>  ,0.0084,<0>  ,0.0169,<0>  ,0.0253,<0>  ,3.49,<0>  ,
"noclcnut  ","P",11/13/2018 12:45,0,1,1         ,1         ,"",0.0063,<0>  ,0.0164,<0>  ,0.0021,<0>  ,0.0034,<-4> [SCB] ,0.0055,<-4> [SBL] ,3.35,<0>  ,
"noclcnut  ","P",12/12/2018 14:30,0,1,1         ,1         ,"",0.0059,<0>  ,0.047,<0>  ,0.0016,<-4> [SBL] ,0.0068,<-4> [SCB] ,0.0084,<0>  ,1.12,<0>  ,

