"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"nocrcnut  ","P",01/03/2017 11:28,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0213,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,4.3,<0>  ,
"nocrcnut  ","P",01/03/2017 13:32,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0348,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.81,<0>  ,
"nocrcnut  ","P",01/03/2017 15:36,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0325,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0056,<0>  ,0.86,<0>  ,
"nocrcnut  ","P",01/03/2017 17:40,0,1,2         ,1         ,"",0.0027,<0>  ,0.0522,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0077,<0>  ,1.21,<0>  ,
"nocrcnut  ","P",01/03/2017 19:44,0,1,2         ,1         ,"",0.0032,<0>  ,0.0537,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0105,<0>  ,0.92,<0>  ,
"nocrcnut  ","P",01/03/2017 21:48,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0387,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.018,<0>  ,0.98,<0>  ,
"nocrcnut  ","P",01/03/2017 23:52,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0261,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,0.89,<0>  ,
"nocrcnut  ","P",01/04/2017 1:56,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0354,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0081,<0>  ,0.87,<0>  ,
"nocrcnut  ","P",01/04/2017 4:00,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0331,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0186,<0>  ,0.5,<0>  ,
"nocrcnut  ","P",01/04/2017 6:04,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0492,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0206,<0>  ,0.36,<0>  ,
"nocrcnut  ","P",01/04/2017 8:08,0,1,2         ,1         ,"",0.0038,<0>  ,0.0509,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0425,<0>  ,0.59,<0>  ,
"nocrcnut  ","P",01/04/2017 10:12,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0342,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0168,<0>  ,2.29,<0>  ,
"nocrcnut  ","P",01/04/2017 12:16,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.023,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.29,<0>  ,
"nocrcnut  ","P",01/04/2017 13:48,0,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0235,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.7,<0>  ,
"nocrcnut  ","P",02/01/2017 11:37,0,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0239,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0606,<0>  ,2.63,<0>  ,
"nocrcnut  ","P",02/06/2017 15:27,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.017,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.97,<0>  ,
"nocrcnut  ","P",02/06/2017 17:31,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0116,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.87,<0>  ,
"nocrcnut  ","P",02/06/2017 19:35,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0094,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.8,<0>  ,
"nocrcnut  ","P",02/06/2017 21:39,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0239,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,5.7,<0>  ,
"nocrcnut  ","P",02/06/2017 23:43,0,1,2         ,1         ,"",0.0024,<0>  ,0.0276,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.52,<0>  ,
"nocrcnut  ","P",02/07/2017 1:47,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0125,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.19,<0>  ,
"nocrcnut  ","P",02/07/2017 3:51,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0111,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.78,<0>  ,
"nocrcnut  ","P",02/07/2017 5:55,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.017,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.76,<0>  ,
"nocrcnut  ","P",02/07/2017 7:59,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0203,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.79,<0>  ,
"nocrcnut  ","P",02/07/2017 10:03,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0141,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,3.17,<0>  ,
"nocrcnut  ","P",02/07/2017 12:07,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0141,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.4,<0>  ,
"nocrcnut  ","P",02/07/2017 14:11,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0117,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0256,<0>  ,20.7,<0>  ,
"nocrcnut  ","P",02/07/2017 16:15,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0169,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,7.25,<0>  ,
"nocrcnut  ","P",03/20/2017 11:33,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0223,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.67,<0>  ,
"nocrcnut  ","P",03/20/2017 13:37,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0359,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.68,<0>  ,
"nocrcnut  ","P",03/20/2017 15:41,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0278,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.75,<0>  ,
"nocrcnut  ","P",03/20/2017 17:45,0,1,2         ,1         ,"",0.0033,<0>  ,0.0813,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.42,<0>  ,
"nocrcnut  ","P",03/20/2017 19:49,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0314,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,3.57,<0>  ,
"nocrcnut  ","P",03/20/2017 21:53,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0477,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.27,<0>  ,
"nocrcnut  ","P",03/20/2017 23:57,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0206,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.12,<0>  ,
"nocrcnut  ","P",03/21/2017 2:01,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.027,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.03,<0>  ,
"nocrcnut  ","P",03/21/2017 4:05,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0245,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.6,<0>  ,
"nocrcnut  ","P",03/21/2017 6:09,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0335,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.56,<0>  ,
"nocrcnut  ","P",03/21/2017 8:13,0,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0267,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.85,<0>  ,
