event,parameter,station,date,min,max,mean,median,total,station_name
Florence,atemp,acebpmet,2018-09-12,75.38,87.62,80.8771052631579,80.87,NA,Bennett's Point (BP)
Florence,atemp,acebpmet,2018-09-13,75.2,87.44,79.78625,77,NA,Bennett's Point (BP)
Florence,atemp,acebpmet,2018-09-14,76.46,88.16,81.7625,80.87,NA,Bennett's Point (BP)
Florence,atemp,acebpmet,2018-09-15,75.02,84.56,79.28375,79.88,NA,Bennett's Point (BP)
Florence,atemp,acebpmet,2018-09-16,73.76,84.74,78.693125,76.55,NA,Bennett's Point (BP)
Florence,atemp,acebpmet,2018-09-17,79.52,87.26,83.2175,82.67,NA,Bennett's Point (BP)
Florence,atemp,acebpmet,2018-09-18,76.82,93.56,84.265625,82.31,NA,Bennett's Point (BP)
Florence,atemp,acebpmet,2018-09-19,74.48,94.1,83.354375,81.14,NA,Bennett's Point (BP)
Florence,atemp,acebpmet,2018-09-20,73.58,79.16,75.4485714285714,74.84,NA,Bennett's Point (BP)
Florence,atemp,niwolmet,2018-09-12,77,85.1,81.1613157894737,82.67,NA,Oyster Landing (OL)
Florence,atemp,niwolmet,2018-09-13,75.56,85.1,80.181875,79.88,NA,Oyster Landing (OL)
Florence,atemp,niwolmet,2018-09-14,74.3,83.12,77.76125,77.63,NA,Oyster Landing (OL)
Florence,atemp,niwolmet,2018-09-15,73.04,76.46,74.598125,74.3,NA,Oyster Landing (OL)
Florence,atemp,niwolmet,2018-09-16,75.74,82.94,79.55375,79.97,NA,Oyster Landing (OL)
Florence,atemp,niwolmet,2018-09-17,76.64,84.74,80.778125,80.96,NA,Oyster Landing (OL)
Florence,atemp,niwolmet,2018-09-18,74.84,90.14,81.99875,80.69,NA,Oyster Landing (OL)
Florence,atemp,niwolmet,2018-09-19,76.46,84.74,81.018125,80.96,NA,Oyster Landing (OL)
Florence,atemp,niwolmet,2018-09-20,75.38,81.68,78.14,77.36,NA,Oyster Landing (OL)
Florence,atemp,nocrcmet,2018-09-12,74.84,87.08,81.5663157894737,83.03,NA,Research Creek (RC)
Florence,atemp,nocrcmet,2018-09-13,74.48,84.38,79.465625,78.71,NA,Research Creek (RC)
Florence,atemp,nocrcmet,2018-09-14,74.48,78.62,76.608125,77.54,NA,Research Creek (RC)
Florence,atemp,nocrcmet,2018-09-15,76.1,78.8,77.21375,77.18,NA,Research Creek (RC)
Florence,atemp,nocrcmet,2018-09-16,74.84,80.24,77.45375,77.63,NA,Research Creek (RC)
Florence,atemp,nocrcmet,2018-09-17,76.46,86,80.85125,80.06,NA,Research Creek (RC)
Florence,atemp,nocrcmet,2018-09-18,79.52,88.88,82.18625,80.42,NA,Research Creek (RC)
Florence,atemp,nocrcmet,2018-09-19,72.68,92.12,79.120625,75.38,NA,Research Creek (RC)
Florence,atemp,nocrcmet,2018-09-20,73.76,79.16,76.2371428571429,76.28,NA,Research Creek (RC)
Florence,bp,acebpmet,2018-09-12,30.0023623907394,30.090952043468,30.0388861949345,30.0318922749823,NA,Bennett's Point (BP)
Florence,bp,acebpmet,2018-09-13,29.9137727380109,30.0318922749823,29.985444227892,30.0023623907394,NA,Bennett's Point (BP)
Florence,bp,acebpmet,2018-09-14,29.677533664068,29.9433026222537,29.8159549964564,29.8251830852823,NA,Bennett's Point (BP)
Florence,bp,acebpmet,2018-09-15,29.5889440113395,29.677533664068,29.6197043074258,29.6184738955823,NA,Bennett's Point (BP)
