event,parameter,station,date,min,max,mean,median,station_name
Florence,cdepth,aceeiwq,2018-09-12,4.9868768,12.5328088,8.40154053684211,8.120079,Edisto Island (EI)
Florence,cdepth,aceeiwq,2018-09-13,5.4790028,12.3687668,9.21130005416667,9.6128612,Edisto Island (EI)
Florence,cdepth,aceeiwq,2018-09-14,4.3635172,11.7782156,8.4122788125,8.7598428,Edisto Island (EI)
Florence,cdepth,aceeiwq,2018-09-15,4.2979004,10.7283468,7.57463935,7.7427824,Edisto Island (EI)
Florence,cdepth,aceeiwq,2018-09-16,5.6430448,11.8438324,9.03837244583333,9.2191604,Edisto Island (EI)
Florence,cdepth,aceeiwq,2018-09-17,6.2664044,11.2532812,8.97651494166667,9.1207352,Edisto Island (EI)
Florence,cdepth,aceeiwq,2018-09-18,5.9383204,10.826772,8.4430366875,8.5629924,Edisto Island (EI)
Florence,cdepth,aceeiwq,2018-09-19,5.6430448,10.8923888,8.27933644166667,8.3825462,Edisto Island (EI)
Florence,cdepth,aceeiwq,2018-09-20,5.8727036,8.8910764,6.83039641904762,6.5288716,Edisto Island (EI)
Florence,cdepth,acefcwq,2018-09-12,4.1994752,11.318898,8.22627461052632,8.6450134,Fishing Creek (FC)
Florence,cdepth,acefcwq,2018-09-13,4.4947508,11.1876644,8.73250246666667,9.4160108,Fishing Creek (FC)
Florence,cdepth,acefcwq,2018-09-14,2.952756,10.66273,7.6802413875,8.3005252,Fishing Creek (FC)
Florence,cdepth,acefcwq,2018-09-15,2.9855644,9.84252,6.6283220625,6.889764,Fishing Creek (FC)
Florence,cdepth,acefcwq,2018-09-16,4.2979004,10.826772,8.28036170416667,8.7926512,Fishing Creek (FC)
Florence,cdepth,acefcwq,2018-09-17,5.2165356,10.4002628,8.22533928333333,8.6450134,Fishing Creek (FC)
Florence,cdepth,acefcwq,2018-09-18,4.757218,9.9409452,7.625902475,7.8576118,Fishing Creek (FC)
Florence,cdepth,acefcwq,2018-09-19,4.5275592,10.2034124,7.48441625,7.6115488,Fishing Creek (FC)
Florence,cdepth,acefcwq,2018-09-20,4.7244096,9.3175856,6.46637940952381,5.905512,Fishing Creek (FC)
Florence,cdepth,acegpwq,2018-09-12,7.5787404,14.2388456,11.2107189513514,11.3681106,Grove Plantation (GP)
Florence,cdepth,acegpwq,2018-09-13,7.7427824,14.0748036,11.6903847791667,12.139108,Grove Plantation (GP)
Florence,cdepth,acegpwq,2018-09-14,6.9881892,13.6482944,10.7355236375,11.0400266,Grove Plantation (GP)
Florence,cdepth,acegpwq,2018-09-15,5.7742784,12.8608928,9.4744507625,9.6620738,Grove Plantation (GP)
Florence,cdepth,acegpwq,2018-09-16,7.1194228,13.779528,11.06053185,11.5813652,Grove Plantation (GP)
Florence,cdepth,acegpwq,2018-09-17,7.9068244,13.3530188,11.1141872541667,11.4501316,Grove Plantation (GP)
Florence,cdepth,acegpwq,2018-09-18,7.4475068,12.959318,10.5058648375,10.6955384,Grove Plantation (GP)
Florence,cdepth,acegpwq,2018-09-19,7.1522312,12.9921264,10.2495492125,10.252625,Grove Plantation (GP)
Florence,cdepth,acegpwq,2018-09-20,7.38189,12.1719164,9.49412603809524,9.3175856,Grove Plantation (GP)
Florence,cdepth,acejiwq,2018-09-12,11.9094492,19.0944888,15.5451379473684,15.5675858,Jehossee Island (JI)
Florence,cdepth,acejiwq,2018-09-13,12.2047248,18.9304468,16.1940211875,16.6994756,Jehossee Island (JI)
Florence,cdepth,acejiwq,2018-09-14,10.826772,18.4383208,15.2818793166667,15.666011,Jehossee Island (JI)
Florence,cdepth,acejiwq,2018-09-15,10.5314964,17.4868772,14.1944175583333,14.4028876,Jehossee Island (JI)
Florence,cdepth,acejiwq,2018-09-16,11.8438324,18.536746,15.7893842541667,16.1745412,Jehossee Island (JI)
Florence,cdepth,acejiwq,2018-09-17,12.795276,18.04462,15.7897260083333,16.0597118,Jehossee Island (JI)
Florence,cdepth,acejiwq,2018-09-18,12.4015752,17.6837276,15.21899655,15.4363522,Jehossee Island (JI)
Florence,cdepth,acejiwq,2018-09-19,12.139108,17.7821528,15.0423096458333,15.091864,Jehossee Island (JI)
Florence,cdepth,acejiwq,2018-09-20,12.2703416,16.4042,13.8388955809524,13.451444,Jehossee Island (JI)
Florence,cdepth,acemcwq,2018-09-12,9.5472444,16.3713916,13.0637868526316,13.1725726,Mosquito Creek (MC)
Florence,cdepth,acemcwq,2018-09-13,9.8097116,16.2073496,13.683153325,14.2060372,Mosquito Creek (MC)
Florence,cdepth,acemcwq,2018-09-14,8.4973756,15.7808404,12.7928837208333,13.205381,Mosquito Creek (MC)
Florence,cdepth,acemcwq,2018-09-15,8.1692916,14.8293968,11.6750058416667,11.893045,Mosquito Creek (MC)
Florence,cdepth,acemcwq,2018-09-16,9.4160108,15.8464572,13.2371641375,13.6482944,Mosquito Creek (MC)
Florence,cdepth,acemcwq,2018-09-17,10.4330712,15.419948,13.2699725375,13.5498692,Mosquito Creek (MC)
Florence,cdepth,acemcwq,2018-09-18,10.006562,15.0262472,12.70915395,12.8937012,Mosquito Creek (MC)
Florence,cdepth,acemcwq,2018-09-19,9.8097116,15.255906,12.5621996583333,12.5820214,Mosquito Creek (MC)
Florence,cdepth,acemcwq,2018-09-20,10.006562,13.9107616,11.4282593333333,10.990814,Mosquito Creek (MC)
Florence,cdepth,acespwq,2018-09-12,2.7559056,10.1377956,6.10797436315789,5.823491,St. Pierre (SP)
Florence,cdepth,acespwq,2018-09-13,3.1824148,9.9409452,6.88942224583333,7.3162732,St. Pierre (SP)
Florence,cdepth,acespwq,2018-09-14,2.0341208,9.4160108,6.06203540833333,6.4140422,St. Pierre (SP)
Florence,cdepth,acespwq,2018-09-15,1.9028872,8.3005252,5.189878775,5.3641734,St. Pierre (SP)
Florence,cdepth,acespwq,2018-09-16,3.2480316,9.4816276,6.69052132083333,6.8569556,St. Pierre (SP)
Florence,cdepth,acespwq,2018-09-17,3.9698164,8.858268,6.63994170416667,6.7749346,St. Pierre (SP)
Florence,cdepth,acespwq,2018-09-18,3.608924,8.4645672,6.10099538333333,6.2171918,St. Pierre (SP)
Florence,cdepth,acespwq,2018-09-19,3.4120736,8.694226,5.99607685416667,6.0859582,St. Pierre (SP)
Florence,cdepth,acespwq,2018-09-20,3.608924,6.6601052,4.5916136952381,4.3635172,St. Pierre (SP)
Florence,cdepth,niwcbwq,2018-09-12,2.7559056,8.3005252,5.26963340526316,5.0688978,Clambank (CB)
Florence,cdepth,niwcbwq,2018-09-13,2.7230972,8.0052496,5.6912321375,5.8727036,Clambank (CB)
Florence,cdepth,niwcbwq,2018-09-14,0.656168,6.4632548,3.64241590833333,3.8057744,Clambank (CB)
Florence,cdepth,niwcbwq,2018-09-15,1.3451444,8.2349084,5.29411379583333,5.3805776,Clambank (CB)
Florence,cdepth,niwcbwq,2018-09-16,4.2979004,8.1364832,6.18609217083333,6.1679792,Clambank (CB)
Florence,cdepth,niwcbwq,2018-09-17,3.3136484,6.8569556,5.28249415416667,5.2821524,Clambank (CB)
Florence,cdepth,niwcbwq,2018-09-18,2.3622048,6.0367456,4.26953480416667,4.3963256,Clambank (CB)
Florence,cdepth,niwcbwq,2018-09-19,2.2309712,6.3648296,4.1943488875,4.183071,Clambank (CB)
Florence,cdepth,niwcbwq,2018-09-20,2.3950132,4.92126,3.27615308571429,2.9855644,Clambank (CB)
