event,reserve_code,station,station_name,parameter,min,max,mean,median
Florence,ace,acefcwq,Fishing Creek (FC),cdepth,2.952756,11.318898,7.81283622678804,8.2021
Florence,ace,acemcwq,Mosquito Creek (MC),cdepth,8.1692916,16.3713916,12.8297482850455,13.0905516
Florence,ace,acespwq,St. Pierre (SP),cdepth,1.9028872,10.1377956,6.16806452743823,6.2664044
Florence,ace,aceeiwq,Edisto Island (EI),cdepth,4.2979004,12.5328088,8.49903948504551,8.5958008
Florence,ace,acegpwq,Grove Plantation (GP),cdepth,5.7742784,14.2388456,10.7075581658409,10.9580056
Florence,ace,acejiwq,Jehossee Island (JI),cdepth,10.5314964,19.0944888,15.3356018273082,15.5511816
Florence,niw,niwcbwq,Clambank (CB),cdepth,0.656168,8.3005252,4.92467309752926,4.9868768
Florence,niw,niwdcwq,Debidue Creek (DC),cdepth,4.429134,11.975066,8.77618300442133,8.858268
Florence,niw,niwolwq,Oyster Landing (OL),cdepth,3.7073492,8.0052496,5.79742891601732,5.905512
Florence,niw,niwtawq,Thousand Acre (TA),cdepth,5.1181104,10.9580056,8.41447999375813,8.4317588
Florence,niw,niwwswq,Winyah Bay Surface (WS),cdepth,-0.0328084,5.9711288,3.27358716775033,3.28084
Florence,niw,niwwbwq,Winyah Bay Bottom (WB),cdepth,14.0419952,19.2257224,16.5685978394794,16.6338588
Florence,noc,nocrcwq,Research Creek (RC),cdepth,4.8556432,13.615486,7.87111486710013,7.7427824
Florence,noc,noczbwq,Zeke's Basin (ZB),cdepth,0.1968504,6.725722,2.87805182782835,2.8543308
Florence,niw,niwolwq,Oyster Landing (OL),chlfluor,6.8,26.9,16.2021645021645,16.5
Florence,niw,niwwswq,Winyah Bay Surface (WS),chlfluor,4.6,56.9,13.9488946684005,10.7
Florence,noc,nocrcwq,Research Creek (RC),chlfluor,4.4,80.5,10.8353706111834,9.4
Florence,ace,acefcwq,Fishing Creek (FC),depth,2.6574804,11.5157484,7.76287701170351,8.1036748
Florence,ace,acemcwq,Mosquito Creek (MC),depth,7.8412076,16.5354336,12.779789069961,12.9921264
Florence,ace,acespwq,St. Pierre (SP),depth,1.5748032,10.334646,6.11810531235371,6.2007876
Florence,ace,aceeiwq,Edisto Island (EI),depth,3.9698164,12.7296592,8.44908026996099,8.5629924
Florence,ace,acegpwq,Grove Plantation (GP),depth,5.4461944,14.435696,10.6571264792699,10.8595804
Florence,ace,acejiwq,Jehossee Island (JI),depth,10.2034124,19.2585308,15.2856426122237,15.5183732
Florence,niw,niwcbwq,Clambank (CB),depth,0.2952756,8.4973756,4.81912305643693,4.8228348
Florence,niw,niwdcwq,Debidue Creek (DC),depth,4.0682416,12.0734912,8.670632963329,8.7270344
Florence,niw,niwolwq,Oyster Landing (OL),depth,3.7073492,8.038058,5.81944321038961,5.905512
Florence,niw,niwtawq,Thousand Acre (TA),depth,4.7244096,10.8595804,8.3089299526658,8.3333336
Florence,niw,niwwswq,Winyah Bay Surface (WS),depth,-0.6889764,5.8727036,3.168037126658,3.1824148
Florence,niw,niwwbwq,Winyah Bay Bottom (WB),depth,13.6811028,18.9632552,16.444623364859,16.4370084
Florence,noc,nocrcwq,Research Creek (RC),depth,5.0196852,12.5000004,7.74231309908973,7.6115488
Florence,noc,noczbwq,Zeke's Basin (ZB),depth,0.0656168,5.7742784,2.74925005981795,2.7230972
Florence,ace,acefcwq,Fishing Creek (FC),do_mgl,1.4,5.5,3.69388816644994,3.6
Florence,ace,acemcwq,Mosquito Creek (MC),do_mgl,2.4,6,4.44551365409623,4.4
Florence,ace,acespwq,St. Pierre (SP),do_mgl,1,6.7,4.25903771131339,4.5
Florence,ace,aceeiwq,Edisto Island (EI),do_mgl,2,6.7,4.87334200260078,5
Florence,ace,acegpwq,Grove Plantation (GP),do_mgl,3.4,6.8,5.59128738621586,5.8
Florence,ace,acejiwq,Jehossee Island (JI),do_mgl,2.4,6.4,4.90845253576073,5.5
Florence,niw,niwcbwq,Clambank (CB),do_mgl,2.1,6.6,4.81898569570871,5.1
Florence,niw,niwdcwq,Debidue Creek (DC),do_mgl,2.6,6.6,5.01014304291287,5.2
Florence,niw,niwolwq,Oyster Landing (OL),do_mgl,1.8,6.1,3.57272727272727,3.7
Florence,niw,niwtawq,Thousand Acre (TA),do_mgl,1,7.4,4.52106631989597,4.5
Florence,niw,niwwswq,Winyah Bay Surface (WS),do_mgl,2.1,8.9,5.32522756827048,5.7
Florence,niw,niwwbwq,Winyah Bay Bottom (WB),do_mgl,2.1,6.7,5.05214564369311,5.3
Florence,noc,nocrcwq,Research Creek (RC),do_mgl,3.3,7,5.7446033810143,6
Florence,noc,noczbwq,Zeke's Basin (ZB),do_mgl,1.6,7.5,5.69141742522757,6
Florence,ace,acefcwq,Fishing Creek (FC),do_pct,19.8,77.2,50.6286085825748,49.9
Florence,ace,acemcwq,Mosquito Creek (MC),do_pct,34.7,86.4,63.1353706111834,61.1
Florence,ace,acespwq,St. Pierre (SP),do_pct,15.4,104.9,65.6148244473342,69
Florence,ace,aceeiwq,Edisto Island (EI),do_pct,30.8,103.8,74.7269180754226,76.2
Florence,ace,acegpwq,Grove Plantation (GP),do_pct,46.7,86.7,71.1576072821847,73.7
Florence,ace,acejiwq,Jehossee Island (JI),do_pct,36.7,92.1,69.0867360208062,76
