"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"aceeinut  ","P",01/11/2017 12:27,1,1,1         ,1         ,"",0.0228,<0>  ,0.0262,<0>  ,"","","","",0.0173,<0>  ,3.2,<0>  ,
"aceeinut  ","P",01/11/2017 12:27,1,1,1         ,1         ,"",0.0228,<0>  ,0.0262,<0>  ,"","","","",0.0173,<0>  ,3.2,<0>  ,
"aceeinut  ","P",01/11/2017 12:29,1,1,1         ,2         ,"",0.0303,<0>  ,0.0225,<0>  ,"","","","",0.028,<0>  ,3.4,<0>  ,
"aceeinut  ","P",01/11/2017 12:29,1,1,1         ,2         ,"",0.0303,<0>  ,0.0225,<0>  ,"","","","",0.028,<0>  ,3.4,<0>  ,
"aceeinut  ","P",02/08/2017 9:10,1,1,1         ,1         ,"",0.0231,<0>  ,0.0273,<0>  ,"","","","",0.0135,<0>  ,4.6,<0>  ,
"aceeinut  ","P",02/08/2017 9:10,1,1,1         ,1         ,"",0.0231,<0>  ,0.0273,<0>  ,"","","","",0.0135,<0>  ,4.6,<0>  ,
"aceeinut  ","P",02/08/2017 9:11,1,1,1         ,2         ,"",0.0215,<0>  ,0.0229,<0>  ,"","","","",0.0101,<0>  ,4.4,<0>  ,
"aceeinut  ","P",02/08/2017 9:11,1,1,1         ,2         ,"",0.0215,<0>  ,0.0229,<0>  ,"","","","",0.0101,<0>  ,4.4,<0>  ,
"aceeinut  ","P",03/08/2017 10:13,1,1,1         ,1         ,"",0.0253,<0>  ,0.0171,<0>  ,"","","","",0.0288,<0>  ,3.6,<0>  ,
"aceeinut  ","P",03/08/2017 10:13,1,1,1         ,1         ,"",0.0253,<0>  ,0.0171,<0>  ,"","","","",0.0288,<0>  ,3.6,<0>  ,
"aceeinut  ","P",03/08/2017 10:14,1,1,1         ,2         ,"",0.0241,<0>  ,0.014,<0>  ,"","","","",0.0267,<0>  ,4.0,<0>  ,
