"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"delbbnut  ","S",01/28/2019 11:41,0,1,1         ,1         ,"",0.011,<0>  ,0.075,<0>  ,0.0040,<-4> [SBL] ,"",<-4> [SCB] ,0.384,<0>  ,1.0,<0>  ,
"delbbnut  ","S",02/25/2019 10:25,0,1,1         ,1         ,"",0.012,<0>  ,0.092,<0>  ,0.0040,<-4> [SBL] ,"",<-4> [SCB] ,0.27,<0>  ,3.0,<0>  ,
"delbbnut  ","S",03/05/2019 6:28,0,1,1         ,1         ,"",0.014,<0>  ,0.034,<0>  ,0.0040,<-4> [SBL] ,"",<-4> [SCB] ,0.248,<0>  ,1.7,<0>  ,
"delbbnut  ","S",04/08/2019 9:23,0,1,1         ,1         ,"",0.012,<0>  ,0.046,<0>  ,0.0080,<0>  ,0.132,<0>  ,0.14,<0>  ,14.6,<0>  ,
"delbbnut  ","S",05/30/2019 5:10,0,1,1         ,1         ,"",0.046,<0>  ,0.3,<1> (CSM) ,0.017,<0>  ,0.263,<0>  ,0.28,<0>  ,23.4,<0>  ,
"delbbnut  ","S",06/03/2019 6:46,0,1,1         ,1         ,"",0.029,<0>  ,0.149,<0>  ,0.015,<0>  ,0.181,<0>  ,0.196,<0>  ,60.5,<1> [SRD] ,
"delbbnut  ","S",07/01/2019 6:51,0,1,1         ,1         ,"",0.022,<0>  ,0.063,<0>  ,0.0040,<-4> [SBL] ,"",<-4> [SCB] ,0.022,<0>  ,297.0,<0>  ,
"delbbnut  ","S",08/19/2019 8:20,0,1,1         ,1         ,"",0.0080,<1> (CSM) ,0.032,<0>  ,0.0040,<-4> [SBL] ,"",<-4> [SCB] ,0.0040,<-4> [SBL] ,69.8,<0>  ,
"delbbnut  ","S",09/17/2019 8:28,0,1,1         ,1         ,"",0.0080,<1> (CSM) ,0.0050,<-4> [SBL] ,0.0040,<-4> [SBL] ,"",<-4> [SCB] ,0.0040,<-4> [SBL] ,116.0,<0>  ,
"delbbnut  ","S",10/28/2019 8:03,0,1,1         ,1         ,"",0.02,<0>  ,0.196,<0>  ,0.021,<0>  ,0.579,<0>  ,0.6,<0>  ,9.9,<0>  ,
"delbbnut  ","S",11/18/2019 10:01,0,1,1         ,1         ,"",0.0070,<1> (CSM) ,0.048,<0>  ,0.0080,<0>  ,0.345,<0>  ,0.353,<0>  ,12.0,<0>  ,
"delbbnut  ","S",12/16/2019 9:21,0,1,1         ,3         ,"",0.015,<0>  ,0.15,<0>  ,0.0050,<1> (CSM) ,0.45,<1> [GQS] ,0.455,<0>  ,5.5,<0>  ,

