"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"delblnut  ","P",01/13/2020 8:28,0,1,1         ,1         ,"",0.025,<0>  ,0.135,<1> (CHB) ,0.016,<0>  ,1.004,<0>  ,1.02,<0>  ,37.5,<0>  ,
"delblnut  ","P",02/25/2020 8:02,0,1,1         ,1         ,"",0.015,<0>  ,0.105,<0>  ,0.012,<0>  ,1.078,<0>  ,1.09,<1> (CSM) ,23.3,<0>  ,
"delblnut  ","P",03/02/2020 8:37,0,1,1         ,1         ,"",0.024,<0>  ,0.155,<0>  ,0.013,<0>  ,0.814,<0>  ,0.827,<0>  ,29.0,<0>  ,
"delblnut  ","P",04/28/2020 10:16,0,1,1         ,1         ,"",0.018,<0>  ,0.031,<0>  ,0.0050,<1> [SRD] (CSM) ,0.532,<1> [SRD] ,0.537,<1> [SRD] ,30.2,<0>  ,
"delblnut  ","P",04/28/2020 10:19,0,1,1         ,2         ,"",0.018,<0>  ,0.033,<0>  ,0.016,<1> [SRD] ,0.637,<1> [SRD] ,0.653,<1> [SRD] ,28.4,<0>  ,
"delblnut  ","P",04/28/2020 10:22,0,1,1         ,3         ,"",0.02,<0>  ,0.032,<0>  ,0.015,<1> [SRD] ,0.645,<1> [SRD] ,0.66,<1> [SRD] ,30.4,<0>  ,
"delblnut  ","P",05/26/2020 8:18,0,1,1         ,1         ,"",0.012,<0>  ,0.036,<0>  ,0.011,<0>  ,0.209,<0>  ,0.22,<0>  ,119.0,<0>  ,
"delblnut  ","P",06/08/2020 8:14,0,1,1         ,1         ,"",0.029,<0>  ,0.024,<1> (CHB) ,0.011,<0>  ,0.101,<0>  ,0.112,<0>  ,69.5,<0>  ,
"delblnut  ","P",07/06/2020 7:36,0,1,1         ,1         ,"",0.014,<0>  ,0.037,<1> (CHB) ,0.0070,<1> (CSM) ,0.0050,<1> [GQS] ,0.012,<1> (CSM) ,78.3,<0>  ,
"delblnut  ","P",08/10/2020 7:33,0,1,1         ,1         ,"",0.064,<0>  ,0.098,<1> [SRD] ,0.01,<0>  ,0.171,<0>  ,0.181,<0>  ,53.8,<0>  ,
"delblnut  ","P",08/10/2020 7:36,0,1,1         ,2         ,"",0.068,<0>  ,0.063,<1> [SRD] ,0.01,<0>  ,0.174,<0>  ,0.184,<0>  ,54.3,<0>  ,
"delblnut  ","P",08/10/2020 7:39,0,1,1         ,3         ,"",0.068,<0>  ,0.073,<1> [SRD] ,0.0090,<1> (CSM) ,0.176,<1> [GQS] ,0.185,<0>  ,52.8,<0>  ,
"delblnut  ","P",09/08/2020 7:53,0,1,1         ,1         ,"",0.014,<0>  ,0.029,<0>  ,0.0040,<-4> [SBL] ,"",<-4> [SCB] ,0.011,<0>  ,73.8,<0>  ,
"delblnut  ","P",10/05/2020 8:29,0,1,1         ,1         ,"",0.016,<0>  ,0.028,<0>  ,0.0090,<1> (CSM) ,0.134,<1> [GQS] ,0.143,<0>  ,267.0,<1> (CSM) ,
"delblnut  ","P",11/09/2020 9:32,0,1,1         ,1         ,"",0.034,<0>  ,0.237,<1> (CHB) ,0.015,<0>  ,0.743,<0>  ,0.758,<0>  ,9.5,<0>  ,
"delblnut  ","P",12/07/2020 6:43,0,1,1         ,1         ,"",0.054,<0>  ,0.111,<0>  ,0.014,<1> (CHB) ,1.186,<1> (CHB) ,1.2,<1> (CHB) ,3.3,<0>  ,

