"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"deldsnut  ","P",01/13/2020 7:16,0,1,1         ,1         ,"",0.024,<0>  ,0.032,<1> (CHB) ,0.0070,<1> (CSM) ,0.247,<1> [GQS] ,0.254,<0>  ,109.0,<1> (CSM) ,
"deldsnut  ","P",02/25/2020 6:43,0,1,1         ,1         ,"",0.023,<0>  ,0.029,<0>  ,0.0080,<1> (CSM) ,0.533,<1> [GQS] ,0.541,<0>  ,16.3,<0>  ,
"deldsnut  ","P",03/02/2020 7:23,0,1,1         ,1         ,"",0.02,<0>  ,0.018,<1> (CSM) ,0.0070,<1> (CSM) ,0.696,<1> [GQS] ,0.703,<0>  ,35.0,<0>  ,
"deldsnut  ","P",04/28/2020 7:43,0,1,1         ,1         ,"",0.032,<0>  ,0.046,<0>  ,0.017,<0>  ,0.318,<0>  ,0.335,<0>  ,34.1,<0>  ,
"deldsnut  ","P",05/26/2020 6:57,0,1,1         ,1         ,"",0.028,<0>  ,0.068,<0>  ,0.011,<0>  ,0.106,<0>  ,0.117,<0>  ,31.4,<0>  ,
"deldsnut  ","P",06/08/2020 7:42,0,1,1         ,1         ,"",0.046,<0>  ,0.084,<1> (CHB) ,0.0060,<1> (CSM) ,0.091,<1> [GQS] ,0.097,<0>  ,21.1,<0>  ,
"deldsnut  ","P",07/06/2020 6:12,0,1,1         ,1         ,"",0.026,<0>  ,0.193,<1> (CHB) ,0.014,<0>  ,0.104,<0>  ,0.118,<0>  ,44.8,<0>  ,
"deldsnut  ","P",08/10/2020 6:20,0,1,1         ,1         ,"",0.142,<0>  ,0.142,<0>  ,0.012,<0>  ,0.21,<0>  ,0.222,<0>  ,4.6,<0>  ,
"deldsnut  ","P",09/08/2020 6:13,0,1,1         ,1         ,"",0.09,<0>  ,0.111,<0>  ,0.015,<0>  ,0.245,<0>  ,0.26,<0>  ,19.1,<0>  ,
"deldsnut  ","P",10/05/2020 7:08,0,1,1         ,1         ,"",0.083,<0>  ,0.212,<0>  ,0.012,<0>  ,0.267,<0>  ,0.279,<0>  ,7.7,<0>  ,
"deldsnut  ","P",11/09/2020 7:37,0,1,1         ,1         ,"",0.081,<0>  ,0.055,<1> (CHB) ,0.0080,<1> (CSM) ,0.558,<1> [GQS] ,0.566,<0>  ,5.2,<0>  ,
"deldsnut  ","P",12/07/2020 6:35,0,1,1         ,3         ,"",0.063,<0>  ,0.123,<0>  ,0.016,<1> (CHB) ,1.064,<1> (CHB) ,1.08,<1> (CHB) ,2.9,<0>  ,

