"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"delllnut  ","P",01/05/2017 8:42,1,1,1         ,1         ,"",0.017,<0>  ,0.063,<0>  ,0.013,<0>  ,1.687,<0>  ,1.7,<0>  ,63.4,<0>  ,
"delllnut  ","P",02/06/2017 9:52,1,1,1         ,1         ,"",0.044,<0>  ,0.271,<0>  ,0.024,<0>  ,2.086,<0>  ,2.11,<0>  ,6.0,<0>  ,
"delllnut  ","P",03/06/2017 10:37,1,1,1         ,1         ,"",0.016,<0>  ,0.089,<0>  ,0.024,<0>  ,1.846,<0>  ,1.87,<0>  ,48.8,<0>  ,
"delllnut  ","P",04/03/2017 8:22,1,1,1         ,1         ,"",0.017,<0>  ,0.084,<0>  ,0.014,<0>  ,1.246,<0>  ,1.26,<0>  ,22.1,<0>  ,
"delllnut  ","P",05/01/2017 8:29,1,1,1         ,1         ,"",0.0060,<1> (CSM) ,0.058,<0>  ,0.016,<0>  ,0.392,<0>  ,0.408,<0>  ,90.1,<0>  ,
"delllnut  ","P",06/13/2017 7:24,1,1,1         ,1         ,"",0.021,<0>  ,0.171,<0>  ,0.028,<0>  ,0.499,<0>  ,0.527,<0>  ,44.9,<0>  ,
"delllnut  ","P",06/13/2017 7:27,1,1,1         ,2         ,"",0.021,<0>  ,0.17,<0>  ,0.028,<0>  ,0.496,<0>  ,0.524,<0>  ,45.7,<0>  ,
"delllnut  ","P",06/13/2017 7:30,1,1,1         ,3         ,"",0.019,<0>  ,0.17,<0>  ,0.027,<0>  ,0.479,<0>  ,0.506,<0>  ,49.2,<0>  ,
"delllnut  ","P",07/18/2017 8:37,1,1,1         ,1         ,"",0.077,<0>  ,0.19,<0>  ,0.014,<0>  ,0.16,<0>  ,0.174,<0>  ,20.4,<0>  ,
"delllnut  ","P",08/14/2017 8:03,1,1,1         ,1         ,"",0.03,<0>  ,0.087,<0>  ,0.01,<0>  ,0.249,<0>  ,0.259,<0>  ,80.5,<0>  ,
"delllnut  ","P",09/19/2017 4:36,1,1,1         ,1         ,"",0.036,<0>  ,0.173,<0>  ,0.015,<0>  ,0.415,<0>  ,0.43,<0>  ,2.3,<0>  ,
"delllnut  ","P",10/24/2017 6:39,1,1,1         ,1         ,"",0.038,<0>  ,0.123,<0>  ,0.016,<0>  ,0.846,<0>  ,0.862,<0>  ,6.3,<0>  ,
"delllnut  ","P",11/07/2017 6:14,1,1,1         ,1         ,"",0.014,<0>  ,0.088,<0>  ,0.012,<0>  ,0.683,<0>  ,0.695,<0>  ,14.9,<0>  ,
"delllnut  ","P",12/11/2017 7:19,1,1,1         ,1         ,"",0.031,<0>  ,0.166,<0>  ,0.018,<0>  ,1.312,<0>  ,1.33,<0>  ,3.8,<0>  ,

