"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"delslnut  ","P",01/04/2016 10:39,1,1,1         ,1         ,"",0.0547,<0>  ,0.1876,<0>  ,0.0304,<0>  ,1.1022,<0>  ,1.1326,<0>  ,5.51,<0>  ,
"delslnut  ","P",02/29/2016 8:34,1,1,1         ,1         ,"",0.0326,<0>  ,0.1617,<0>  ,0.0234,<0>  ,1.2786,<0>  ,1.302,<1> [SRD] ,6.7,<0>  ,
"delslnut  ","P",02/29/2016 8:37,1,1,1         ,2         ,"",0.0322,<0>  ,0.1368,<0>  ,0.0227,<0>  ,1.0553,<0>  ,1.078,<1> [SRD] ,5.22,<0>  ,
"delslnut  ","P",02/29/2016 8:39,1,1,1         ,3         ,"",0.0363,<0>  ,0.1553,<0>  ,0.0217,<0>  ,0.9103,<0>  ,0.932,<1> [SRD] ,6.2,<0>  ,
"delslnut  ","P",02/29/2016 9:00,1,1,2         ,1         ,"",0.0281,<0>  ,0.1549,<0>  ,0.0165,<0>  ,1.6595,<0>  ,1.676,<0>  ,4.56,<0>  ,
"delslnut  ","P",02/29/2016 11:30,1,1,2         ,1         ,"",0.0325,<0>  ,0.1498,<0>  ,0.0231,<0>  ,1.5649,<0>  ,1.588,<0>  ,6.14,<0>  ,
"delslnut  ","P",02/29/2016 14:00,1,1,2         ,1         ,"",0.0358,<0>  ,0.1382,<0>  ,0.0218,<0>  ,1.6542,<0>  ,1.676,<0>  ,10.11,<0>  ,
"delslnut  ","P",02/29/2016 16:30,1,1,2         ,1         ,"",0.0383,<0>  ,0.1577,<0>  ,0.024,<0>  ,1.102,<0>  ,1.126,<0>  ,7.11,<0>  ,
"delslnut  ","P",02/29/2016 19:00,1,1,2         ,1         ,"",0.0334,<0>  ,0.1231,<0>  ,0.0225,<0>  ,1.7815,<0>  ,1.804,<0>  ,5.01,<0>  ,
"delslnut  ","P",02/29/2016 21:30,1,1,2         ,1         ,"",0.034,<0>  ,0.1003,<0>  ,0.0218,<0>  ,1.5562,<0>  ,1.578,<0>  ,4.24,<0>  ,
"delslnut  ","P",03/01/2016 0:00,1,1,2         ,1         ,"",0.0361,<0>  ,0.1249,<0>  ,0.0237,<0>  ,1.3563,<0>  ,1.38,<0>  ,9.24,<0>  ,
"delslnut  ","P",03/01/2016 2:30,1,1,2         ,1         ,"",0.0102,<0>  ,0.105,<0>  ,0.0177,<0>  ,1.2403,<0>  ,1.258,<0>  ,48.62,<0>  ,
"delslnut  ","P",03/01/2016 5:00,1,1,2         ,1         ,"",0.0064,<0>  ,0.0971,<0>  ,0.0157,<0>  ,1.2923,<0>  ,1.308,<0>  ,47.81,<0>  ,
"delslnut  ","P",03/01/2016 7:30,1,1,2         ,1         ,"",0.03,<0>  ,0.1365,<0>  ,0.0218,<0>  ,1.4202,<0>  ,1.442,<0>  ,17.61,<0>  ,
"delslnut  ","P",03/01/2016 10:00,1,1,2         ,1         ,"",0.0379,<0>  ,0.1207,<0>  ,0.0244,<0>  ,1.4196,<0>  ,1.444,<0>  ,7.72,<0>  ,
"delslnut  ","P",03/28/2016 8:55,1,1,1         ,1         ,"",0.0213,<0>  ,0.2521,<0>  ,0.0179,<0>  ,0.9798,<0>  ,0.9977,<0>  ,11.06,<0>  ,
"delslnut  ","P",03/30/2016 9:30,1,1,2         ,1         ,"",0.0204,<0>  ,0.0388,<0>  ,0.0246,<0>  ,1.5822,<0>  ,1.6068,<0>  ,10.02,<0>  ,
"delslnut  ","P",03/30/2016 12:00,1,1,2         ,1         ,"",0.0238,<0>  ,0.0739,<0>  ,0.0204,<0>  ,1.3791,<0>  ,1.3995,<0>  ,16.29,<0>  ,
"delslnut  ","P",03/30/2016 14:30,1,1,2         ,1         ,"",0.0141,<0>  ,0.087,<0>  ,0.0154,<0>  ,0.9013,<0>  ,0.9167,<0>  ,25.45,<0>  ,
"delslnut  ","P",03/30/2016 17:00,1,1,2         ,1         ,"",0.0148,<0>  ,0.0844,<0>  ,0.0156,<0>  ,0.8466,<0>  ,0.8622,<0>  ,25.79,<0>  ,
"delslnut  ","P",03/30/2016 19:30,1,1,2         ,1         ,"",0.0282,<0>  ,0.088,<0>  ,0.0238,<0>  ,1.2432,<0>  ,1.267,<0>  ,15.29,<0>  ,
"delslnut  ","P",03/30/2016 22:00,1,1,2         ,1         ,"",0.0284,<0>  ,0.1181,<0>  ,0.025,<0>  ,1.5217,<0>  ,1.5467,<0>  ,10.58,<0>  ,
"delslnut  ","P",03/31/2016 0:30,1,1,2         ,1         ,"",0.0264,<0>  ,0.1238,<0>  ,0.023,<0>  ,1.3189,<0>  ,1.3419,<0>  ,14.7,<0>  ,
"delslnut  ","P",03/31/2016 3:00,1,1,2         ,1         ,"",0.0106,<0>  ,0.1957,<0>  ,0.0125,<0>  ,0.765,<0>  ,0.7775,<0>  ,33.69,<0>  ,
"delslnut  ","P",03/31/2016 5:30,1,1,2         ,1         ,"",0.0113,<0>  ,0.1033,<0>  ,0.0129,<0>  ,0.7594,<0>  ,0.7723,<0>  ,27.91,<0>  ,
"delslnut  ","P",03/31/2016 8:00,1,1,2         ,1         ,"",0.0301,<0>  ,0.1409,<0>  ,0.021,<0>  ,1.173,<0>  ,1.194,<0>  ,17.76,<0>  ,
"delslnut  ","P",03/31/2016 10:30,1,1,2         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] ,1.4543,<0>  ,11.76,<0>  ,
"delslnut  ","P",04/25/2016 7:28,1,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.1133,<0>  ,0.0053,<0>  ,0.2015,<0>  ,0.2068,<0>  ,44.39,<0>  ,
"delslnut  ","P",04/25/2016 8:00,1,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0257,<0>  ,0.0045,<0>  ,0.1913,<0>  ,0.1958,<0>  ,46.93,<0>  ,
"delslnut  ","P",04/25/2016 10:30,1,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0623,<0>  ,0.0041,<0>  ,0.14,<0>  ,0.1441,<0>  ,36.91,<0>  ,
"delslnut  ","P",04/25/2016 13:00,1,1,2         ,1         ,"",0.0025,<0>  ,0.042,<0>  ,0.0032,<0>  ,0.0967,<0>  ,0.0999,<0>  ,37.99,<0>  ,
"delslnut  ","P",04/25/2016 15:30,1,1,2         ,1         ,"",0.0020,<0>  ,0.0312,<0>  ,0.0034,<0>  ,0.1358,<0>  ,0.1392,<0>  ,35.8,<0>  ,
"delslnut  ","P",04/25/2016 18:00,1,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.017,<0>  ,0.0040,<0>  ,0.1509,<0>  ,0.1549,<0>  ,61.25,<0>  ,
"delslnut  ","P",04/25/2016 20:30,1,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.02,<0>  ,0.0044,<0>  ,0.1318,<0>  ,0.1362,<0>  ,71.83,<0>  ,
"delslnut  ","P",04/25/2016 23:00,1,1,2         ,1         ,"",0.0029,<0>  ,0.0296,<0>  ,0.0058,<0>  ,0.1202,<0>  ,0.126,<0>  ,40.75,<0>  ,
"delslnut  ","P",04/26/2016 1:30,1,1,2         ,1         ,"",0.0025,<0>  ,0.0242,<0>  ,0.0018,<0>  ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,38.9,<0>  ,
"delslnut  ","P",04/26/2016 4:00,1,1,2         ,1         ,"",0.0062,<0>  ,0.0498,<0>  ,0.0034,<0>  ,0.1027,<0>  ,0.1061,<0>  ,26.28,<0>  ,
"delslnut  ","P",04/26/2016 6:30,1,1,2         ,1         ,"",0.0050,<0>  ,0.1014,<0>  ,0.0047,<0>  ,0.1481,<0>  ,0.1528,<0>  ,31.23,<0>  ,
"delslnut  ","P",04/26/2016 9:00,1,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.1447,<0>  ,0.0049,<0>  ,0.1629,<0>  ,0.1678,<0>  ,55.05,<0>  ,
"delslnut  ","P",05/02/2016 9:56,1,1,1         ,1         ,"",0.0132,<0>  ,0.1079,<0>  ,0.0077,<0>  ,0.1992,<0>  ,0.2069,<0>  ,16.93,<0>  ,
"delslnut  ","P",05/16/2016 8:00,1,1,2         ,1         ,"",0.0289,<0>  ,0.1784,<0>  ,0.0253,<0>  ,0.5735,<0>  ,0.5988,<0>  ,12.42,<0>  ,
"delslnut  ","P",05/16/2016 10:30,1,1,2         ,1         ,"",0.0396,<0>  ,0.1187,<0>  ,0.0313,<0>  ,0.7263,<0>  ,0.7576,<0>  ,21.19,<0>  ,
"delslnut  ","P",05/16/2016 13:00,1,1,2         ,1         ,"",0.0383,<0>  ,0.0616,<0>  ,0.0316,<0>  ,0.8238,<0>  ,0.8554,<0>  ,35.56,<0>  ,
"delslnut  ","P",05/16/2016 15:30,1,1,2         ,1         ,"",0.0391,<0>  ,0.0673,<0>  ,0.0309,<0>  ,0.8351,<0>  ,0.866,<0>  ,33.93,<0>  ,
"delslnut  ","P",05/16/2016 18:00,1,1,2         ,1         ,"",0.0376,<0>  ,0.1417,<0>  ,0.0297,<0>  ,0.6949,<0>  ,0.7246,<0>  ,17.31,<0>  ,
"delslnut  ","P",05/16/2016 20:30,1,1,2         ,1         ,"",0.0349,<0>  ,0.1704,<0>  ,0.0288,<0>  ,0.6516,<0>  ,0.6804,<0>  ,12.49,<0>  ,
"delslnut  ","P",05/16/2016 23:00,1,1,2         ,1         ,"",0.0388,<0>  ,0.0939,<0>  ,0.0317,<0>  ,0.8227,<0>  ,0.8544,<0>  ,19.19,<0>  ,
"delslnut  ","P",05/17/2016 1:30,1,1,2         ,1         ,"",0.0419,<0>  ,0.0762,<0>  ,0.0323,<0>  ,0.8669,<0>  ,0.8992,<0>  ,30.82,<0>  ,
"delslnut  ","P",05/17/2016 4:00,1,1,2         ,1         ,"",0.0434,<0>  ,0.1099,<0>  ,0.0336,<0>  ,0.821,<0>  ,0.8546,<0>  ,24.52,<0>  ,
"delslnut  ","P",05/17/2016 6:30,1,1,2         ,1         ,"",0.0408,<0>  ,0.1653,<0>  ,0.0313,<0>  ,0.6973,<0>  ,0.7286,<0>  ,13.91,<0>  ,
"delslnut  ","P",05/17/2016 9:00,1,1,2         ,1         ,"",0.0406,<0>  ,0.1872,<0>  ,0.0301,<0>  ,0.7169,<0>  ,0.747,<0>  ,11.57,<0>  ,
"delslnut  ","P",06/06/2016 7:29,1,1,1         ,1         ,"",0.0481,<0>  ,0.2545,<0>  ,0.027,<0>  ,0.2279,<0>  ,0.2549,<0>  ,6.03,<0>  ,
"delslnut  ","P",06/06/2016 7:31,1,1,1         ,2         ,"",0.0477,<0>  ,0.2454,<0>  ,0.0283,<0>  ,0.2376,<0>  ,0.2659,<0>  ,5.72,<0>  ,
