"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"deltbnut  ","S",01/13/2020 8:43,0,1,1         ,1         ,"",0.01,<0>  ,0.05,<1> (CHB) ,0.01,<1> (CSM) ,0.392,<1> [GQS] ,0.402,<0>  ,111.0,<1> (CSM) ,
"deltbnut  ","S",02/25/2020 8:17,0,1,1         ,1         ,"",0.019,<0>  ,0.084,<1> [SRD] ,0.011,<0>  ,0.823,<0>  ,0.834,<0>  ,37.0,<0>  ,
"deltbnut  ","S",02/25/2020 8:19,0,1,1         ,2         ,"",0.019,<0>  ,0.089,<1> [SRD] ,0.011,<0>  ,0.842,<0>  ,0.853,<0>  ,39.3,<0>  ,
"deltbnut  ","S",02/25/2020 8:24,0,1,1         ,3         ,"",0.019,<0>  ,0.112,<1> [SRD] ,0.011,<0>  ,0.847,<0>  ,0.858,<0>  ,39.9,<0>  ,
"deltbnut  ","S",03/02/2020 8:48,0,1,1         ,1         ,"",0.027,<0>  ,0.117,<0>  ,0.014,<0>  ,1.136,<0>  ,1.15,<0>  ,27.1,<0>  ,
"deltbnut  ","S",04/28/2020 10:37,0,1,1         ,1         ,"",0.018,<0>  ,0.016,<1> (CSM) ,0.011,<0>  ,0.317,<0>  ,0.328,<0>  ,55.6,<0>  ,
"deltbnut  ","S",05/26/2020 8:34,0,1,1         ,1         ,"",0.011,<0>  ,0.025,<0>  ,0.0070,<1> (CSM) ,0.068,<1> [GQS] ,0.075,<0>  ,107.0,<1> (CSM) ,
"deltbnut  ","S",06/08/2020 8:27,0,1,1         ,1         ,"",0.033,<0>  ,0.07,<1> (CHB) ,0.0090,<1> (CSM) ,0.216,<1> [GQS] ,0.225,<0>  ,32.0,<0>  ,
"deltbnut  ","S",07/06/2020 7:46,0,1,1         ,1         ,"",0.043,<0>  ,0.095,<1> (CHB) ,0.0090,<1> (CSM) ,0.186,<1> [GQS] ,0.195,<0>  ,27.9,<0>  ,
"deltbnut  ","S",08/10/2020 7:55,0,1,1         ,1         ,"",0.101,<0>  ,0.072,<0>  ,0.0060,<1> (CSM) ,0.173,<1> [GQS] ,0.179,<0>  ,23.8,<0>  ,
"deltbnut  ","S",09/08/2020 8:09,0,1,1         ,1         ,"",0.048,<0>  ,0.022,<0>  ,0.013,<0>  ,0.125,<0>  ,0.138,<0>  ,30.0,<0>  ,
"deltbnut  ","S",10/05/2020 8:44,0,1,1         ,1         ,"",0.03,<0>  ,0.032,<0>  ,0.0050,<1> (CSM) ,0.084,<1> [GQS] ,0.089,<0>  ,28.1,<0>  ,
"deltbnut  ","S",11/09/2020 9:21,0,1,1         ,1         ,"",0.056,<0>  ,0.168,<1> (CHB) ,0.0080,<1> (CSM) ,0.731,<1> [GQS] ,0.739,<0>  ,2.8,<0>  ,
"deltbnut  ","S",12/07/2020 8:50,0,1,1         ,1         ,"",0.029,<1> [SRD] ,0.12,<1> [SRD] ,0.011,<1> [SRD] (CHB) ,0.492,<1> [SRD] (CHB) ,0.503,<1> [SRD] (CHB) ,2.5,<1> [SRD] ,
"deltbnut  ","S",12/07/2020 8:57,0,1,1         ,1         ,"",0.018,<1> [SRD] ,0.064,<1> [SRD] ,0.0090,<1> [SRD] (CSM) ,0.245,<1> [SRD] (CHB) ,0.254,<1> [SRD] (CHB) ,4.3,<1> [SRD] ,
"deltbnut  ","S",12/07/2020 9:05,0,1,1         ,1         ,"",0.048,<1> [SRD] ,0.153,<1> [SRD] ,0.015,<1> [SRD] (CHB) ,0.429,<1> [SRD] (CHB) ,0.444,<1> [SRD] (CHB) ,0.6,<1> [SRD] ,

