"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"job10nut  ","P",03/21/2018 9:55,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {ESE} {WS0}",0.0036,<1> [SRD] ,0.0119,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0090,<0>  ,3.36,<0>  ,
"job10nut  ","P",03/21/2018 9:56,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH0} {ESE} {WS0}",0.0105,<1> [SRD] ,0.0122,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0112,<0>  ,3.66,<0>  ,
"job10nut  ","P",04/11/2018 9:49,0,1,1         ,1         ,"{COC} {PNP} {TSE} {WH0} {E} {WS1}",0.0028,<0>  ,0.0269,<0>  ,0.0022,<0>  ,0.0066,<0>  ,0.0088,<0>  ,2.46,<0>  ,
"job10nut  ","P",04/11/2018 9:50,0,1,1         ,2         ,"{COC} {PNP} {TSE} {WH0} {E} {WS1}",0.0027,<0>  ,0.0257,<0>  ,0.0018,<0>  ,0.0058,<0>  ,0.0076,<0>  ,2.6,<0>  ,
"job10nut  ","P",05/09/2018 11:03,0,1,1         ,1         ,"{CSP} {PNP} {TSL} {WH1} {S} {WS0}",0.0016,<-4> [SBL] ,0.0247,<0>  ,0.0025,<0>  ,0.0176,<0>  ,0.0201,<0>  ,1.57,<0>  ,
"job10nut  ","P",05/09/2018 11:04,0,1,1         ,2         ,"{CSP} {PNP} {TSL} {WH1} {S} {WS0}",0.0016,<-4> [SBL] ,0.0286,<0>  ,0.0022,<0>  ,0.0137,<0>  ,0.0159,<0>  ,1.64,<0>  ,
"job10nut  ","P",06/06/2018 10:22,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {SE} {WS0}",0.0018,<0>  ,0.0363,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0058,<0>  ,2.18,<0>  ,
"job10nut  ","P",06/06/2018 10:23,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH0} {SE} {WS0}",0.0023,<0>  ,0.0385,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.53,<0>  ,
"job10nut  ","P",07/18/2018 12:37,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH1} {SSE} {WS0}",0.0018,<0>  ,0.0232,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,3.57,<0>  ,
"job10nut  ","P",07/18/2018 12:38,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH1} {SSE} {WS0}",0.0016,<-4> [SBL] ,0.0251,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,3.96,<0>  ,
"job10nut  ","P",10/02/2018 10:27,0,1,1         ,1         ,"{CSP} {PNP} {TSF} {WH0} {SE} {WS0}",0.015,<-4> [SBL] ,0.051,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.155,<0>  ,1.4,<0>  ,
"job10nut  ","P",10/02/2018 10:28,0,1,1         ,2         ,"{CSP} {PNP} {TSF} {WH0} {SE} {WS0}",0.015,<-4> [SBL] ,0.051,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.142,<0>  ,1.4,<0>  ,
"job10nut  ","P",11/14/2018 9:50,0,1,1         ,1         ,"{COC} {PNP} {TSF} {WH0} {SE} {WS1}",0.015,<-4> [SBL] ,0.073,<1> [SRD] ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.0841,<0>  ,1.6,<1> [SRD] ,
"job10nut  ","P",11/14/2018 9:51,0,1,1         ,2         ,"{COC} {PNP} {TSF} {WH0} {SE} {WS1}",0.015,<-4> [SBL] ,0.134,<1> [SRD] ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.101,<0>  ,3.43,<1> [SRD] ,
"job10nut  ","P",12/19/2018 11:00,0,1,1         ,1         ,"{CSP} {PNP} {TSH} {WH0} {ESE} {WS0}",0.015,<-4> [SBL] ,0.076,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.042,<0>  ,2.36,<0>  ,
"job10nut  ","P",12/19/2018 11:01,0,1,1         ,2         ,"{CSP} {PNP} {TSH} {WH0} {ESE} {WS0}",0.015,<-4> [SBL] ,0.051,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.055,<0>  ,2.26,<0>  ,

