"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"niwolnut  ","P",01/18/2015 12:13,1,1,2         ,1         ,"",0.0069,<0>  ,0.0336,<0>  ,6.0E-4,<0>  ,0.0054,<0>  ,0.0060,<0>  ,1.7,<0>  ,
"niwolnut  ","P",01/18/2015 14:17,1,1,2         ,1         ,"",0.0098,<0>  ,0.0403,<0>  ,6.0E-4,<0>  ,0.0027,<0>  ,0.0033,<0>  ,2.01,<0>  ,
"niwolnut  ","P",01/18/2015 16:21,1,1,2         ,1         ,"",0.0074,<0>  ,0.0316,<0>  ,5.0E-4,<0>  ,0.0023,<0>  ,0.0028,<0>  ,1.3,<0>  ,
"niwolnut  ","P",01/18/2015 18:25,1,1,2         ,1         ,"",0.0043,<0>  ,0.0155,<0>  ,4.0E-4,<0>  ,0.0020,<0>  ,0.0024,<0>  ,2.36,<0>  ,
"niwolnut  ","P",01/18/2015 20:29,1,1,2         ,1         ,"",0.0056,<0>  ,0.0186,<0>  ,5.0E-4,<0>  ,0.0024,<0>  ,0.0029,<0>  ,1.42,<0>  ,
"niwolnut  ","P",01/18/2015 22:33,1,1,2         ,1         ,"",0.0080,<0>  ,0.0261,<0>  ,5.0E-4,<0>  ,0.0020,<0>  ,0.0025,<0>  ,1.49,<0>  ,
"niwolnut  ","P",01/19/2015 0:37,1,1,2         ,1         ,"",0.0143,<0>  ,0.0363,<0>  ,6.0E-4,<0>  ,0.0024,<0>  ,0.0030,<0>  ,1.76,<0>  ,
"niwolnut  ","P",01/19/2015 2:41,1,1,2         ,1         ,"",0.0121,<0>  ,0.0385,<0>  ,6.0E-4,<0>  ,0.0025,<0>  ,0.0031,<0>  ,1.99,<0>  ,
"niwolnut  ","P",01/19/2015 4:45,1,1,2         ,1         ,"",0.0079,<0>  ,0.0232,<0>  ,6.0E-4,<0>  ,0.0036,<0>  ,0.0042,<0>  ,1.29,<0>  ,
"niwolnut  ","P",01/19/2015 6:49,1,1,2         ,1         ,"",0.0029,<0>  ,0.0147,<0>  ,4.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0015,<0>  ,4.33,<0>  ,
"niwolnut  ","P",01/19/2015 8:53,1,1,2         ,1         ,"",0.0045,<0>  ,0.0197,<0>  ,4.0E-4,<0>  ,0.0015,<0>  ,0.0019,<0>  ,2.04,<0>  ,
"niwolnut  ","P",01/19/2015 10:57,1,1,2         ,1         ,"",0.0071,<0>  ,0.0209,<0>  ,5.0E-4,<0>  ,0.0019,<0>  ,0.0024,<0>  ,1.18,<0>  ,
"niwolnut  ","P",01/19/2015 13:01,1,1,2         ,1         ,"",0.0106,<0>  ,0.022,<0>  ,6.0E-4,<0>  ,0.0021,<0>  ,0.0027,<0>  ,1.48,<0>  ,
"niwolnut  ","P",01/19/2015 13:03,1,1,1         ,1         ,"",0.0105,<0>  ,0.0268,<0>  ,7.0E-4,<0>  ,0.0024,<0>  ,0.0031,<0>  ,1.52,<0>  ,
"niwolnut  ","P",01/19/2015 13:05,1,1,1         ,2         ,"",0.0113,<0>  ,0.0411,<0>  ,0.0010,<0>  ,0.0018,<0>  ,0.0028,<0>  ,1.42,<0>  ,
"niwolnut  ","P",02/07/2015 3:52,1,1,2         ,1         ,"",0.0069,<0>  ,0.0526,<0>  ,0.0014,<0>  ,9.0E-4,<0>  ,0.0023,<0>  ,0.99,<0>  ,
"niwolnut  ","P",02/07/2015 5:56,1,1,2         ,1         ,"",0.0071,<0>  ,0.0248,<0>  ,0.0013,<0>  ,0.0010,<0>  ,0.0023,<0>  ,0.94,<0>  ,
"niwolnut  ","P",02/07/2015 8:00,1,1,2         ,1         ,"",0.0057,<0>  ,0.0382,<0>  ,0.0013,<0>  ,0.0010,<0>  ,0.0023,<0>  ,1.25,<0>  ,
"niwolnut  ","P",02/07/2015 10:04,1,1,2         ,1         ,"",0.0028,<0>  ,0.0189,<0>  ,0.0011,<0>  ,1.0E-4,<0>  ,0.0012,<0>  ,5.36,<0>  ,
"niwolnut  ","P",02/07/2015 12:08,1,1,2         ,1         ,"",0.0035,<0>  ,0.0136,<0>  ,0.0011,<0>  ,3.0E-4,<0>  ,0.0014,<0>  ,2.3,<0>  ,
"niwolnut  ","P",02/07/2015 14:12,1,1,2         ,1         ,"",0.0055,<0>  ,0.0229,<0>  ,0.0012,<0>  ,6.0E-4,<0>  ,0.0018,<0>  ,1.13,<0>  ,
"niwolnut  ","P",02/07/2015 16:16,1,1,2         ,1         ,"",0.0080,<0>  ,0.0276,<0>  ,0.0012,<0>  ,7.0E-4,<0>  ,0.0019,<0>  ,1.38,<0>  ,
