event,parameter,station,date,min,max,mean,median,total,station_name
Sandy,atemp,delsjmet,2012-10-22,43.88,67.82,55.5136842105263,56.57,NA,Saint Jones River (SJ)
Sandy,atemp,delsjmet,2012-10-23,47.48,73.76,58.25375,53.6,NA,Saint Jones River (SJ)
Sandy,atemp,delsjmet,2012-10-24,54.5,75.38,64.0175,62.42,NA,Saint Jones River (SJ)
Sandy,atemp,delsjmet,2012-10-25,60.62,65.12,62.088125,61.16,NA,Saint Jones River (SJ)
Sandy,atemp,delsjmet,2012-10-26,58.28,70.88,62.609375,61.7,NA,Saint Jones River (SJ)
Sandy,atemp,delsjmet,2012-10-27,58.1,65.66,61.315625,60.98,NA,Saint Jones River (SJ)
Sandy,atemp,delsjmet,2012-10-28,54.86,59.9,56.94875,56.93,NA,Saint Jones River (SJ)
Sandy,atemp,delsjmet,2012-10-29,49.82,55.04,52.30625,51.62,NA,Saint Jones River (SJ)
Sandy,atemp,delsjmet,2012-10-30,41.54,50.54,44.97875,44.42,NA,Saint Jones River (SJ)
Sandy,atemp,delsjmet,2012-10-31,39.2,53.24,44.864375,41.63,NA,Saint Jones River (SJ)
Sandy,atemp,delsjmet,2012-11-01,36.68,50.72,44.54375,44.69,NA,Saint Jones River (SJ)
Sandy,atemp,delsjmet,2012-11-02,39.38,51.8,46.960625,47.03,NA,Saint Jones River (SJ)
Sandy,atemp,delsjmet,2012-11-03,41.9,47.3,44.8925,45.14,NA,Saint Jones River (SJ)
Sandy,atemp,delsjmet,2012-11-04,37.76,46.58,43.795625,44.69,NA,Saint Jones River (SJ)
Sandy,atemp,delsjmet,2012-11-05,34.52,44.6,39.695,39.38,NA,Saint Jones River (SJ)
Sandy,atemp,delsjmet,2012-11-06,29.84,35.96,32.9072,32.54,NA,Saint Jones River (SJ)
Sandy,bp,delsjmet,2012-10-22,30.090952043468,30.1795416961966,30.1251445410124,30.1204819277108,NA,Saint Jones River (SJ)
Sandy,bp,delsjmet,2012-10-28,29.5594141270966,29.6480037798252,29.6074001889913,29.5889440113395,NA,Saint Jones River (SJ)
Sandy,bp,delsjmet,2012-10-29,28.2896291046539,29.5594141270966,29.0955488621151,29.2345854004252,NA,Saint Jones River (SJ)
Sandy,bp,delsjmet,2012-10-30,28.2600992204111,29.4412945901252,29.0377195054729,29.1459957476967,NA,Saint Jones River (SJ)
Sandy,bp,delsjmet,2012-10-31,29.4708244743681,29.5889440113395,29.5243473895582,29.5298842428538,NA,Saint Jones River (SJ)
Sandy,bp,delsjmet,2012-11-01,29.5889440113395,29.677533664068,29.6396984998819,29.6480037798252,NA,Saint Jones River (SJ)
Sandy,bp,delsjmet,2012-11-02,29.677533664068,29.7956532010395,29.7159840341759,29.7070635483109,NA,Saint Jones River (SJ)
Sandy,bp,delsjmet,2012-11-03,29.7956532010395,29.9728325064966,29.9036218403024,29.9137727380109,NA,Saint Jones River (SJ)
Sandy,bp,delsjmet,2012-11-04,29.9728325064966,30.0614221592251,30.0143589062131,30.0023623907394,NA,Saint Jones River (SJ)
Sandy,bp,delsjmet,2012-11-05,30.0023623907394,30.1204819277108,30.0365063193952,30.0318922749823,NA,Saint Jones River (SJ)
Sandy,bp,delsjmet,2012-11-06,30.1204819277108,30.1795416961966,30.1476494212143,30.1500118119537,NA,Saint Jones River (SJ)
Sandy,intensprcp,delsjmet,2012-10-22,0,0,0,0,NA,Saint Jones River (SJ)
Sandy,intensprcp,delsjmet,2012-10-23,0,0,0,0,NA,Saint Jones River (SJ)
Sandy,intensprcp,delsjmet,2012-10-24,0,0,0,0,NA,Saint Jones River (SJ)
Sandy,intensprcp,delsjmet,2012-10-25,0,0,0,0,NA,Saint Jones River (SJ)
Sandy,intensprcp,delsjmet,2012-10-26,0,0,0,0,NA,Saint Jones River (SJ)
Sandy,intensprcp,delsjmet,2012-10-27,0,0,0,0,NA,Saint Jones River (SJ)
Sandy,intensprcp,delsjmet,2012-10-28,0,0.236220472440945,0.0244422572178478,0,NA,Saint Jones River (SJ)
Sandy,intensprcp,delsjmet,2012-10-29,0,1.03937007874016,0.282972440944882,0.236220472440945,NA,Saint Jones River (SJ)
Sandy,intensprcp,delsjmet,2012-10-30,0,0.519685039370079,0.0500328083989501,0,NA,Saint Jones River (SJ)
Sandy,intensprcp,delsjmet,2012-10-31,0,0.047244094488189,0.000984251968503937,0,NA,Saint Jones River (SJ)
Sandy,intensprcp,delsjmet,2012-11-01,0,0,0,0,NA,Saint Jones River (SJ)
Sandy,intensprcp,delsjmet,2012-11-02,0,0,0,0,NA,Saint Jones River (SJ)
Sandy,intensprcp,delsjmet,2012-11-03,0,0,0,0,NA,Saint Jones River (SJ)
Sandy,intensprcp,delsjmet,2012-11-04,0,0,0,0,NA,Saint Jones River (SJ)
Sandy,intensprcp,delsjmet,2012-11-05,0,0,0,0,NA,Saint Jones River (SJ)
Sandy,intensprcp,delsjmet,2012-11-06,0,0,0,0,NA,Saint Jones River (SJ)
Sandy,maxwspd,delsjmet,2012-10-22,0.894776740775722,14.7638162227994,6.15159009283309,3.46725987050592,NA,Saint Jones River (SJ)
Sandy,maxwspd,delsjmet,2012-10-23,0,10.0662383337269,3.68163346465011,2.2369418519393,NA,Saint Jones River (SJ)
Sandy,maxwspd,delsjmet,2012-10-24,0.894776740775722,11.6320976300844,5.84634073595387,6.03974300023612,NA,Saint Jones River (SJ)
Sandy,maxwspd,delsjmet,2012-10-25,2.9080244075211,11.6320976300844,7.06733816347074,6.71082555581791,NA,Saint Jones River (SJ)
Sandy,maxwspd,delsjmet,2012-10-26,1.78955348155144,13.6453452968298,6.35664309592752,5.81604881504219,NA,Saint Jones River (SJ)
Sandy,maxwspd,delsjmet,2012-10-27,4.92127207426647,16.3296755191569,8.83359016739782,8.61222612996632,NA,Saint Jones River (SJ)
Sandy,maxwspd,delsjmet,2012-10-28,10.0662383337269,25.2774429269141,15.9358805473051,15.4348987783812,NA,Saint Jones River (SJ)
Sandy,maxwspd,delsjmet,2012-10-29,13.4216511116358,37.5806231125803,24.7787913057527,24.3826661861384,NA,Saint Jones River (SJ)
Sandy,maxwspd,delsjmet,2012-10-30,8.50037903736936,38.9227882237439,20.9899710440305,18.7903115562902,NA,Saint Jones River (SJ)
Sandy,maxwspd,delsjmet,2012-10-31,0,15.8822871487691,7.25374998446568,7.27006101880274,NA,Saint Jones River (SJ)
Sandy,maxwspd,delsjmet,2012-11-01,0,15.2112045931873,6.12362831968385,4.58573079647557,NA,Saint Jones River (SJ)
Sandy,maxwspd,delsjmet,2012-11-02,2.01324766674537,21.2509475934234,9.60486907676439,8.72407322256329,NA,Saint Jones River (SJ)
Sandy,maxwspd,delsjmet,2012-11-03,5.36866044465433,22.369418519393,12.9789230367728,13.3098040190389,NA,Saint Jones River (SJ)
Sandy,maxwspd,delsjmet,2012-11-04,1.34216511116358,17.0007580747387,8.66581952850237,8.83592031516025,NA,Saint Jones River (SJ)
Sandy,maxwspd,delsjmet,2012-11-05,2.2369418519393,18.3429231859023,9.15981085413896,9.39515577814508,NA,Saint Jones River (SJ)
Sandy,maxwspd,delsjmet,2012-11-06,1.56585929635751,4.25018951868468,2.68433022232717,2.68433022232717,NA,Saint Jones River (SJ)
Sandy,rh,delsjmet,2012-10-22,40,90,65.0921052631579,64.5,NA,Saint Jones River (SJ)
Sandy,rh,delsjmet,2012-10-23,48,93,73.3541666666667,74,NA,Saint Jones River (SJ)
Sandy,rh,delsjmet,2012-10-24,54,97,73.5416666666667,71.5,NA,Saint Jones River (SJ)
Sandy,rh,delsjmet,2012-10-25,82,97,91.125,92.5,NA,Saint Jones River (SJ)
Sandy,rh,delsjmet,2012-10-26,69,100,90.3854166666667,95,NA,Saint Jones River (SJ)
Sandy,rh,delsjmet,2012-10-27,63,96,84.28125,92,NA,Saint Jones River (SJ)
Sandy,rh,delsjmet,2012-10-28,77,98,84.9375,83,NA,Saint Jones River (SJ)
Sandy,rh,delsjmet,2012-10-29,90,100,97.15625,98,NA,Saint Jones River (SJ)
Sandy,rh,delsjmet,2012-10-30,83,99,94.0520833333333,95,NA,Saint Jones River (SJ)
Sandy,rh,delsjmet,2012-10-31,55,101,84.6875,97,NA,Saint Jones River (SJ)
Sandy,rh,delsjmet,2012-11-01,62,99,82.3541666666667,87.5,NA,Saint Jones River (SJ)
Sandy,rh,delsjmet,2012-11-02,50,83,65.5833333333333,70,NA,Saint Jones River (SJ)
Sandy,rh,delsjmet,2012-11-03,53,68,59.53125,59,NA,Saint Jones River (SJ)
Sandy,rh,delsjmet,2012-11-04,54,81,62.15625,60,NA,Saint Jones River (SJ)
Sandy,rh,delsjmet,2012-11-05,50,83,64.9791666666667,67,NA,Saint Jones River (SJ)
Sandy,rh,delsjmet,2012-11-06,72,89,78.48,78,NA,Saint Jones River (SJ)
Sandy,sdwdir,delsjmet,2012-10-22,6,37,22.6710526315789,24,NA,Saint Jones River (SJ)
Sandy,sdwdir,delsjmet,2012-10-23,0,55,18.6458333333333,18,NA,Saint Jones River (SJ)
Sandy,sdwdir,delsjmet,2012-10-24,4,94,25.1666666666667,19,NA,Saint Jones River (SJ)
Sandy,sdwdir,delsjmet,2012-10-25,15,89,29.2291666666667,22,NA,Saint Jones River (SJ)
Sandy,sdwdir,delsjmet,2012-10-26,16,76,31.03125,25,NA,Saint Jones River (SJ)
Sandy,sdwdir,delsjmet,2012-10-27,19,75,28.7604166666667,26,NA,Saint Jones River (SJ)
Sandy,sdwdir,delsjmet,2012-10-28,15,28,21.2604166666667,21,NA,Saint Jones River (SJ)
Sandy,sdwdir,delsjmet,2012-10-29,17,42,23.4895833333333,22,NA,Saint Jones River (SJ)
Sandy,sdwdir,delsjmet,2012-10-30,9,37,13.2083333333333,11,NA,Saint Jones River (SJ)
Sandy,sdwdir,delsjmet,2012-10-31,0,37,15.9375,11,NA,Saint Jones River (SJ)
Sandy,sdwdir,delsjmet,2012-11-01,0,47,19.4166666666667,24,NA,Saint Jones River (SJ)
Sandy,sdwdir,delsjmet,2012-11-02,21,45,27.7083333333333,27,NA,Saint Jones River (SJ)
Sandy,sdwdir,delsjmet,2012-11-03,18,30,22.8125,23,NA,Saint Jones River (SJ)
Sandy,sdwdir,delsjmet,2012-11-04,10,39,23.9895833333333,23,NA,Saint Jones River (SJ)
Sandy,sdwdir,delsjmet,2012-11-05,17,52,24.1458333333333,23,NA,Saint Jones River (SJ)
Sandy,sdwdir,delsjmet,2012-11-06,10,48,26.64,26,NA,Saint Jones River (SJ)
Sandy,totpar,delsjmet,2012-10-22,0,979.5,335.157894736842,123.7,25472,Saint Jones River (SJ)
Sandy,totpar,delsjmet,2012-10-23,-0.1,886.2,213.540625,0.2,20499.9,Saint Jones River (SJ)
Sandy,totpar,delsjmet,2012-10-24,-0.3,1001.8,215.572916666667,0.35,20695,Saint Jones River (SJ)
Sandy,totpar,delsjmet,2012-10-25,0,324.6,76.1552083333333,0.3,7310.9,Saint Jones River (SJ)
Sandy,totpar,delsjmet,2012-10-26,0,934.5,185.180208333333,0.4,17777.3,Saint Jones River (SJ)
Sandy,totpar,delsjmet,2012-10-27,0,551.1,135.204166666667,0.4,12979.6,Saint Jones River (SJ)
Sandy,totpar,delsjmet,2012-10-28,0,100.5,19.4864583333333,0.3,1870.7,Saint Jones River (SJ)
Sandy,totpar,delsjmet,2012-10-29,-0.1,118.1,20.4895833333333,0.3,1967,Saint Jones River (SJ)
Sandy,totpar,delsjmet,2012-10-30,-0.1,564.6,61.659375,0,5919.3,Saint Jones River (SJ)
Sandy,totpar,delsjmet,2012-10-31,-0.1,970,146.729166666667,0,14086,Saint Jones River (SJ)
Sandy,totpar,delsjmet,2012-11-01,0,622.5,133.326041666667,0,12799.3,Saint Jones River (SJ)
Sandy,totpar,delsjmet,2012-11-02,0,691.7,117.39375,0,11269.8,Saint Jones River (SJ)
Sandy,totpar,delsjmet,2012-11-03,0,464.1,89.3895833333333,0,8581.4,Saint Jones River (SJ)
Sandy,totpar,delsjmet,2012-11-04,-0.1,654.2,137.95625,0,13243.8,Saint Jones River (SJ)
Sandy,totpar,delsjmet,2012-11-05,0,934.5,172.997916666667,0,16607.8,Saint Jones River (SJ)
Sandy,totpar,delsjmet,2012-11-06,0,0,0,0,0,Saint Jones River (SJ)
Sandy,totprcp,delsjmet,2012-10-22,0,0,0,0,0,Saint Jones River (SJ)
Sandy,totprcp,delsjmet,2012-10-23,0,0,0,0,0,Saint Jones River (SJ)
Sandy,totprcp,delsjmet,2012-10-24,0,0,0,0,0,Saint Jones River (SJ)
