event,parameter,station,date,min,max,mean,median,station_name
Sandy,clevel,delblwq,2012-10-22,-2.7230972,1.804462,-0.0539611842105263,0.1476378,Blackbird Landing (BL)
Sandy,clevel,delblwq,2012-10-28,1.9028872,3.1824148,2.6410762,2.7230972,Blackbird Landing (BL)
Sandy,clevel,delblwq,2012-10-29,1.7716536,3.6745408,2.92644092916667,3.0019686,Blackbird Landing (BL)
Sandy,clevel,delblwq,2012-10-30,2.1981628,4.5603676,3.6222524125,3.7565618,Blackbird Landing (BL)
Sandy,clevel,delblwq,2012-10-31,0.7545932,2.9855644,2.19166947083333,2.3293964,Blackbird Landing (BL)
Sandy,clevel,delblwq,2012-11-01,-0.5905512,2.3950132,1.3318159875,1.4927822,Blackbird Landing (BL)
Sandy,clevel,delblwq,2012-11-02,-1.7060368,2.0997376,0.773047925,0.984252,Blackbird Landing (BL)
Sandy,clevel,delblwq,2012-11-03,-2.788714,1.804462,0.105260283333333,0.3937008,Blackbird Landing (BL)
Sandy,clevel,delblwq,2012-11-04,-2.5590552,2.0669292,0.237177391666667,0.3937008,Blackbird Landing (BL)
Sandy,clevel,delblwq,2012-11-05,-2.0013124,2.0013124,0.3660187125,0.574147,Blackbird Landing (BL)
Sandy,clevel,delblwq,2012-11-06,-1.5419948,1.5748032,-0.022309712,-0.164042,Blackbird Landing (BL)
Sandy,clevel,deldswq,2012-10-22,1.5748032,1.64042,1.59595598421053,1.6076116,Division Street (DS)
Sandy,clevel,deldswq,2012-10-28,2.2637796,3.0511812,2.69712388333333,2.7395014,Division Street (DS)
Sandy,clevel,deldswq,2012-10-29,2.2309712,6.0039372,3.99510620833333,3.6253282,Division Street (DS)
Sandy,clevel,deldswq,2012-10-30,6.0367456,6.9225724,6.54937685,6.5780842,Division Street (DS)
Sandy,clevel,deldswq,2012-10-31,3.4776904,5.9711288,4.5983023125,4.4619424,Division Street (DS)
Sandy,clevel,deldswq,2012-11-01,2.7559056,3.4776904,3.03614401666667,3.0019686,Division Street (DS)
Sandy,clevel,deldswq,2012-11-02,2.3950132,2.7559056,2.565206775,2.5590552,Division Street (DS)
Sandy,clevel,deldswq,2012-11-03,2.1653544,2.3950132,2.2894111625,2.296588,Division Street (DS)
Sandy,clevel,deldswq,2012-11-04,2.0669292,2.1981628,2.13835582083333,2.132546,Division Street (DS)
Sandy,clevel,deldswq,2012-11-05,2.0341208,2.0997376,2.07957410416667,2.0669292,Division Street (DS)
Sandy,clevel,deldswq,2012-11-06,2.0341208,2.0669292,2.052493504,2.0669292,Division Street (DS)
Sandy,clevel,delllwq,2012-10-22,-2.132546,1.2139108,-0.104468852631579,0.0984252,Lebanon Landing (LL)
Sandy,clevel,delllwq,2012-10-28,2.0997376,2.7559056,2.39091215,2.378609,Lebanon Landing (LL)
Sandy,clevel,delllwq,2012-10-29,2.1981628,4.1338584,3.36969608333333,3.3464568,Lebanon Landing (LL)
Sandy,clevel,delllwq,2012-10-30,3.0511812,4.1666668,3.7206776125,3.7237534,Lebanon Landing (LL)
Sandy,clevel,delllwq,2012-10-31,1.5748032,2.9855644,2.32290307083333,2.3950132,Lebanon Landing (LL)
Sandy,clevel,delllwq,2012-11-01,0.3937008,1.9028872,1.36086509166667,1.4435696,Lebanon Landing (LL)
Sandy,clevel,delllwq,2012-11-02,-0.7545932,1.4435696,0.614473991666667,0.6889764,Lebanon Landing (LL)
Sandy,clevel,delllwq,2012-11-03,-1.9028872,1.2467192,0.0280238416666667,0.164042,Lebanon Landing (LL)
Sandy,clevel,delllwq,2012-11-04,-1.312336,1.476378,0.193091104166667,0.3444882,Lebanon Landing (LL)
Sandy,clevel,delllwq,2012-11-05,-1.148294,1.4107612,0.297326125,0.3608924,Lebanon Landing (LL)
Sandy,clevel,delllwq,2012-11-06,-0.492126,0.7874016,0.01968504,-0.0328084,Lebanon Landing (LL)
Sandy,clevel,delslwq,2012-10-22,-2.2637796,1.968504,0.204189121052632,0.5249344,Scotton Landing (SL)
Sandy,clevel,delslwq,2012-10-28,1.7388452,2.8215224,2.15988633333333,2.0997376,Scotton Landing (SL)
Sandy,clevel,delslwq,2012-10-29,2.624672,4.2979004,3.3679873125,3.362861,Scotton Landing (SL)
Sandy,clevel,delslwq,2012-10-30,1.2139108,4.0682416,2.98932369583333,3.0511812,Scotton Landing (SL)
Sandy,clevel,delslwq,2012-10-31,-0.1968504,2.9199476,1.62059825833333,1.8372704,Scotton Landing (SL)
Sandy,clevel,delslwq,2012-11-01,-1.148294,2.4934384,0.9709235875,1.2631234,Scotton Landing (SL)
Sandy,clevel,delslwq,2012-11-02,-1.7388452,2.1653544,0.382081158333333,0.5413386,Scotton Landing (SL)
Sandy,clevel,delslwq,2012-11-03,-2.1653544,1.968504,-0.0519466333333333,0.0164042,Scotton Landing (SL)
Sandy,clevel,delslwq,2012-11-04,-1.968504,2.1981628,0.244354229166667,0.328084,Scotton Landing (SL)
Sandy,clevel,delslwq,2012-11-05,-1.6732284,2.132546,0.309287520833333,0.4265092,Scotton Landing (SL)
Sandy,clevel,delslwq,2012-11-06,-1.2467192,1.5091864,-0.224409456,-0.5905512,Scotton Landing (SL)
Sandy,do_mgl,delblwq,2012-10-22,5.8,9.5,7.8,7.7,Blackbird Landing (BL)
Sandy,do_mgl,delblwq,2012-10-23,5.9,10.4,8.01145833333333,7.9,Blackbird Landing (BL)
Sandy,do_mgl,delblwq,2012-10-24,5.7,12.5,8.35729166666667,7.8,Blackbird Landing (BL)
Sandy,do_mgl,delblwq,2012-10-25,6.5,10.5,8.03541666666667,7.85,Blackbird Landing (BL)
Sandy,do_mgl,delblwq,2012-10-26,6.4,11.7,8.078125,7.6,Blackbird Landing (BL)
Sandy,do_mgl,delblwq,2012-10-27,7.2,12.5,8.85,8.3,Blackbird Landing (BL)
Sandy,do_mgl,delblwq,2012-10-28,7.3,12,8.94895833333333,8.8,Blackbird Landing (BL)
Sandy,do_mgl,delblwq,2012-10-29,7,9,8.18020833333333,8.2,Blackbird Landing (BL)
Sandy,do_mgl,delblwq,2012-10-30,7.3,8.4,7.85625,7.9,Blackbird Landing (BL)
Sandy,do_mgl,delblwq,2012-10-31,6.4,7.7,7.265625,7.3,Blackbird Landing (BL)
Sandy,do_mgl,delblwq,2012-11-01,6.1,7.3,6.740625,6.7,Blackbird Landing (BL)
Sandy,do_mgl,delblwq,2012-11-02,6.1,7.4,6.89270833333333,6.9,Blackbird Landing (BL)
Sandy,do_mgl,delblwq,2012-11-03,6.7,8,7.43229166666667,7.6,Blackbird Landing (BL)
Sandy,do_mgl,delblwq,2012-11-04,7.4,8.2,7.82395833333333,7.8,Blackbird Landing (BL)
Sandy,do_mgl,delblwq,2012-11-05,7.8,8.4,8.065625,8.1,Blackbird Landing (BL)
Sandy,do_mgl,delblwq,2012-11-06,8.2,8.4,8.288,8.3,Blackbird Landing (BL)
Sandy,do_mgl,deldswq,2012-10-22,3,7.2,4.42105263157895,3.75,Division Street (DS)
Sandy,do_mgl,deldswq,2012-10-23,2.6,6.5,4.12083333333333,3.85,Division Street (DS)
Sandy,do_mgl,deldswq,2012-10-24,2.3,5.9,3.86770833333333,3.5,Division Street (DS)
Sandy,do_mgl,deldswq,2012-10-25,1.3,4.8,2.61145833333333,2.45,Division Street (DS)
Sandy,do_mgl,deldswq,2012-10-26,0.5,3.8,1.82765957446809,1.4,Division Street (DS)
Sandy,do_mgl,deldswq,2012-10-27,0.8,8.8,2.603125,1.65,Division Street (DS)
Sandy,do_mgl,deldswq,2012-10-28,7.1,8.3,7.87916666666667,7.8,Division Street (DS)
Sandy,do_mgl,deldswq,2012-10-29,6.9,9.3,8.36666666666667,8.6,Division Street (DS)
Sandy,do_mgl,deldswq,2012-10-30,8.1,9.3,8.68645833333333,8.7,Division Street (DS)
Sandy,do_mgl,deldswq,2012-10-31,8.1,8.4,8.25729166666667,8.2,Division Street (DS)
Sandy,do_mgl,deldswq,2012-11-01,8.2,8.7,8.44270833333333,8.5,Division Street (DS)
Sandy,do_mgl,deldswq,2012-11-02,8.7,8.8,8.72916666666667,8.7,Division Street (DS)
Sandy,do_mgl,deldswq,2012-11-03,8.8,9,8.87291666666667,8.8,Division Street (DS)
Sandy,do_mgl,deldswq,2012-11-04,8.8,9,8.89895833333333,8.9,Division Street (DS)
Sandy,do_mgl,deldswq,2012-11-05,8.8,9.1,8.91458333333333,8.9,Division Street (DS)
Sandy,do_mgl,deldswq,2012-11-06,8.9,8.9,8.9,8.9,Division Street (DS)
Sandy,do_mgl,delllwq,2012-10-22,4.2,6.2,5.11066666666667,4.9,Lebanon Landing (LL)
Sandy,do_mgl,delllwq,2012-10-23,4.4,6.9,5.31145833333333,5.05,Lebanon Landing (LL)
Sandy,do_mgl,delllwq,2012-10-24,4.4,8.1,5.31666666666667,4.9,Lebanon Landing (LL)
Sandy,do_mgl,delllwq,2012-10-25,4.4,6.8,5.06145833333333,4.9,Lebanon Landing (LL)
Sandy,do_mgl,delllwq,2012-10-26,4.1,7.8,5.12842105263158,4.7,Lebanon Landing (LL)
Sandy,do_mgl,delllwq,2012-10-27,4.5,7,5.32916666666667,5.1,Lebanon Landing (LL)
Sandy,do_mgl,delllwq,2012-10-28,4.2,6.6,5.43020833333333,5.4,Lebanon Landing (LL)
Sandy,do_mgl,delllwq,2012-10-29,4,7.2,5.57395833333333,5.6,Lebanon Landing (LL)
Sandy,do_mgl,delllwq,2012-10-30,6,8,7.42604166666667,7.5,Lebanon Landing (LL)
Sandy,do_mgl,delllwq,2012-10-31,6.3,7.5,7.06770833333333,7,Lebanon Landing (LL)
Sandy,do_mgl,delllwq,2012-11-01,6.2,7,6.55,6.5,Lebanon Landing (LL)
Sandy,do_mgl,delllwq,2012-11-02,6.2,6.8,6.48854166666667,6.5,Lebanon Landing (LL)
Sandy,do_mgl,delllwq,2012-11-03,6.5,7.3,6.828125,6.8,Lebanon Landing (LL)
Sandy,do_mgl,delllwq,2012-11-04,6.8,7.4,7.08229166666667,7,Lebanon Landing (LL)
Sandy,do_mgl,delllwq,2012-11-05,6.9,7.6,7.175,7.2,Lebanon Landing (LL)
Sandy,do_mgl,delllwq,2012-11-06,7.2,7.4,7.348,7.4,Lebanon Landing (LL)
Sandy,do_mgl,delslwq,2012-10-22,3.5,6.8,4.66578947368421,4.5,Scotton Landing (SL)
Sandy,do_mgl,delslwq,2012-10-23,3.2,6.8,4.88645833333333,4.75,Scotton Landing (SL)
Sandy,do_mgl,delslwq,2012-10-24,3.6,7.3,5.09479166666667,4.95,Scotton Landing (SL)
Sandy,do_mgl,delslwq,2012-10-25,3.2,7.6,5.19479166666667,5,Scotton Landing (SL)
Sandy,do_mgl,delslwq,2012-10-26,3.1,6.6,5.02708333333333,5,Scotton Landing (SL)
