event,reserve_code,station,station_name,parameter,min,max,mean,median
Sandy,del,delblwq,Blackbird Landing (BL),clevel,-2.788714,4.5603676,1.30781703784994,1.4435696
Sandy,del,deldswq,Division Street (DS),clevel,1.5748032,6.9225724,3.19538385397536,2.5262468
Sandy,del,delllwq,Lebanon Landing (LL),clevel,-2.132546,4.1666668,1.33595951758119,1.148294
Sandy,del,delslwq,Scotton Landing (SL),clevel,-2.2637796,4.2979004,1.1261768031355,1.2795276
Sandy,del,delblwq,Blackbird Landing (BL),do_mgl,5.7,12.5,7.89737024221453,7.8
Sandy,del,deldswq,Division Street (DS),do_mgl,0.5,9.3,6.51032571032571,8.2
Sandy,del,delllwq,Lebanon Landing (LL),do_mgl,4,8.1,6.0954261954262,6.4
Sandy,del,delslwq,Scotton Landing (SL),do_mgl,3.1,9.2,6.22304498269896,6.4
Sandy,del,delblwq,Blackbird Landing (BL),do_pct,54.4,135.4,77.0060207612457,72.2
Sandy,del,deldswq,Division Street (DS),do_pct,5.5,91.8,60.8534996534997,75.1
Sandy,del,delllwq,Lebanon Landing (LL),do_pct,45.4,90.3,60.7825363825364,60.4
Sandy,del,delslwq,Scotton Landing (SL),do_pct,36,93.4,64.5402076124568,63.4
Sandy,del,delblwq,Blackbird Landing (BL),level,-2.7559056,3.8385828,1.08858044152249,1.3451444
Sandy,del,deldswq,Division Street (DS),level,1.64042,6.069554,2.54198120913495,2.2637796
Sandy,del,delllwq,Lebanon Landing (LL),level,-1.8700788,3.1824148,1.01163395875433,1.0498688
Sandy,del,delslwq,Scotton Landing (SL),level,-2.1653544,3.3792652,0.892206841799308,1.148294
Sandy,del,delblwq,Blackbird Landing (BL),ph,5.9,8,6.90961937716263,7.2
Sandy,del,deldswq,Division Street (DS),ph,6.3,7.5,6.53916955017301,6.4
Sandy,del,delllwq,Lebanon Landing (LL),ph,6.5,7.7,7.00629757785467,7.1
Sandy,del,delslwq,Scotton Landing (SL),ph,6.5,7.8,7.1160553633218,7.2
Sandy,del,delblwq,Blackbird Landing (BL),sal,0.1,6.2,2.88927335640138,3.9
Sandy,del,deldswq,Division Street (DS),sal,0,2.1,0.117854671280277,0.1
Sandy,del,delllwq,Lebanon Landing (LL),sal,0.3,24.1,9.28664359861592,10.4
Sandy,del,delslwq,Scotton Landing (SL),sal,1,26.8,14.0784775086505,17.7
Sandy,del,delblwq,Blackbird Landing (BL),spcond,0.11,10.83,5.1478615916955,7.13
Sandy,del,deldswq,Division Street (DS),spcond,0.06,3.88,0.21477508650519,0.14
Sandy,del,delllwq,Lebanon Landing (LL),spcond,0.56,37.9,15.2146851211073,17.55
Sandy,del,delslwq,Scotton Landing (SL),spcond,1.91,41.67,22.7211211072664,28.69
Sandy,del,delblwq,Blackbird Landing (BL),temp,45.68,64.76,55.6980899653979,57.74
Sandy,del,deldswq,Division Street (DS),temp,47.12,66.02,56.2392110726644,57.2
Sandy,del,delllwq,Lebanon Landing (LL),temp,45.68,65.3,55.7999861591695,58.28
Sandy,del,delslwq,Scotton Landing (SL),temp,47.3,63.86,56.3890657439446,57.56
Sandy,del,delblwq,Blackbird Landing (BL),turb,9,105,30.7826989619377,28
Sandy,del,deldswq,Division Street (DS),turb,6,471,15.9377162629758,13
Sandy,del,delllwq,Lebanon Landing (LL),turb,8,664,24.4819944598338,21
Sandy,del,delslwq,Scotton Landing (SL),turb,2,513,34.7148788927336,27
