"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"aceeinut  ","P",01/16/2018 11:40,0,1,1         ,1         ,"",0.0064,<0>  ,0.0090,<1> [SRD] (CSM) ,"","","","",0.0102,<1> [SRD] (CSM) ,10.72,<0>  ,
"aceeinut  ","P",01/16/2018 11:40,0,1,1         ,1         ,"",0.0064,<0>  ,0.0090,<1> [SRD] (CSM) ,"","","","",0.0102,<1> [SRD] (CSM) ,10.72,<0>  ,
"aceeinut  ","P",01/16/2018 11:41,0,1,1         ,2         ,"",0.0061,<0>  ,0.0040,<1> [SRD] (CSM) ,"","","","",0.0462,<1> [SRD] (CSM) ,9.99,<0>  ,
"aceeinut  ","P",01/16/2018 11:41,0,1,1         ,2         ,"",0.0061,<0>  ,0.0040,<1> [SRD] (CSM) ,"","","","",0.0462,<1> [SRD] (CSM) ,9.99,<0>  ,
"aceeinut  ","P",02/13/2018 12:15,0,1,1         ,1         ,"",0.0139,<0>  ,0.019,<0>  ,"","","","",0.0083,<1> [GSM] (CHB) ,7.25,<0>  ,
"aceeinut  ","P",02/13/2018 12:15,0,1,1         ,1         ,"",0.0139,<0>  ,0.019,<0>  ,"","","","",0.0083,<1> [GSM] (CHB) ,7.25,<0>  ,
"aceeinut  ","P",02/13/2018 12:16,0,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"aceeinut  ","P",02/13/2018 12:16,0,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"aceeinut  ","P",03/26/2018 8:53,0,1,1         ,1         ,"",0.0112,<0>  ,0.01,<0>  ,"","","","",0.0116,<1> [SRD] (CHB) ,6.6,<0>  ,
"aceeinut  ","P",03/26/2018 8:53,0,1,1         ,1         ,"",0.0112,<0>  ,0.01,<0>  ,"","","","",0.0116,<1> [SRD] (CHB) ,6.6,<0>  ,
"aceeinut  ","P",03/26/2018 8:54,0,1,1         ,2         ,"",0.011,<0>  ,0.011,<0>  ,"","","","",0.041,<1> [SRD] (CSM) ,6.98,<0>  ,
"aceeinut  ","P",03/26/2018 8:54,0,1,1         ,2         ,"",0.011,<0>  ,0.011,<0>  ,"","","","",0.041,<1> [SRD] (CSM) ,6.98,<0>  ,
"aceeinut  ","P",04/24/2018 8:43,0,1,1         ,1         ,"",0.0145,<0>  ,0.03,<1> [SRD] (CSM) ,"","","","",0.0111,<0>  ,9.58,<0>  ,
"aceeinut  ","P",04/24/2018 8:43,0,1,1         ,1         ,"",0.0145,<0>  ,0.03,<1> [SRD] (CSM) ,"","","","",0.0111,<0>  ,9.58,<0>  ,
"aceeinut  ","P",04/24/2018 8:44,0,1,1         ,2         ,"",0.0133,<0>  ,0.018,<1> [SRD] (CSM) ,"","","","",0.0146,<0>  ,10.48,<0>  ,
"aceeinut  ","P",04/24/2018 8:44,0,1,1         ,2         ,"",0.0133,<0>  ,0.018,<1> [SRD] (CSM) ,"","","","",0.0146,<0>  ,10.48,<0>  ,
"aceeinut  ","P",05/09/2018 6:00,0,1,1         ,1         ,"",0.0123,<1> [GSM] (CHB) ,0.018,<1> [GSM] (CHB) ,"","","","",0.035,<1> [SRD] (CSM) ,4.49,<0>  ,
"aceeinut  ","P",05/09/2018 6:00,0,1,1         ,1         ,"",0.0123,<1> [GSM] (CHB) ,0.018,<1> [GSM] (CHB) ,"","","","",0.035,<1> [SRD] (CSM) ,4.49,<0>  ,
"aceeinut  ","P",05/09/2018 6:01,0,1,1         ,2         ,"",0.0125,<1> [GSM] (CHB) ,0.018,<1> [GSM] (CHB) ,"","","","",0.0887,<1> [SRD] (CSM) ,4.93,<0>  ,
"aceeinut  ","P",05/09/2018 6:01,0,1,1         ,2         ,"",0.0125,<1> [GSM] (CHB) ,0.018,<1> [GSM] (CHB) ,"","","","",0.0887,<1> [SRD] (CSM) ,4.93,<0>  ,
