"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"acefcnut  ","P",01/11/2017 11:20,1,1,1         ,1         ,"",0.0263,<0>  ,0.0323,<0>  ,"","","","",0.0148,<0>  ,1.2,<0>  ,
"acefcnut  ","P",01/11/2017 11:21,1,1,1         ,2         ,"",0.0255,<0>  ,0.0258,<0>  ,"","","","",0.0137,<0>  ,1.8,<0>  ,
"acefcnut  ","P",02/08/2017 10:07,1,1,1         ,1         ,"",0.0487,<0>  ,0.0395,<0>  ,"","","","",0.0215,<0>  ,2.3,<0>  ,
"acefcnut  ","P",02/08/2017 10:08,1,1,1         ,2         ,"",0.0481,<0>  ,0.0361,<0>  ,"","","","",0.0202,<0>  ,2.2,<0>  ,
"acefcnut  ","P",03/08/2017 8:57,1,1,1         ,1         ,"",0.0507,<0>  ,0.0316,<0>  ,"","","","",0.0454,<0>  ,3.7,<0>  ,
"acefcnut  ","P",03/08/2017 8:58,1,1,1         ,2         ,"",0.0594,<0>  ,0.0333,<0>  ,"","","","",0.0455,<0>  ,3.2,<0>  ,
"acefcnut  ","P",04/12/2017 12:56,1,1,1         ,1         ,"",0.0559,<0>  ,0.068,<0>  ,"","","","",0.0446,<0>  ,4.0,<0>  ,
"acefcnut  ","P",04/12/2017 12:57,1,1,1         ,2         ,"",0.0683,<0>  ,0.0609,<0>  ,"","","","",0.044,<0>  ,3.9,<0>  ,
"acefcnut  ","P",05/08/2017 11:24,1,1,1         ,1         ,"",0.0572,<0>  ,0.138,<0>  ,"","","","",0.0382,<0>  ,11.7,<0>  ,
"acefcnut  ","P",05/08/2017 11:25,1,1,1         ,2         ,"",0.0456,<0>  ,0.117,<0>  ,"","","","",0.035,<0>  ,10.5,<0>  ,
"acefcnut  ","P",06/05/2017 10:33,1,1,1         ,1         ,"",0.105,<0>  ,0.0475,<0>  ,"","","","",0.077,<0>  ,11.3,<0>  ,
"acefcnut  ","P",06/05/2017 10:34,1,1,1         ,2         ,"",0.101,<0>  ,0.0457,<0>  ,"","","","",0.0554,<0>  ,13.1,<0>  ,
"acefcnut  ","P",07/05/2017 10:52,1,1,1         ,1         ,"",0.119,<0>  ,0.2179,<0>  ,"","","","",0.0575,<0>  ,11.5,<0>  ,
"acefcnut  ","P",07/05/2017 10:54,1,1,1         ,2         ,"",0.122,<0>  ,0.2229,<0>  ,"","","","",0.0538,<0>  ,13.1,<0>  ,
"acefcnut  ","P",08/16/2017 7:37,1,1,1         ,1         ,"",0.114,<0>  ,0.136,<0>  ,"","","","",0.0468,<0>  ,7.9,<0>  ,
"acefcnut  ","P",08/16/2017 7:38,1,1,1         ,2         ,"",0.116,<0>  ,0.13,<0>  ,"","","","",0.047,<0>  ,8.4,<0>  ,
"acefcnut  ","P",09/18/2017 12:52,1,1,1         ,1         ,"",0.0721,<0>  ,0.0962,<0>  ,"","","","",0.0244,<0>  ,10.3,<0>  ,
"acefcnut  ","P",09/18/2017 12:53,1,1,1         ,2         ,"",0.069,<0>  ,0.0754,<0>  ,"","","","",0.02,<0>  ,12.5,<0>  ,
"acefcnut  ","P",10/02/2017 12:01,1,1,1         ,1         ,"",0.0716,<0>  ,0.0761,<0>  ,"","","","",0.0346,<0>  ,8.8,<0>  ,
"acefcnut  ","P",10/02/2017 12:02,1,1,1         ,2         ,"",0.0733,<0>  ,0.0716,<0>  ,"","","","",0.0319,<0>  ,10.5,<0>  ,
"acefcnut  ","P",11/01/2017 12:26,1,1,1         ,1         ,"",0.0804,<0>  ,0.0737,<0>  ,"","","","",0.0955,<1> [SRD] (CSM) ,27.7,<1> [GQS] (CSM) ,
"acefcnut  ","P",11/01/2017 12:27,1,1,1         ,2         ,"",0.0502,<0>  ,0.0444,<0>  ,"","","","",0.0417,<1> [SRD] (CSM) ,30.3,<1> [GQS] (CSM) ,
"acefcnut  ","P",12/04/2017 15:04,1,1,1         ,1         ,"",0.045,<0>  ,0.0282,<0>  ,"","","","",0.0281,<0>  ,5.5,<0>  ,
"acefcnut  ","P",12/04/2017 15:05,1,1,1         ,2         ,"",0.0442,<0>  ,0.0271,<0>  ,"","","","",0.0276,<0>  ,6.8,<0>  ,

