"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"acemcnut  ","P",01/11/2017 13:58,1,1,1         ,1         ,"",0.0524,<0>  ,0.0388,<0>  ,"","","","",0.017,<0>  ,1.1,<1> [SRD] (CSM) ,
"acemcnut  ","P",01/11/2017 13:59,1,1,1         ,2         ,"",0.0543,<0>  ,0.0411,<0>  ,"","","","",0.0207,<0>  ,1.9,<1> [SRD] (CSM) ,
"acemcnut  ","P",02/08/2017 12:34,1,1,1         ,1         ,"",0.0472,<0>  ,0.0703,<0>  ,"","","","",0.0281,<0>  ,2.6,<0>  ,
"acemcnut  ","P",02/08/2017 12:35,1,1,1         ,2         ,"",0.0499,<0>  ,0.0693,<0>  ,"","","","",0.0282,<0>  ,3.0,<0>  ,
"acemcnut  ","P",03/08/2017 11:05,1,1,1         ,1         ,"",0.0412,<0>  ,0.0745,<0>  ,"","","","",0.0422,<0>  ,2.3,<0>  ,
"acemcnut  ","P",03/08/2017 11:06,1,1,1         ,2         ,"",0.0436,<0>  ,0.074,<0>  ,"","","","",0.0409,<0>  ,3.3,<0>  ,
"acemcnut  ","P",04/12/2017 15:08,1,1,1         ,1         ,"",0.0929,<0>  ,0.0683,<0>  ,"","","","",0.0227,<0>  ,4.3,<0>  ,
"acemcnut  ","P",04/12/2017 15:09,1,1,1         ,2         ,"",0.0588,<0>  ,0.0625,<0>  ,"","","","",0.0267,<0>  ,4.2,<0>  ,
"acemcnut  ","P",05/08/2017 11:52,1,1,1         ,1         ,"",0.11,<0>  ,0.0575,<0>  ,"","","","",0.0648,<0>  ,21.5,<1> [GQS] (CSM) ,
"acemcnut  ","P",05/08/2017 11:53,1,1,1         ,2         ,"",0.109,<0>  ,0.0445,<0>  ,"","","","",0.0669,<0>  ,18.7,<1> [GQS] (CSM) ,
"acemcnut  ","P",06/05/2017 9:09,1,1,1         ,1         ,"",0.228,<0> (CSM) ,0.1031,<0>  ,"","","","",0.0597,<0>  ,3.3,<0>  ,
"acemcnut  ","P",06/05/2017 9:10,1,1,1         ,2         ,"",0.248,<0> (CSM) ,0.1122,<0>  ,"","","","",0.0644,<0>  ,3.7,<0>  ,
"acemcnut  ","P",07/05/2017 9:36,1,1,1         ,1         ,"",0.0592,<0>  ,0.0243,<1> [SRD] (CSM) ,"","","","",0.205,<0>  ,3.0,<0>  ,
"acemcnut  ","P",07/05/2017 9:38,1,1,1         ,2         ,"",0.0766,<0>  ,0.0145,<1> [SRD] (CSM) ,"","","","",0.196,<0>  ,4.7,<0>  ,
"acemcnut  ","P",08/16/2017 9:45,1,1,1         ,1         ,"",0.0743,<0>  ,0.0121,<0>  ,"","","","",0.162,<0>  ,7.4,<0>  ,
"acemcnut  ","P",08/16/2017 9:46,1,1,1         ,2         ,"",0.076,<0>  ,0.0167,<0>  ,"","","","",0.173,<0>  ,6.3,<0>  ,
"acemcnut  ","P",09/18/2017 10:51,1,1,1         ,1         ,"",0.0466,<0>  ,0.0746,<0>  ,"","","","",0.6688,<1> [GQS] (CSM) ,4.2,<0>  ,
"acemcnut  ","P",09/18/2017 10:52,1,1,1         ,2         ,"",0.0655,<0>  ,0.0769,<0>  ,"","","","",0.6728,<1> [GQS] (CSM) ,4.2,<0>  ,
"acemcnut  ","P",10/02/2017 9:33,1,1,1         ,1         ,"",0.0578,<0>  ,0.0192,<0>  ,"","","","",0.207,<0>  ,3.4,<0>  ,
"acemcnut  ","P",10/02/2017 9:34,1,1,1         ,2         ,"",0.0577,<0>  ,0.0285,<0>  ,"","","","",0.186,<0>  ,3.8,<0>  ,
"acemcnut  ","P",11/01/2017 11:12,1,1,1         ,1         ,"",0.106,<0>  ,0.0578,<0>  ,"","","","",0.0674,<0>  ,5.0,<0>  ,
"acemcnut  ","P",11/01/2017 11:13,1,1,1         ,2         ,"",0.113,<0>  ,0.0579,<0>  ,"","","","",0.0583,<0>  ,4.7,<0>  ,
"acemcnut  ","P",12/04/2017 12:47,1,1,1         ,1         ,"",0.0658,<0>  ,0.0364,<0>  ,"","","","",0.0505,<0>  ,6.0,<0>  ,
"acemcnut  ","P",12/04/2017 12:48,1,1,1         ,2         ,"",0.067,<0>  ,0.0414,<0>  ,"","","","",0.0514,<0>  ,5.9,<0>  ,

