"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"acespnut  ","P",01/11/2016 15:28,1,1,2         ,1         ,"",0.0475,<0>  ,0.0607,<0>  ,"","","","",0.0307,<0>  ,0.52,<0>  ,
"acespnut  ","P",01/11/2016 17:32,1,1,2         ,1         ,"",0.0234,<0>  ,0.0517,<0>  ,"","","","",0.0243,<0>  ,0.7,<0>  ,
"acespnut  ","P",01/11/2016 19:36,1,1,2         ,1         ,"",0.0262,<0>  ,0.031,<0>  ,"","","","",0.0279,<0>  ,1.38,<0>  ,
"acespnut  ","P",01/11/2016 21:40,1,1,2         ,1         ,"",0.0285,<0>  ,0.0194,<0>  ,"","","","",0.029,<0>  ,0.77,<0>  ,
"acespnut  ","P",01/11/2016 23:44,1,1,2         ,1         ,"",0.0268,<0>  ,0.0282,<0>  ,"","","","",0.0255,<0>  ,1.48,<0>  ,
"acespnut  ","P",01/12/2016 1:48,1,1,2         ,1         ,"",0.0348,<0>  ,0.0461,<0>  ,"","","","",0.0237,<0>  ,0.63,<0>  ,
"acespnut  ","P",01/12/2016 3:52,1,1,2         ,1         ,"",0.0459,<0>  ,0.0645,<0>  ,"","","","",0.025,<0>  ,0.58,<0>  ,
"acespnut  ","P",01/12/2016 5:56,1,1,2         ,1         ,"",0.0206,<0>  ,0.0496,<0>  ,"","","","",0.0185,<0>  ,1.23,<0>  ,
"acespnut  ","P",01/12/2016 8:00,1,1,2         ,1         ,"",0.0286,<0>  ,0.0263,<0>  ,"","","","",0.0283,<0>  ,2.0,<0>  ,
"acespnut  ","P",01/12/2016 10:04,1,1,2         ,1         ,"",0.0314,<0>  ,0.0191,<0>  ,"","","","",0.0301,<0>  ,4.23,<0>  ,
"acespnut  ","P",01/12/2016 12:08,1,1,2         ,1         ,"",0.0291,<0>  ,0.0145,<0>  ,"","","","",0.027,<0>  ,1.51,<0>  ,
"acespnut  ","P",01/12/2016 14:12,1,1,2         ,1         ,"",0.0309,<0>  ,0.0509,<0>  ,"","","","",0.0235,<0>  ,0.9,<0>  ,
"acespnut  ","P",01/12/2016 16:16,1,1,2         ,1         ,"",0.045,<0>  ,0.0571,<0>  ,"","","","",0.0238,<0>  ,0.33,<0>  ,
"acespnut  ","P",01/13/2016 13:00,1,1,1         ,1         ,"",0.0269,<0>  ,0.0201,<0>  ,"","","","",0.0232,<0>  ,1.82,<0>  ,
"acespnut  ","P",01/13/2016 13:01,1,1,1         ,2         ,"",0.0268,<0>  ,0.0222,<0>  ,"","","","",0.0248,<0>  ,1.55,<0>  ,
"acespnut  ","P",02/09/2016 2:31,1,1,2         ,1         ,"",0.0396,<0>  ,0.115,<0>  ,"","","","",0.0311,<0>  ,0.84,<0>  ,
"acespnut  ","P",02/09/2016 4:35,1,1,2         ,1         ,"",0.0282,<0>  ,0.098,<0>  ,"","","","",0.095,<0> (CSM) ,1.15,<0>  ,
"acespnut  ","P",02/09/2016 6:39,1,1,2         ,1         ,"",0.026,<0>  ,0.0421,<0>  ,"","","","",0.0352,<0>  ,2.35,<0>  ,
"acespnut  ","P",02/09/2016 8:43,1,1,2         ,1         ,"",0.031,<0>  ,0.0439,<0>  ,"","","","",0.021,<0>  ,3.01,<0>  ,
"acespnut  ","P",02/09/2016 10:47,1,1,2         ,1         ,"",0.0208,<0>  ,0.0289,<0>  ,"","","","",0.0178,<0>  ,2.41,<0>  ,
"acespnut  ","P",02/09/2016 12:51,1,1,2         ,1         ,"",0.0361,<0>  ,0.0801,<0>  ,"","","","",0.0402,<0>  ,1.13,<0>  ,
"acespnut  ","P",02/09/2016 14:55,1,1,2         ,1         ,"",0.0451,<0>  ,0.108,<0>  ,"","","","",0.0358,<0>  ,0.96,<0>  ,
"acespnut  ","P",02/09/2016 16:59,1,1,2         ,1         ,"",0.0401,<0>  ,0.0997,<0>  ,"","","","",0.0771,<0> (CSM) ,1.14,<0>  ,
"acespnut  ","P",02/09/2016 19:03,1,1,2         ,1         ,"",0.0378,<0>  ,0.0798,<0>  ,"","","","",0.0499,<0>  ,2.25,<0>  ,
"acespnut  ","P",02/09/2016 21:07,1,1,2         ,1         ,"",0.0236,<0>  ,0.028,<0>  ,"","","","",0.0213,<0>  ,2.32,<0>  ,
"acespnut  ","P",02/09/2016 23:11,1,1,2         ,1         ,"",0.0487,<0>  ,0.0567,<0>  ,"","","","",0.0289,<0>  ,0.97,<0>  ,
"acespnut  ","P",02/10/2016 1:15,1,1,2         ,1         ,"",0.0514,<0>  ,0.13,<0>  ,"","","","",0.0538,<0>  ,0.82,<0>  ,
"acespnut  ","P",02/10/2016 3:19,1,1,2         ,1         ,"",0.0418,<0>  ,0.136,<0>  ,"","","","",0.0258,<0>  ,0.89,<0>  ,
"acespnut  ","P",02/10/2016 13:00,1,1,1         ,1         ,"",0.0299,<0>  ,0.0694,<0>  ,"","","","",0.0402,<0>  ,1.92,<0>  ,
"acespnut  ","P",02/10/2016 13:01,1,1,1         ,2         ,"",0.0292,<0>  ,0.0709,<0>  ,"","","","",0.0411,<0>  ,1.74,<0>  ,
"acespnut  ","P",03/08/2016 1:21,1,1,2         ,1         ,"",0.0278,<0>  ,0.0952,<0>  ,"","","","",0.0208,<0>  ,1.0,<0>  ,
"acespnut  ","P",03/08/2016 3:25,1,1,2         ,1         ,"",0.0177,<0>  ,0.0871,<0>  ,"","","","",0.0279,<0>  ,2.16,<0>  ,
"acespnut  ","P",03/08/2016 5:29,1,1,2         ,1         ,"",0.0191,<0>  ,0.0264,<0>  ,"","","","",0.0168,<0>  ,2.18,<0>  ,
"acespnut  ","P",03/08/2016 7:33,1,1,2         ,1         ,"",0.021,<0>  ,0.0288,<0>  ,"","","","",0.0197,<0>  ,1.45,<0>  ,
"acespnut  ","P",03/08/2016 9:37,1,1,2         ,1         ,"",0.0241,<0>  ,0.0271,<0>  ,"","","","",0.0308,<0>  ,2.0,<0>  ,
"acespnut  ","P",03/08/2016 11:41,1,1,2         ,1         ,"",0.0202,<0>  ,0.0191,<0>  ,"","","","",0.0229,<0>  ,1.81,<0>  ,
"acespnut  ","P",03/08/2016 13:45,1,1,2         ,1         ,"",0.0261,<0>  ,0.0489,<0>  ,"","","","",0.0198,<0>  ,1.44,<0>  ,
"acespnut  ","P",03/08/2016 15:49,1,1,2         ,1         ,"",0.0212,<0>  ,0.0312,<0>  ,"","","","",0.0242,<0>  ,3.84,<0>  ,
"acespnut  ","P",03/08/2016 17:53,1,1,2         ,1         ,"",0.019,<0>  ,0.0332,<0>  ,"","","","",0.0201,<0>  ,2.93,<0>  ,
"acespnut  ","P",03/08/2016 19:57,1,1,2         ,1         ,"",0.0314,<0>  ,0.0438,<0>  ,"","","","",0.0299,<0>  ,1.56,<0>  ,
