"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gtmssnut  ","P",01/20/2016 10:30,0,1,1         ,1         ,"",0.018,<0>  ,0.036,<0>  ,0.0030,<0>  ,0.024,<0>  ,0.027,<0>  ,2.9,<0>  ,
"gtmssnut  ","P",01/20/2016 10:32,0,1,1         ,2         ,"",0.017,<0>  ,0.035,<0>  ,0.0030,<0>  ,0.02,<0>  ,0.023,<0>  ,3.0,<0>  ,
"gtmssnut  ","P",02/17/2016 9:28,0,1,1         ,1         ,"",0.015,<0>  ,0.037,<0>  ,0.0020,<0>  ,0.0070,<0>  ,0.0090,<0>  ,2.3,<0>  ,
"gtmssnut  ","P",02/17/2016 9:32,0,1,1         ,2         ,"",0.015,<0>  ,0.038,<0>  ,0.0030,<0>  ,0.0060,<0>  ,0.0090,<0>  ,1.8,<0>  ,
"gtmssnut  ","P",03/08/2016 12:20,0,1,1         ,1         ,"",0.012,<0>  ,0.03,<1> (CUS) ,0.0020,<-4> [SBL] ,0.0060,<1> (CUS) ,0.0080,<1> (CUS) ,3.6,<0>  ,
"gtmssnut  ","P",03/08/2016 12:24,0,1,1         ,2         ,"",0.012,<0>  ,0.031,<0>  ,0.0020,<-4> [SBL] ,0.0070,<0>  ,0.0090,<0>  ,3.6,<0>  ,
"gtmssnut  ","P",04/04/2016 9:40,0,1,1         ,1         ,"",0.023,<0>  ,0.16,<0>  ,0.011,<0>  ,0.02,<0>  ,0.031,<0>  ,3.7,<0>  ,
"gtmssnut  ","P",04/04/2016 9:42,0,1,1         ,2         ,"",0.026,<0>  ,0.14,<1> (CUS) ,0.0020,<-4> [SBL] ,0.028,<1> (CUS) ,0.03,<1> (CUS) ,2.6,<0>  ,
"gtmssnut  ","P",05/03/2016 10:11,0,1,1         ,1         ,"",0.021,<0>  ,0.045,<0>  ,0.0030,<0>  ,0.015,<0>  ,0.018,<0>  ,5.9,<0>  ,
"gtmssnut  ","P",05/03/2016 10:14,0,1,1         ,2         ,"",0.023,<0>  ,0.05,<0>  ,0.0040,<0>  ,0.017,<0>  ,0.021,<0>  ,5.6,<0>  ,
"gtmssnut  ","P",06/15/2016 9:43,0,1,1         ,1         ,"",0.032,<0>  ,0.084,<0>  ,0.0050,<0>  ,0.024,<0>  ,0.029,<0>  ,4.6,<0>  ,
"gtmssnut  ","P",06/15/2016 9:47,0,1,1         ,2         ,"",0.033,<0>  ,0.083,<0>  ,0.0050,<0>  ,0.023,<0>  ,0.028,<0>  ,4.8,<0>  ,
"gtmssnut  ","P",07/14/2016 9:22,0,1,1         ,1         ,"",0.037,<0>  ,0.041,<0>  ,0.0020,<0>  ,0.015,<0>  ,0.017,<0>  ,10.0,<0>  ,
"gtmssnut  ","P",07/14/2016 9:25,0,1,1         ,2         ,"",0.037,<0>  ,0.041,<0>  ,0.0020,<0>  ,0.015,<0>  ,0.017,<0>  ,11.0,<0>  ,
"gtmssnut  ","P",08/15/2016 9:38,0,1,1         ,1         ,"",0.03,<0>  ,0.043,<0>  ,0.0020,<-4> [SBL] ,0.016,<0>  ,0.018,<0>  ,5.9,<0>  ,
"gtmssnut  ","P",08/15/2016 9:40,0,1,1         ,2         ,"",0.031,<0>  ,0.042,<0>  ,0.0020,<-4> [SBL] ,0.017,<0>  ,0.019,<0>  ,6.7,<0>  ,
"gtmssnut  ","P",09/27/2016 9:29,0,1,1         ,1         ,"",0.02,<0>  ,0.033,<0>  ,0.0020,<-4> [SBL] ,0.015,<0>  ,0.017,<0>  ,5.5,<0>  ,
"gtmssnut  ","P",09/27/2016 9:30,0,1,1         ,2         ,"",0.019,<0>  ,0.03,<0>  ,0.0020,<-4> [SBL] ,0.013,<0>  ,0.015,<0>  ,4.8,<1> (CSM) ,
"gtmssnut  ","P",10/25/2016 9:08,0,1,1         ,1         ,"{CSM}",0.021,<0>  ,0.039,<0>  ,0.0040,<0>  ,0.029,<0>  ,0.033,<0>  ,4.3,<0>  ,
"gtmssnut  ","P",10/25/2016 9:09,0,1,1         ,2         ,"{CSM}",0.019,<0>  ,0.035,<0>  ,0.0040,<0>  ,0.025,<0>  ,0.029,<0>  ,4.4,<0>  ,
"gtmssnut  ","P",11/14/2016 11:40,0,1,1         ,1         ,"",0.014,<0>  ,0.016,<0>  ,0.0020,<-4> [SBL] ,0.0070,<0>  ,0.0090,<0>  ,2.7,<1> (CSM) ,
"gtmssnut  ","P",11/14/2016 11:42,0,1,1         ,2         ,"",0.014,<0>  ,0.017,<0>  ,0.0020,<-4> [SBL] ,0.0090,<0>  ,0.011,<0>  ,3.1,<0>  ,
"gtmssnut  ","P",12/12/2016 10:21,0,1,1         ,1         ,"{CSM}",0.012,<0>  ,0.015,<0>  ,0.0020,<-4> [SBL] ,0.0080,<0>  ,0.01,<0>  ,2.6,<0>  ,
"gtmssnut  ","P",12/12/2016 10:22,0,1,1         ,2         ,"{CSM}",0.012,<0>  ,0.014,<0>  ,0.0020,<-4> [SBL] ,0.0050,<0>  ,0.0070,<0>  ,2.4,<1> (CSM) ,

