"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"job09nut  ","P",01/27/2015 9:30,1,1,2         ,1         ,"{CSM}",0.0025,<1> (CHB) ,0.0437,<1> (CHB) ,0.0026,<1> (CHB) ,0.0163,<1> (CHB) ,0.0189,<1> (CHB) ,1.96,<1> (CHB) ,
"job09nut  ","P",01/27/2015 11:41,1,1,2         ,1         ,"{CSM}",0.0043,<1> (CHB) ,0.0661,<1> (CHB) ,0.0253,<1> (CHB) ,0.0211,<1> (CHB) ,0.0464,<1> (CHB) ,0.94,<1> (CHB) ,
"job09nut  ","P",01/27/2015 13:52,1,1,2         ,1         ,"{CSM}",0.0028,<1> (CHB) ,0.0429,<1> (CHB) ,0.0018,<1> (CHB) ,0.0261,<1> (CHB) ,0.0279,<1> (CHB) ,1.0,<1> (CHB) ,
"job09nut  ","P",01/27/2015 16:03,1,1,2         ,1         ,"{CSM}",0.0027,<1> (CHB) ,0.0388,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0099,<1> (CHB) ,1.93,<1> (CHB) ,
"job09nut  ","P",01/27/2015 18:14,1,1,2         ,1         ,"{CSM}",0.0020,<-4> [SBL] (CHB) ,0.0347,<1> (CHB) ,0.0017,<1> (CHB) ,0.0228,<1> (CHB) ,0.0245,<1> (CHB) ,1.51,<1> (CHB) ,
"job09nut  ","P",01/27/2015 20:25,1,1,2         ,1         ,"{CSM}",0.0020,<-4> [SBL] (CHB) ,0.0394,<1> (CHB) ,0.0028,<1> (CHB) ,0.0372,<1> (CHB) ,0.04,<1> (CHB) ,0.93,<1> (CHB) ,
"job09nut  ","P",01/27/2015 22:36,1,1,2         ,1         ,"{CSM}",0.0020,<-4> [SBL] (CHB) ,0.0481,<1> (CHB) ,0.0027,<1> (CHB) ,0.0145,<1> (CHB) ,0.0172,<1> (CHB) ,0.91,<1> (CHB) ,
"job09nut  ","P",01/28/2015 0:47,1,1,2         ,1         ,"{CSM}",0.0020,<-4> [SBL] (CHB) ,0.0407,<1> (CHB) ,0.0018,<1> (CHB) ,0.021,<1> (CHB) ,0.0228,<1> (CHB) ,0.98,<1> (CHB) ,
"job09nut  ","P",01/28/2015 2:58,1,1,2         ,1         ,"{CSM}",0.0020,<-4> [SBL] (CHB) ,0.0485,<1> (CHB) ,0.0029,<1> (CHB) ,0.0222,<1> (CHB) ,0.0251,<1> (CHB) ,0.98,<1> (CHB) ,
"job09nut  ","P",01/28/2015 5:09,1,1,2         ,1         ,"{CSM}",0.0117,<1> (CHB) ,0.0517,<1> (CHB) ,0.0029,<1> (CHB) ,0.0221,<1> (CHB) ,0.025,<1> (CHB) ,1.36,<1> (CHB) ,
