"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"niwdcnut  ","P",01/18/2015 12:13,1,1,2         ,1         ,"",0.0062,<0>  ,0.0379,<0>  ,6.0E-4,<0>  ,0.0038,<0>  ,0.0044,<0>  ,1.25,<0>  ,
"niwdcnut  ","P",01/18/2015 14:17,1,1,2         ,1         ,"",0.0069,<0>  ,0.0674,<0>  ,6.0E-4,<0>  ,0.0040,<0>  ,0.0046,<0>  ,1.38,<0>  ,
"niwdcnut  ","P",01/18/2015 16:21,1,1,2         ,1         ,"",0.0061,<0>  ,0.0306,<0>  ,5.0E-4,<0>  ,0.0027,<0>  ,0.0032,<0>  ,1.34,<0>  ,
"niwdcnut  ","P",01/18/2015 18:25,1,1,2         ,1         ,"",0.0045,<0>  ,0.0252,<0>  ,4.0E-4,<0>  ,0.0015,<0>  ,0.0019,<0>  ,2.79,<0>  ,
"niwdcnut  ","P",01/18/2015 20:29,1,1,2         ,1         ,"",0.0054,<0>  ,0.0283,<0>  ,4.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0025,<0>  ,1.76,<0>  ,
"niwdcnut  ","P",01/18/2015 22:33,1,1,2         ,1         ,"",0.0068,<0>  ,0.0468,<0>  ,5.0E-4,<0>  ,0.0033,<0>  ,0.0038,<0>  ,1.16,<0>  ,
"niwdcnut  ","P",01/19/2015 0:37,1,1,2         ,1         ,"",0.0078,<0>  ,0.0534,<0>  ,8.0E-4,<0>  ,0.0050,<0>  ,0.0058,<0>  ,1.28,<0>  ,
"niwdcnut  ","P",01/19/2015 2:41,1,1,2         ,1         ,"",0.0076,<0>  ,0.04,<0>  ,7.0E-4,<0>  ,0.0038,<0>  ,0.0045,<0>  ,1.07,<0>  ,
"niwdcnut  ","P",01/19/2015 4:45,1,1,2         ,1         ,"",0.0068,<0>  ,0.1046,<0>  ,5.0E-4,<0>  ,0.0036,<0>  ,0.0041,<0>  ,1.38,<0>  ,
"niwdcnut  ","P",01/19/2015 6:49,1,1,2         ,1         ,"",0.0030,<0>  ,0.0347,<0>  ,4.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0017,<0>  ,4.36,<0>  ,
"niwdcnut  ","P",01/19/2015 8:53,1,1,2         ,1         ,"",0.0035,<0>  ,0.0284,<0>  ,4.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0019,<0>  ,2.9,<0>  ,
"niwdcnut  ","P",01/19/2015 10:57,1,1,2         ,1         ,"",0.0059,<0>  ,0.0496,<0>  ,4.0E-4,<0>  ,0.0023,<0>  ,0.0027,<0>  ,1.61,<0>  ,
"niwdcnut  ","P",01/19/2015 13:01,1,1,2         ,1         ,"",0.0068,<0>  ,0.0623,<0>  ,6.0E-4,<0>  ,0.0038,<0>  ,0.0044,<0>  ,1.51,<0>  ,
