"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"niwolnut  ","P",01/13/2016 4:01,1,1,2         ,1         ,"",0.0278,<0>  ,0.0958,<0>  ,0.0011,<0>  ,0.0166,<0>  ,0.0177,<0>  ,2.15,<1> [GSM] ,
"niwolnut  ","P",01/13/2016 6:05,1,1,2         ,1         ,"",0.0232,<0>  ,0.0969,<0>  ,0.0013,<0>  ,0.0208,<0>  ,0.0221,<0>  ,1.58,<1> [GSM] ,
"niwolnut  ","P",01/13/2016 8:09,1,1,2         ,1         ,"",0.0123,<0>  ,0.062,<0>  ,0.0012,<0>  ,0.0595,<0>  ,0.0607,<0>  ,1.59,<1> [GSM] ,
"niwolnut  ","P",01/13/2016 10:13,1,1,2         ,1         ,"",0.0046,<0>  ,0.0316,<0>  ,2.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0102,<0>  ,4.37,<1> [GSM] ,
"niwolnut  ","P",01/13/2016 12:17,1,1,2         ,1         ,"",0.0056,<0>  ,0.0303,<0>  ,2.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0179,<0>  ,2.8,<1> [GSM] ,
"niwolnut  ","P",01/13/2016 14:21,1,1,2         ,1         ,"",0.0088,<0>  ,0.0405,<0>  ,5.0E-4,<0>  ,0.0358,<0>  ,0.0363,<0>  ,1.64,<1> [GSM] ,
"niwolnut  ","P",01/13/2016 16:25,1,1,2         ,1         ,"",0.013,<0>  ,0.0589,<0>  ,6.0E-4,<0>  ,0.0263,<0>  ,0.0269,<0>  ,2.9,<1> [GSM] ,
"niwolnut  ","P",01/13/2016 18:29,1,1,2         ,1         ,"",0.0143,<0>  ,0.0617,<0>  ,6.0E-4,<0>  ,0.0285,<0>  ,0.0291,<0>  ,1.98,<1> [GSM] ,
"niwolnut  ","P",01/13/2016 20:33,1,1,2         ,1         ,"",0.0097,<0>  ,0.0493,<0>  ,6.0E-4,<0>  ,0.0404,<0>  ,0.041,<0>  ,1.95,<1> [GSM] ,
"niwolnut  ","P",01/13/2016 22:37,1,1,2         ,1         ,"",0.0050,<0>  ,0.0313,<0>  ,2.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0195,<0>  ,2.76,<1> [GSM] ,
"niwolnut  ","P",01/14/2016 0:41,1,1,2         ,1         ,"",0.0072,<0>  ,0.061,<0>  ,2.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.03,<0>  ,1.68,<1> [GSM] ,
"niwolnut  ","P",01/14/2016 2:45,1,1,2         ,1         ,"",0.0103,<0>  ,0.0496,<0>  ,3.0E-4,<0>  ,0.0296,<0>  ,0.0299,<0>  ,1.55,<1> [GSM] ,
"niwolnut  ","P",01/14/2016 4:49,1,1,2         ,1         ,"",0.0166,<0>  ,0.0649,<0>  ,4.0E-4,<0>  ,0.0209,<0>  ,0.0213,<0>  ,2.04,<1> [GSM] ,
"niwolnut  ","P",01/14/2016 4:51,1,1,1         ,1         ,"",0.016,<0>  ,0.066,<0>  ,6.0E-4,<0>  ,0.0202,<0>  ,0.0208,<0>  ,1.99,<1> [GSM] ,
"niwolnut  ","P",01/14/2016 4:53,1,1,1         ,2         ,"",0.0165,<0>  ,0.0612,<0>  ,7.0E-4,<0>  ,0.0211,<0>  ,0.0218,<0>  ,2.06,<1> [GSM] ,
