"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"niwtanut  ","P",01/17/2019 12:26,0,1,2         ,1         ,"",0.041,<0>  ,0.0621,<0>  ,0.0036,<0>  ,0.3271,<0>  ,0.3307,<0>  ,1.47,<0>  ,
"niwtanut  ","P",01/17/2019 14:30,0,1,2         ,1         ,"",0.0261,<0>  ,0.0643,<0>  ,0.0052,<0>  ,0.3837,<0>  ,0.3889,<0>  ,1.65,<0>  ,
"niwtanut  ","P",01/17/2019 16:34,0,1,2         ,1         ,"",0.0264,<0>  ,0.0376,<0>  ,0.0055,<0>  ,0.3898,<0>  ,0.3953,<0>  ,1.7,<0>  ,
"niwtanut  ","P",01/17/2019 18:38,0,1,2         ,1         ,"",0.0259,<0>  ,0.0459,<0>  ,0.0062,<0>  ,0.4081,<0>  ,0.4143,<0>  ,1.58,<0>  ,
"niwtanut  ","P",01/17/2019 20:42,0,1,2         ,1         ,"",0.0316,<0>  ,0.0394,<0>  ,0.0048,<0>  ,0.3613,<0>  ,0.3661,<0>  ,1.49,<0>  ,
"niwtanut  ","P",01/17/2019 22:46,0,1,2         ,1         ,"",0.0484,<0>  ,0.0832,<0>  ,0.0038,<0>  ,0.2984,<0>  ,0.3022,<0>  ,1.12,<0>  ,
"niwtanut  ","P",01/18/2019 0:50,0,1,2         ,1         ,"",0.0542,<0>  ,0.0654,<0>  ,0.0039,<0>  ,0.2846,<0>  ,0.2885,<0>  ,0.95,<0>  ,
"niwtanut  ","P",01/18/2019 2:54,0,1,2         ,1         ,"",0.0275,<0>  ,0.0761,<0>  ,0.0063,<0>  ,0.387,<0>  ,0.3933,<0>  ,1.32,<0>  ,
"niwtanut  ","P",01/18/2019 4:58,0,1,2         ,1         ,"",0.0264,<0>  ,0.0704,<0>  ,0.0069,<0>  ,0.4052,<0>  ,0.4121,<0>  ,1.4,<0>  ,
"niwtanut  ","P",01/18/2019 7:02,0,1,2         ,1         ,"",0.0265,<0>  ,0.0639,<0>  ,0.0071,<0>  ,0.4028,<0>  ,0.4099,<0>  ,1.52,<0>  ,
"niwtanut  ","P",01/18/2019 9:06,0,1,2         ,1         ,"",0.0281,<0>  ,0.0697,<0>  ,0.0066,<0>  ,0.3915,<0>  ,0.3981,<0>  ,1.3,<0>  ,
"niwtanut  ","P",01/18/2019 11:10,0,1,2         ,1         ,"",0.0327,<0>  ,0.0612,<0>  ,0.0059,<0>  ,0.3581,<0>  ,0.364,<0>  ,1.66,<0>  ,
"niwtanut  ","P",01/18/2019 13:14,0,1,2         ,1         ,"",0.0426,<0>  ,0.0612,<0>  ,0.0053,<0>  ,0.3189,<0>  ,0.3242,<0>  ,1.67,<0>  ,
"niwtanut  ","P",01/18/2019 13:16,0,1,1         ,1         ,"",0.0436,<0>  ,0.06,<0>  ,0.0054,<0>  ,0.3114,<0>  ,0.3168,<0>  ,1.58,<0>  ,
"niwtanut  ","P",01/18/2019 13:18,0,1,1         ,2         ,"",0.0437,<0>  ,0.0848,<0>  ,0.0052,<0>  ,0.3029,<0>  ,0.3081,<0>  ,1.54,<0>  ,
"niwtanut  ","P",02/06/2019 4:14,0,1,2         ,1         ,"",0.0372,<0>  ,0.0522,<0>  ,0.0040,<0>  ,0.3579,<0>  ,0.3619,<0>  ,1.8,<0>  ,
"niwtanut  ","P",02/06/2019 6:18,0,1,2         ,1         ,"",0.0229,<0>  ,0.0536,<0>  ,0.0071,<0>  ,0.4893,<0>  ,0.4964,<0>  ,2.99,<0>  ,
"niwtanut  ","P",02/06/2019 8:22,0,1,2         ,1         ,"",0.0231,<0>  ,0.0473,<0>  ,0.0080,<0>  ,0.5032,<0>  ,0.5112,<0>  ,3.64,<0>  ,
"niwtanut  ","P",02/06/2019 10:26,0,1,2         ,1         ,"",0.0238,<0>  ,0.0384,<0>  ,0.0081,<0>  ,0.5123,<0>  ,0.5204,<0>  ,3.98,<0>  ,
"niwtanut  ","P",02/06/2019 12:30,0,1,2         ,1         ,"",0.024,<0>  ,0.0414,<0>  ,0.0080,<0>  ,0.4973,<0>  ,0.5053,<0>  ,4.35,<0>  ,
"niwtanut  ","P",02/06/2019 14:34,0,1,2         ,1         ,"",0.0269,<0>  ,0.0382,<0>  ,0.0070,<0>  ,0.4556,<0>  ,0.4626,<0>  ,4.1,<0>  ,
"niwtanut  ","P",02/06/2019 16:38,0,1,2         ,1         ,"",0.0329,<0>  ,0.0503,<0>  ,0.0058,<0>  ,0.3986,<0>  ,0.4044,<0>  ,3.45,<0>  ,
"niwtanut  ","P",02/06/2019 18:42,0,1,2         ,1         ,"",0.0272,<0>  ,0.0414,<0>  ,0.0068,<0>  ,0.4414,<0>  ,0.4482,<0>  ,5.11,<0>  ,
"niwtanut  ","P",02/06/2019 20:46,0,1,2         ,1         ,"",0.0238,<0>  ,0.0406,<0>  ,0.0081,<0>  ,0.4899,<0>  ,0.498,<0>  ,4.73,<0>  ,
"niwtanut  ","P",02/06/2019 22:50,0,1,2         ,1         ,"",0.024,<0>  ,0.0631,<0>  ,0.0087,<0>  ,0.5103,<0>  ,0.519,<0>  ,3.71,<0>  ,
"niwtanut  ","P",02/07/2019 0:54,0,1,2         ,1         ,"",0.0276,<0>  ,0.0466,<0>  ,0.0073,<0>  ,0.4596,<0>  ,0.4669,<0>  ,3.41,<0>  ,
"niwtanut  ","P",02/07/2019 2:58,0,1,2         ,1         ,"",0.0377,<0>  ,0.0664,<0>  ,0.0058,<0>  ,0.364,<0>  ,0.3698,<0>  ,2.67,<0>  ,
"niwtanut  ","P",02/07/2019 5:02,0,1,2         ,1         ,"",0.0472,<0>  ,0.0709,<0>  ,0.0055,<0>  ,0.3271,<0>  ,0.3326,<0>  ,2.27,<0>  ,
"niwtanut  ","P",02/07/2019 5:04,0,1,1         ,1         ,"",0.0476,<0>  ,0.0827,<0>  ,0.0055,<0>  ,0.3254,<0>  ,0.3309,<0>  ,2.2,<0>  ,
"niwtanut  ","P",02/07/2019 5:06,0,1,1         ,2         ,"",0.0478,<0>  ,0.0706,<0>  ,0.0055,<0>  ,0.327,<0>  ,0.3325,<0>  ,2.24,<0>  ,
"niwtanut  ","P",02/26/2019 9:08,0,1,2         ,1         ,"",0.0465,<0>  ,0.1128,<0>  ,0.0058,<0>  ,0.4167,<0>  ,0.4225,<0>  ,3.94,<0>  ,
"niwtanut  ","P",02/26/2019 11:12,0,1,2         ,1         ,"",0.024,<0>  ,0.0637,<0>  ,0.01,<0>  ,0.5689,<0>  ,0.5789,<0>  ,12.34,<0>  ,
"niwtanut  ","P",02/26/2019 13:16,0,1,2         ,1         ,"",0.0245,<0>  ,0.0556,<0>  ,0.0101,<0>  ,0.5604,<0>  ,0.5705,<0>  ,10.76,<0>  ,
"niwtanut  ","P",02/26/2019 15:20,0,1,2         ,1         ,"",0.022,<0>  ,0.0702,<0>  ,0.0099,<0>  ,0.5572,<0>  ,0.5671,<0>  ,6.74,<0>  ,
"niwtanut  ","P",02/26/2019 17:24,0,1,2         ,1         ,"",0.029,<0>  ,0.0682,<0>  ,0.0089,<0>  ,0.5305,<0>  ,0.5394,<0>  ,7.32,<0>  ,
"niwtanut  ","P",02/26/2019 19:28,0,1,2         ,1         ,"",0.049,<0>  ,0.0998,<0>  ,0.0064,<0>  ,0.4169,<0>  ,0.4233,<0>  ,3.41,<0>  ,
"niwtanut  ","P",02/26/2019 21:32,0,1,2         ,1         ,"",0.0528,<0>  ,0.1044,<0>  ,0.0062,<0>  ,0.4086,<0>  ,0.4148,<0>  ,2.8,<0>  ,
"niwtanut  ","P",02/26/2019 23:36,0,1,2         ,1         ,"",0.0275,<0>  ,0.0783,<0>  ,0.01,<0>  ,0.5622,<0>  ,0.5722,<0>  ,5.1,<0>  ,
"niwtanut  ","P",02/27/2019 1:40,0,1,2         ,1         ,"",0.0224,<0>  ,0.0891,<0>  ,0.0094,<0>  ,0.5499,<0>  ,0.5593,<0>  ,3.68,<0>  ,
"niwtanut  ","P",02/27/2019 3:44,0,1,2         ,1         ,"",0.0197,<0>  ,0.1013,<0>  ,0.0089,<0>  ,0.5179,<0>  ,0.5268,<0>  ,2.6,<0>  ,
"niwtanut  ","P",02/27/2019 5:48,0,1,2         ,1         ,"",0.0198,<0>  ,0.1027,<0>  ,0.0087,<0>  ,0.5155,<0>  ,0.5242,<0>  ,2.99,<0>  ,
"niwtanut  ","P",02/27/2019 7:52,0,1,2         ,1         ,"",0.0284,<0>  ,0.0891,<0>  ,0.0075,<0>  ,0.5053,<0>  ,0.5128,<0>  ,4.42,<0>  ,
"niwtanut  ","P",02/27/2019 9:56,0,1,2         ,1         ,"",0.042,<0>  ,0.0896,<0>  ,0.0065,<0>  ,0.4185,<0>  ,0.425,<0>  ,4.3,<0>  ,
"niwtanut  ","P",02/27/2019 9:58,0,1,1         ,1         ,"",0.0427,<0>  ,0.088,<0>  ,0.0066,<0>  ,0.4276,<0>  ,0.4342,<0>  ,4.42,<0>  ,
"niwtanut  ","P",02/27/2019 10:00,0,1,1         ,2         ,"",0.0428,<0>  ,0.1011,<0>  ,0.0066,<0>  ,0.42,<0>  ,0.4266,<0>  ,4.43,<0>  ,
"niwtanut  ","P",03/18/2019 13:34,0,1,2         ,1         ,"",0.0257,<0>  ,0.054,<0>  ,0.0031,<0>  ,0.283,<0>  ,0.2861,<0>  ,7.08,<0>  ,
"niwtanut  ","P",03/18/2019 15:38,0,1,2         ,1         ,"",0.0183,<0>  ,0.0307,<0>  ,0.0039,<0>  ,0.3204,<0>  ,0.3243,<0>  ,14.4,<0>  ,
"niwtanut  ","P",03/18/2019 17:42,0,1,2         ,1         ,"",0.0185,<0>  ,0.032,<0>  ,0.0046,<0>  ,0.3423,<0>  ,0.3469,<0>  ,11.04,<0>  ,
"niwtanut  ","P",03/18/2019 19:46,0,1,2         ,1         ,"",0.017,<0>  ,0.0628,<0>  ,0.0045,<0>  ,0.3683,<0>  ,0.3728,<0>  ,9.29,<0>  ,
"niwtanut  ","P",03/18/2019 21:50,0,1,2         ,1         ,"",0.0204,<0>  ,0.0363,<0>  ,0.0040,<0>  ,0.3307,<0>  ,0.3347,<0>  ,7.36,<0>  ,
"niwtanut  ","P",03/18/2019 23:54,0,1,2         ,1         ,"",0.0239,<0>  ,0.0499,<0>  ,0.0036,<0>  ,0.2944,<0>  ,0.298,<0>  ,5.74,<0>  ,
"niwtanut  ","P",03/19/2019 1:58,0,1,2         ,1         ,"",0.0301,<0>  ,0.0769,<0>  ,0.0033,<0>  ,0.2463,<0>  ,0.2496,<0>  ,4.55,<0>  ,
"niwtanut  ","P",03/19/2019 4:02,0,1,2         ,1         ,"",0.0217,<0>  ,0.0482,<0>  ,0.0047,<0>  ,0.3418,<0>  ,0.3465,<0>  ,6.92,<0>  ,
"niwtanut  ","P",03/19/2019 6:06,0,1,2         ,1         ,"",0.022,<0>  ,0.061,<0>  ,0.0052,<0>  ,0.3698,<0>  ,0.375,<0>  ,8.26,<0>  ,
"niwtanut  ","P",03/19/2019 8:10,0,1,2         ,1         ,"",0.0181,<0>  ,0.0563,<0>  ,0.0047,<0>  ,0.3655,<0>  ,0.3702,<0>  ,6.75,<0>  ,
"niwtanut  ","P",03/19/2019 10:14,0,1,2         ,1         ,"",0.018,<0>  ,0.0644,<0>  ,0.0045,<0>  ,0.3485,<0>  ,0.353,<0>  ,7.0,<0>  ,
"niwtanut  ","P",03/19/2019 12:18,0,1,2         ,1         ,"",0.0221,<0>  ,0.0467,<0>  ,0.0046,<0>  ,0.3385,<0>  ,0.3431,<0>  ,8.32,<0>  ,
"niwtanut  ","P",03/19/2019 14:22,0,1,2         ,1         ,"",0.0246,<0>  ,0.0559,<0>  ,0.0046,<0>  ,0.3198,<0>  ,0.3244,<0>  ,7.5,<0>  ,
"niwtanut  ","P",03/19/2019 14:24,0,1,1         ,1         ,"",0.0251,<0>  ,0.0455,<0>  ,0.0046,<0>  ,0.3163,<0>  ,0.3209,<0>  ,7.32,<0>  ,
