"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"nocrcnut  ","P",01/09/2019 11:43,0,1,2         ,1         ,"",0.0012,<-4> [SBL] ,0.0111,<0>  ,2.0E-4,<-4> [SBL] ,0.0147,<-4> [SCB] ,0.0149,<0>  ,1.55,<0>  ,
"nocrcnut  ","P",01/09/2019 13:47,0,1,2         ,1         ,"",0.0025,<0>  ,0.0083,<0>  ,0.0010,<-4> [SBL] ,0.0189,<-4> [SCB] ,0.0199,<0>  ,1.97,<0>  ,
"nocrcnut  ","P",01/09/2019 13:47,0,1,1         ,1         ,"",0.0090,<0>  ,0.0295,<0>  ,0.0017,<0>  ,0.0889,<0>  ,0.0906,<0>  ,2.01,<0>  ,
"nocrcnut  ","P",01/09/2019 15:51,0,1,2         ,1         ,"",0.0053,<0>  ,0.0228,<0>  ,0.0011,<-4> [SBL] ,0.0172,<-4> [SCB] ,0.0183,<0>  ,2.91,<0>  ,
"nocrcnut  ","P",01/09/2019 17:55,0,1,2         ,1         ,"",0.0061,<0>  ,0.0402,<0>  ,8.0E-4,<-4> [SBL] ,0.0623,<-4> [SCB] ,0.0631,<0>  ,4.25,<0>  ,
"nocrcnut  ","P",01/09/2019 19:59,0,1,2         ,1         ,"",0.0039,<0>  ,0.0125,<0>  ,0.0010,<-4> [SBL] ,0.0584,<-4> [SCB] ,0.0594,<0>  ,1.88,<0>  ,
"nocrcnut  ","P",01/09/2019 22:03,0,1,2         ,1         ,"",0.0089,<0>  ,0.021,<0>  ,9.0E-4,<-4> [SBL] ,0.0368,<-4> [SCB] ,0.0377,<0>  ,2.78,<0>  ,
"nocrcnut  ","P",01/10/2019 0:07,0,1,2         ,1         ,"",0.0059,<0>  ,0.0154,<0>  ,0.0012,<-4> [SBL] ,0.0643,<-4> [SCB] ,0.0655,<0>  ,2.09,<0>  ,
"nocrcnut  ","P",01/10/2019 2:11,0,1,2         ,1         ,"",0.0065,<0>  ,0.0198,<0>  ,0.0012,<-4> [SBL] ,0.0582,<-4> [SCB] ,0.0594,<0>  ,3.37,<0>  ,
"nocrcnut  ","P",01/10/2019 4:15,0,1,2         ,1         ,"",0.0077,<0>  ,0.0272,<0>  ,5.0E-4,<-4> [SBL] ,0.058,<-4> [SCB] ,0.0585,<0>  ,4.61,<0>  ,
"nocrcnut  ","P",01/10/2019 6:19,0,1,2         ,1         ,"",0.0088,<0>  ,0.0306,<0>  ,0.0014,<-4> [SBL] ,0.0966,<-4> [SCB] ,0.098,<0>  ,3.89,<0>  ,
"nocrcnut  ","P",01/10/2019 8:23,0,1,2         ,1         ,"",0.0066,<0>  ,0.0254,<0>  ,0.0010,<-4> [SBL] ,0.0665,<-4> [SCB] ,0.0675,<0>  ,2.94,<0>  ,
"nocrcnut  ","P",01/10/2019 10:27,0,1,2         ,1         ,"",0.0042,<0>  ,0.0198,<0>  ,3.0E-4,<-4> [SBL] ,0.0176,<-4> [SCB] ,0.0179,<0>  ,4.55,<0>  ,
"nocrcnut  ","P",01/10/2019 12:31,0,1,2         ,1         ,"",0.0056,<0>  ,0.0209,<0>  ,5.0E-4,<-4> [SBL] ,0.0588,<-4> [SCB] ,0.0593,<0>  ,2.19,<0>  ,
"nocrcnut  ","P",02/12/2019 12:04,0,1,2         ,1         ,"",8.0E-4,<-4> [SBL] ,0.0187,<0>  ,0.0,<-4> [SBL] ,0.0,<-4> [SCB] ,0.0,<-4> [SBL] ,1.15,<0>  ,
"nocrcnut  ","P",02/12/2019 14:08,0,1,2         ,1         ,"",0.0023,<0>  ,0.0768,<0>  ,0.0,<-4> [SBL] ,0.0,<-4> [SCB] ,0.0,<-4> [SBL] ,2.06,<0>  ,
"nocrcnut  ","P",02/12/2019 16:12,0,1,2         ,1         ,"",0.0020,<0>  ,0.0387,<0>  ,0.0,<-4> [SBL] ,0.0,<-4> [SCB] ,0.0,<-4> [SBL] ,2.06,<0>  ,
"nocrcnut  ","P",02/12/2019 18:16,0,1,2         ,1         ,"",0.0018,<0>  ,0.061,<0>  ,0.0,<-4> [SBL] ,0.0,<-4> [SCB] ,0.0,<-4> [SBL] ,3.3,<0>  ,
"nocrcnut  ","P",02/12/2019 20:20,0,1,2         ,1         ,"",0.0034,<0>  ,0.0461,<0>  ,0.0,<-4> [SBL] ,0.0,<-4> [SCB] ,0.0,<-4> [SBL] ,2.4,<0>  ,
"nocrcnut  ","P",02/12/2019 22:24,0,1,2         ,1         ,"",0.0024,<0>  ,0.0093,<0>  ,0.0,<-4> [SBL] ,0.0059,<-4> [SCB] ,0.0059,<0>  ,2.72,<0>  ,
"nocrcnut  ","P",02/13/2019 0:28,0,1,2         ,1         ,"",0.0028,<0>  ,0.0086,<0>  ,0.0,<-4> [SBL] ,0.0,<-4> [SCB] ,0.0,<-4> [SBL] ,1.81,<0>  ,
"nocrcnut  ","P",02/13/2019 2:32,0,1,2         ,1         ,"",0.0036,<0>  ,0.016,<0>  ,0.0,<-4> [SBL] ,0.0011,<-4> [SCB] ,0.0011,<-4> [SBL] ,1.43,<0>  ,
