event,parameter,station,date,min,max,mean,median,total,station_name
Matthew,atemp,gtmpcmet,2016-10-01,70.7,84.92,78.5631578947368,79.7,NA,Pellicer Creek (PC)
Matthew,atemp,gtmpcmet,2016-10-02,71.6,84.74,78.888125,80.33,NA,Pellicer Creek (PC)
Matthew,atemp,gtmpcmet,2016-10-03,74.12,83.3,78.22625,78.62,NA,Pellicer Creek (PC)
Matthew,atemp,gtmpcmet,2016-10-04,73.4,82.58,79.521875,80.06,NA,Pellicer Creek (PC)
Matthew,atemp,gtmpcmet,2016-10-05,76.46,83.66,80.024375,79.88,NA,Pellicer Creek (PC)
Matthew,atemp,gtmpcmet,2016-10-06,77.36,82.22,80.25125,80.33,NA,Pellicer Creek (PC)
Matthew,atemp,gtmpcmet,2016-10-07,75.74,81.32,78.951875,78.98,NA,Pellicer Creek (PC)
Matthew,atemp,gtmpcmet,2016-10-08,73.76,85.28,78.768125,77.72,NA,Pellicer Creek (PC)
Matthew,atemp,gtmpcmet,2016-10-09,71.42,78.44,75.606875,76.28,NA,Pellicer Creek (PC)
Matthew,atemp,gtmpcmet,2016-10-10,73.04,77.36,75.573125,75.74,NA,Pellicer Creek (PC)
Matthew,atemp,gtmpcmet,2016-10-11,72.86,77.9,75.00125,75.02,NA,Pellicer Creek (PC)
Matthew,atemp,gtmpcmet,2016-10-12,72.32,79.7,77.15375,77.45,NA,Pellicer Creek (PC)
Matthew,atemp,gtmpcmet,2016-10-13,73.04,79.16,76.685,76.64,NA,Pellicer Creek (PC)
Matthew,atemp,gtmpcmet,2016-10-14,68.36,80.06,76.3175,76.82,NA,Pellicer Creek (PC)
Matthew,atemp,gtmpcmet,2016-10-15,71.6,81.68,78.318125,78.44,NA,Pellicer Creek (PC)
Matthew,atemp,gtmpcmet,2016-10-16,77.54,78.26,77.9857142857143,78.08,NA,Pellicer Creek (PC)
Matthew,bp,gtmpcmet,2016-10-01,29.9728325064966,30.0614221592251,30.0225670483793,30.0023623907394,NA,Pellicer Creek (PC)
Matthew,bp,gtmpcmet,2016-10-02,29.9728325064966,30.0318922749823,30.0106676706827,30.0023623907394,NA,Pellicer Creek (PC)
Matthew,bp,gtmpcmet,2016-10-03,29.8547129695252,30.0023623907394,29.9417646074494,29.9433026222537,NA,Pellicer Creek (PC)
Matthew,bp,gtmpcmet,2016-10-04,29.8547129695252,29.9433026222537,29.9042370462241,29.9137727380109,NA,Pellicer Creek (PC)
Matthew,bp,gtmpcmet,2016-10-05,29.8547129695252,29.9433026222537,29.9091586935979,29.9137727380109,NA,Pellicer Creek (PC)
Matthew,bp,gtmpcmet,2016-10-06,29.8251830852823,29.9433026222537,29.8900873100244,29.884242853768,NA,Pellicer Creek (PC)
Matthew,bp,gtmpcmet,2016-10-07,28.880226789511,29.8547129695252,29.4025366170565,29.4708244743681,NA,Pellicer Creek (PC)
Matthew,bp,gtmpcmet,2016-10-08,29.3231750531538,29.8547129695252,29.6495417946295,29.6922986061895,NA,Pellicer Creek (PC)
Matthew,bp,gtmpcmet,2016-10-09,29.8547129695252,30.090952043468,29.9860594338137,30.0023623907394,NA,Pellicer Creek (PC)
Matthew,bp,gtmpcmet,2016-10-10,30.090952043468,30.2090715804394,30.1481661941885,30.1352468698323,NA,Pellicer Creek (PC)
Matthew,bp,gtmpcmet,2016-10-11,30.1500118119537,30.2090715804394,30.1838481376486,30.1795416961966,NA,Pellicer Creek (PC)
Matthew,bp,gtmpcmet,2016-10-12,30.0614221592251,30.1500118119537,30.1072550003937,30.1204819277108,NA,Pellicer Creek (PC)
Matthew,bp,gtmpcmet,2016-10-13,30.0318922749823,30.1204819277108,30.0829543664856,30.090952043468,NA,Pellicer Creek (PC)
Matthew,bp,gtmpcmet,2016-10-14,30.1204819277108,30.2090715804394,30.1484737971494,30.1500118119537,NA,Pellicer Creek (PC)
Matthew,bp,gtmpcmet,2016-10-15,30.1204819277108,30.2090715804394,30.158317091897,30.1500118119537,NA,Pellicer Creek (PC)
Matthew,bp,gtmpcmet,2016-10-16,30.1500118119537,30.1500118119537,30.1500118119537,30.1500118119537,NA,Pellicer Creek (PC)
Matthew,intensprcp,gtmpcmet,2016-10-01,0,0,0,0,NA,Pellicer Creek (PC)
Matthew,intensprcp,gtmpcmet,2016-10-02,0,0,0,0,NA,Pellicer Creek (PC)
Matthew,intensprcp,gtmpcmet,2016-10-03,0,0,0,0,NA,Pellicer Creek (PC)
Matthew,intensprcp,gtmpcmet,2016-10-04,0,0.078740157480315,0.00180446194225722,0,NA,Pellicer Creek (PC)
