event,parameter,station,date,min,max,mean,median,station_name
Matthew,cdepth,gtmfmwq,2016-10-01,5.6430448,9.678478,7.38016324210526,7.1522312,Fort Matanzas (FM)
Matthew,cdepth,gtmfmwq,2016-10-02,6.1351708,9.7440948,7.92664614166667,7.9232286,Fort Matanzas (FM)
Matthew,cdepth,gtmfmwq,2016-10-03,6.4632548,9.9737536,8.195948425,8.2021,Fort Matanzas (FM)
Matthew,cdepth,gtmfmwq,2016-10-04,6.9881892,10.334646,8.610154475,8.5958008,Fort Matanzas (FM)
Matthew,cdepth,gtmfmwq,2016-10-05,7.8412076,10.990814,9.3309140125,9.3011814,Fort Matanzas (FM)
Matthew,cdepth,gtmfmwq,2016-10-06,8.4317588,11.4173232,9.81005335416667,9.7769032,Fort Matanzas (FM)
Matthew,cdepth,gtmfmwq,2016-10-07,8.9566932,15.4527564,11.7744563041667,11.2532812,Fort Matanzas (FM)
Matthew,cdepth,gtmfmwq,2016-10-08,7.0209976,11.4173232,9.00453878333333,9.268373,Fort Matanzas (FM)
Matthew,cdepth,gtmfmwq,2016-10-09,7.0209976,10.334646,8.71233897083333,8.8418638,Fort Matanzas (FM)
Matthew,cdepth,gtmfmwq,2016-10-10,7.4803152,10.9251972,9.19113655833333,9.1535436,Fort Matanzas (FM)
Matthew,cdepth,gtmfmwq,2016-10-11,8.038058,11.2860896,9.4765012875,9.3832024,Fort Matanzas (FM)
Matthew,cdepth,gtmfmwq,2016-10-12,7.9724412,11.3517064,9.5995327875,9.5800528,Fort Matanzas (FM)
Matthew,cdepth,gtmfmwq,2016-10-13,7.3490816,11.1220476,9.25880388333333,9.3011814,Fort Matanzas (FM)
Matthew,cdepth,gtmfmwq,2016-10-14,6.5944884,10.8923888,8.68260635833333,8.694226,Fort Matanzas (FM)
Matthew,cdepth,gtmfmwq,2016-10-15,6.6272968,10.826772,8.70311160833333,8.7106302,Fort Matanzas (FM)
Matthew,cdepth,gtmfmwq,2016-10-16,8.7598428,10.9251972,10.1721663047619,10.3674544,Fort Matanzas (FM)
Matthew,cdepth,gtmpcwq,2016-10-01,4.0026248,5.74147,4.83621717368421,4.7900264,Pellicer Creek (PC)
Matthew,cdepth,gtmpcwq,2016-10-02,4.265092,5.8727036,5.09897216666667,5.1181104,Pellicer Creek (PC)
Matthew,cdepth,gtmpcwq,2016-10-03,4.429134,6.1351708,5.317011325,5.3969818,Pellicer Creek (PC)
Matthew,cdepth,gtmpcwq,2016-10-04,4.757218,6.4304464,5.63620971666667,5.6922574,Pellicer Creek (PC)
Matthew,cdepth,gtmpcwq,2016-10-05,5.249344,7.053806,6.1679792,6.1843834,Pellicer Creek (PC)
Matthew,cdepth,gtmpcwq,2016-10-06,6.0367456,7.5131236,6.67480062916667,6.6272968,Pellicer Creek (PC)
Matthew,cdepth,gtmpcwq,2016-10-07,6.5288716,10.990814,8.2851462625,7.7427824,Pellicer Creek (PC)
Matthew,cdepth,gtmpcwq,2016-10-08,5.413386,9.6456696,6.85763910833333,6.397638,Pellicer Creek (PC)
Matthew,cdepth,gtmpcwq,2016-10-09,5.1181104,6.6929136,5.8429709875,5.8070868,Pellicer Creek (PC)
Matthew,cdepth,gtmpcwq,2016-10-10,5.4461944,7.1850396,6.18916795833333,6.151575,Pellicer Creek (PC)
Matthew,cdepth,gtmpcwq,2016-10-11,5.905512,7.3490816,6.50973336666667,6.5124674,Pellicer Creek (PC)
Matthew,cdepth,gtmpcwq,2016-10-12,5.9383204,7.4475068,6.67309185833333,6.6601052,Pellicer Creek (PC)
Matthew,cdepth,gtmpcwq,2016-10-13,5.6758532,7.4475068,6.5257958125,6.4960632,Pellicer Creek (PC)
Matthew,cdepth,gtmpcwq,2016-10-14,5.1181104,7.0209976,6.07809785416667,6.069554,Pellicer Creek (PC)
Matthew,cdepth,gtmpcwq,2016-10-15,5.1181104,6.7585304,6.0070129875,6.0367456,Pellicer Creek (PC)
Matthew,cdepth,gtmpcwq,2016-10-16,5.8070868,6.889764,6.51793546666667,6.6601052,Pellicer Creek (PC)
Matthew,cdepth,gtmpiwq,2016-10-01,7.9724412,13.0249348,10.4568141210526,10.4002628,Pine Island (PI)
Matthew,cdepth,gtmpiwq,2016-10-02,8.5958008,13.12336,11.1104279583333,11.3353022,Pine Island (PI)
