event,reserve_code,station,station_name,parameter,min,max,mean,median
Matthew,gtm,gtmfmwq,Fort Matanzas (FM),cdepth,5.6430448,15.4527564,9.08332770437196,9.1207352
Matthew,gtm,gtmpcwq,Pellicer Creek (PC),cdepth,4.0026248,10.990814,6.20356527161693,6.1351708
Matthew,gtm,gtmpiwq,Pine Island (PI),cdepth,7.9724412,16.5354336,12.0728081659958,12.2703416
Matthew,gtm,gtmsswq,San Sebastian (SS),cdepth,12.8937012,22.9986884,16.7848093149202,16.8635176
Matthew,gtm,gtmfmwq,Fort Matanzas (FM),depth,5.74147,14.271654,9.14689540235947,9.2191604
Matthew,gtm,gtmpcwq,Pellicer Creek (PC),depth,4.1338584,9.8753284,6.26713296960444,6.2664044
Matthew,gtm,gtmpiwq,Pine Island (PI),depth,8.0708664,15.3871396,12.1363758639833,12.30315
Matthew,gtm,gtmsswq,San Sebastian (SS),depth,12.9921264,21.817586,16.8483770129077,16.9291344
Matthew,gtm,gtmfmwq,Fort Matanzas (FM),do_mgl,3.7,7.3,5.87494795281055,5.9
Matthew,gtm,gtmpcwq,Pellicer Creek (PC),do_mgl,0.1,7.2,4.14642609299098,4.5
Matthew,gtm,gtmpiwq,Pine Island (PI),do_mgl,3.9,6.6,5.3589174184594,5.4
Matthew,gtm,gtmsswq,San Sebastian (SS),do_mgl,3.7,7.1,5.85336571825121,5.9
Matthew,gtm,gtmfmwq,Fort Matanzas (FM),do_pct,58.3,116.1,87.7530187369882,87.7
Matthew,gtm,gtmpcwq,Pellicer Creek (PC),do_pct,0.9,104.8,58.3645385149202,62.9
Matthew,gtm,gtmpiwq,Pine Island (PI),do_pct,49.6,97.3,75.7735600277585,75.1
Matthew,gtm,gtmsswq,San Sebastian (SS),do_pct,58,105.8,86.194240111034,87.2
Matthew,gtm,gtmfmwq,Fort Matanzas (FM),ph,7.5,8.1,7.91686328938237,7.9
Matthew,gtm,gtmpcwq,Pellicer Creek (PC),ph,6.2,7.9,7.09868147120056,7.2
Matthew,gtm,gtmpiwq,Pine Island (PI),ph,6.9,8.1,7.48480222068008,7.5
Matthew,gtm,gtmsswq,San Sebastian (SS),ph,7.5,8.1,7.89535045107564,7.9
Matthew,gtm,gtmfmwq,Fort Matanzas (FM),sal,28.6,36.8,33.7922276197085,33.5
Matthew,gtm,gtmpcwq,Pellicer Creek (PC),sal,1.6,33.8,19.1652324774462,20.4
Matthew,gtm,gtmpiwq,Pine Island (PI),sal,9.8,35.6,23.9355308813324,21.1
Matthew,gtm,gtmsswq,San Sebastian (SS),sal,23.2,35.8,31.375572519084,32.2
Matthew,gtm,gtmfmwq,Fort Matanzas (FM),spcond,42.88,60.35,52.722907702984,51.24
Matthew,gtm,gtmpcwq,Pellicer Creek (PC),spcond,2.97,54.48,31.4798889659958,32.97
Matthew,gtm,gtmpiwq,Pine Island (PI),spcond,16.26,57.46,37.7209784871617,33.32
Matthew,gtm,gtmsswq,San Sebastian (SS),spcond,36.24,59,49.2644691186676,48.86
Matthew,gtm,gtmfmwq,Fort Matanzas (FM),temp,73.22,85.28,79.1558778625954,78.44
Matthew,gtm,gtmpcwq,Pellicer Creek (PC),temp,73.4,85.1,79.2115891741846,78.62
Matthew,gtm,gtmpiwq,Pine Island (PI),temp,73.04,86,78.7594031922276,77.9
Matthew,gtm,gtmsswq,San Sebastian (SS),temp,74.12,86,78.9646356696738,78.26
Matthew,gtm,gtmfmwq,Fort Matanzas (FM),turb,2,3610,33.7289915966387,11
Matthew,gtm,gtmpcwq,Pellicer Creek (PC),turb,4,130,14.6384455239417,12
Matthew,gtm,gtmpiwq,Pine Island (PI),turb,3,115,15.0041637751561,14
Matthew,gtm,gtmsswq,San Sebastian (SS),turb,2,265,14.1991672449688,11
