"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"aceeinut  ","P",01/13/2016 12:30,1,1,1         ,1         ,"",0.0269,<0>  ,0.0384,<0>  ,"","","","",0.0262,<0>  ,3.25,<0>  ,
"aceeinut  ","P",01/13/2016 12:30,1,1,1         ,1         ,"",0.0269,<0>  ,0.0384,<0>  ,"","","","",0.0262,<0>  ,3.25,<0>  ,
"aceeinut  ","P",01/13/2016 12:31,1,1,1         ,2         ,"",0.028,<0>  ,0.0359,<0>  ,"","","","",0.026,<0>  ,2.58,<0>  ,
"aceeinut  ","P",01/13/2016 12:31,1,1,1         ,2         ,"",0.028,<0>  ,0.0359,<0>  ,"","","","",0.026,<0>  ,2.58,<0>  ,
"aceeinut  ","P",02/10/2016 12:30,1,1,1         ,1         ,"",0.0238,<0>  ,0.0657,<0>  ,"","","","",0.0445,<0>  ,7.13,<0>  ,
"aceeinut  ","P",02/10/2016 12:30,1,1,1         ,1         ,"",0.0238,<0>  ,0.0657,<0>  ,"","","","",0.0445,<0>  ,7.13,<0>  ,
"aceeinut  ","P",02/10/2016 12:31,1,1,1         ,2         ,"",0.0251,<0>  ,0.0502,<0>  ,"","","","",0.0355,<0>  ,5.12,<0>  ,
"aceeinut  ","P",02/10/2016 12:31,1,1,1         ,2         ,"",0.0251,<0>  ,0.0502,<0>  ,"","","","",0.0355,<0>  ,5.12,<0>  ,
"aceeinut  ","P",03/09/2016 12:15,1,1,1         ,1         ,"",0.0132,<0>  ,0.0354,<0>  ,"","","","",0.0162,<0>  ,6.48,<0>  ,
"aceeinut  ","P",03/09/2016 12:15,1,1,1         ,1         ,"",0.0132,<0>  ,0.0354,<0>  ,"","","","",0.0162,<0>  ,6.48,<0>  ,
"aceeinut  ","P",03/09/2016 12:16,1,1,1         ,2         ,"",0.0132,<0>  ,0.0469,<0>  ,"","","","",0.0155,<0>  ,7.04,<0>  ,
"aceeinut  ","P",03/09/2016 12:16,1,1,1         ,2         ,"",0.0132,<0>  ,0.0469,<0>  ,"","","","",0.0155,<0>  ,7.04,<0>  ,
"aceeinut  ","P",04/06/2016 11:15,1,1,1         ,1         ,"",0.0198,<0>  ,0.0212,<0>  ,"","","","",0.041,<0>  ,7.27,<0>  ,
"aceeinut  ","P",04/06/2016 11:15,1,1,1         ,1         ,"",0.0198,<0>  ,0.0212,<0>  ,"","","","",0.041,<0>  ,7.27,<0>  ,
"aceeinut  ","P",04/06/2016 11:16,1,1,1         ,2         ,"",0.0144,<0>  ,0.0232,<0>  ,"","","","",0.0377,<0>  ,7.89,<0>  ,
"aceeinut  ","P",04/06/2016 11:16,1,1,1         ,2         ,"",0.0144,<0>  ,0.0232,<0>  ,"","","","",0.0377,<0>  ,7.89,<0>  ,
"aceeinut  ","P",05/18/2016 9:15,1,1,1         ,1         ,"",0.0343,<0>  ,0.0639,<0>  ,"","","","",0.0242,<0>  ,4.95,<0>  ,
"aceeinut  ","P",05/18/2016 9:15,1,1,1         ,1         ,"",0.0343,<0>  ,0.0639,<0>  ,"","","","",0.0242,<0>  ,4.95,<0>  ,
"aceeinut  ","P",05/18/2016 9:16,1,1,1         ,2         ,"",0.0313,<0>  ,0.0684,<0>  ,"","","","",0.0321,<0>  ,4.56,<0>  ,
"aceeinut  ","P",05/18/2016 9:16,1,1,1         ,2         ,"",0.0313,<0>  ,0.0684,<0>  ,"","","","",0.0321,<0>  ,4.56,<0>  ,
"aceeinut  ","P",06/15/2016 9:15,1,1,1         ,1         ,"",0.0368,<0>  ,0.0494,<1> [SRD] (CSM) ,"","","","",0.0279,<1> [SRD] (CSM) ,7.13,<0>  ,
"aceeinut  ","P",06/15/2016 9:15,1,1,1         ,1         ,"",0.0368,<0>  ,0.0494,<1> [SRD] (CSM) ,"","","","",0.0279,<1> [SRD] (CSM) ,7.13,<0>  ,
"aceeinut  ","P",06/15/2016 9:16,1,1,1         ,2         ,"",0.0251,<0>  ,0.0185,<1> [SRD] (CSM) ,"","","","",0.0163,<1> [SRD] (CSM) ,7.17,<0>  ,
"aceeinut  ","P",06/15/2016 9:16,1,1,1         ,2         ,"",0.0251,<0>  ,0.0185,<1> [SRD] (CSM) ,"","","","",0.0163,<1> [SRD] (CSM) ,7.17,<0>  ,
"aceeinut  ","P",07/13/2016 8:15,1,1,1         ,1         ,"",0.0317,<0>  ,0.0278,<0>  ,"","","","",0.0286,<0>  ,2.01,<0>  ,
"aceeinut  ","P",07/13/2016 8:15,1,1,1         ,1         ,"",0.0317,<0>  ,0.0278,<0>  ,"","","","",0.0286,<0>  ,2.01,<0>  ,
"aceeinut  ","P",07/13/2016 8:16,1,1,1         ,2         ,"",0.0297,<0>  ,0.022,<0>  ,"","","","",0.0258,<0>  ,2.07,<0>  ,
"aceeinut  ","P",07/13/2016 8:16,1,1,1         ,2         ,"",0.0297,<0>  ,0.022,<0>  ,"","","","",0.0258,<0>  ,2.07,<0>  ,
"aceeinut  ","P",08/17/2016 10:15,1,1,1         ,1         ,"",0.0377,<0>  ,0.0283,<0>  ,"","","","",0.0361,<0>  ,9.63,<0>  ,
"aceeinut  ","P",08/17/2016 10:15,1,1,1         ,1         ,"",0.0377,<0>  ,0.0283,<0>  ,"","","","",0.0361,<0>  ,9.63,<0>  ,
"aceeinut  ","P",08/17/2016 10:16,1,1,1         ,2         ,"",0.0427,<0>  ,0.0275,<0>  ,"","","","",0.0423,<0>  ,9.05,<0>  ,
"aceeinut  ","P",08/17/2016 10:16,1,1,1         ,2         ,"",0.0427,<0>  ,0.0275,<0>  ,"","","","",0.0423,<0>  ,9.05,<0>  ,
"aceeinut  ","P",09/28/2016 11:05,1,1,1         ,1         ,"",0.0382,<0>  ,0.0889,<0>  ,"","","","",0.0382,<0>  ,2.88,<0>  ,
"aceeinut  ","P",09/28/2016 11:05,1,1,1         ,1         ,"",0.0382,<0>  ,0.0889,<0>  ,"","","","",0.0382,<0>  ,2.88,<0>  ,
"aceeinut  ","P",09/28/2016 11:06,1,1,1         ,2         ,"",0.0382,<0>  ,0.0655,<0>  ,"","","","",0.0371,<0>  ,3.86,<0>  ,
"aceeinut  ","P",09/28/2016 11:06,1,1,1         ,2         ,"",0.0382,<0>  ,0.0655,<0>  ,"","","","",0.0371,<0>  ,3.86,<0>  ,
"aceeinut  ","P",10/26/2016 10:02,1,1,1         ,1         ,"",0.0336,<0>  ,0.0714,<0>  ,"","","","",0.026,<0>  ,2.21,<0>  ,
"aceeinut  ","P",10/26/2016 10:02,1,1,1         ,1         ,"",0.0336,<0>  ,0.0714,<0>  ,"","","","",0.026,<0>  ,2.21,<0>  ,
"aceeinut  ","P",10/26/2016 10:03,1,1,1         ,2         ,"",0.0306,<0>  ,0.0587,<0>  ,"","","","",0.027,<0>  ,2.56,<0>  ,
