"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"acefcnut  ","P",01/16/2018 13:41,0,1,1         ,1         ,"",0.0667,<0>  ,0.039,<0>  ,"","","","",0.087,<0>  ,2.99,<0>  ,
"acefcnut  ","P",01/16/2018 13:42,0,1,1         ,2         ,"",0.0662,<0>  ,0.037,<0>  ,"","","","",0.0885,<0>  ,3.21,<0>  ,
"acefcnut  ","P",02/13/2018 13:01,0,1,1         ,1         ,"",0.0771,<0>  ,0.064,<0>  ,"","","","",0.0186,<1> [SRD] (CHB) ,5.56,<0>  ,
"acefcnut  ","P",02/13/2018 13:03,0,1,1         ,2         ,"",0.0688,<0>  ,0.056,<0>  ,"","","","",0.0668,<1> [SRD] (CHB) ,6.64,<0>  ,
"acefcnut  ","P",03/26/2018 9:30,0,1,1         ,1         ,"",0.0312,<0>  ,0.021,<0>  ,"","","","",0.0304,<1> [GSM] (CHB) ,10.04,<0>  ,
"acefcnut  ","P",03/26/2018 9:31,0,1,1         ,2         ,"",0.0302,<0>  ,0.02,<0>  ,"","","","",0.0332,<1> [GSM] (CHB) ,9.92,<0>  ,
"acefcnut  ","P",04/24/2018 9:43,0,1,1         ,1         ,"",0.0291,<0>  ,0.038,<0>  ,"","","","",0.0355,<1> [GSM] (CHB) ,42.56,<0>  ,
"acefcnut  ","P",04/24/2018 9:44,0,1,1         ,2         ,"",0.0288,<0>  ,0.041,<0>  ,"","","","",0.0335,<1> [GSM] (CHB) ,55.3,<0>  ,
"acefcnut  ","P",05/09/2018 8:55,0,1,1         ,1         ,"",0.0648,<1> [GSM] (CHB) ,0.036,<1> [GSM] (CHB) ,"","","","",0.0887,<0>  ,39.2,<0>  ,
"acefcnut  ","P",05/09/2018 8:56,0,1,1         ,2         ,"",0.0645,<1> [GSM] (CHB) ,0.037,<1> [GSM] (CHB) ,"","","","",0.0887,<0>  ,41.09,<0>  ,
"acefcnut  ","P",06/07/2018 8:03,0,1,1         ,1         ,"",0.1053,<0>  ,0.082,<0>  ,"","","","",0.138,<1> [SRD] (CSM) ,8.32,<0>  ,
"acefcnut  ","P",06/07/2018 8:04,0,1,1         ,2         ,"",0.0972,<0>  ,0.08,<0>  ,"","","","",0.0634,<1> [SRD] (CSM) ,7.15,<0>  ,
"acefcnut  ","P",07/09/2018 9:56,0,1,1         ,1         ,"",0.0568,<0>  ,0.032,<0>  ,"","","","",0.038,<0>  ,42.77,<0>  ,
"acefcnut  ","P",07/09/2018 9:57,0,1,1         ,2         ,"",0.0559,<0>  ,0.029,<0>  ,"","","","",0.0344,<0>  ,45.91,<0>  ,
"acefcnut  ","P",08/06/2018 9:24,0,1,1         ,1         ,"",0.1086,<0>  ,0.084,<0>  ,"","","","",0.0592,<1> [GSM] (CHB) ,8.05,<0>  ,
"acefcnut  ","P",08/06/2018 9:25,0,1,1         ,2         ,"",0.1174,<0>  ,0.099,<0>  ,"","","","",0.0428,<1> [GSM] (CHB) ,5.37,<0>  ,
"acefcnut  ","P",09/05/2018 9:28,0,1,1         ,1         ,"",0.0976,<0>  ,0.101,<0>  ,"","","","",0.103,<1> [GSM] (CHB) ,15.03,<0>  ,
"acefcnut  ","P",09/05/2018 9:29,0,1,1         ,2         ,"",0.0999,<0>  ,0.101,<0>  ,"","","","",0.0937,<1> [GSM] (CHB) ,13.92,<0>  ,
"acefcnut  ","P",10/04/2018 9:30,0,1,1         ,1         ,"",0.0895,<0>  ,0.052,<0>  ,"","","","",0.0425,<0>  ,14.97,<0>  ,
"acefcnut  ","P",10/04/2018 9:31,0,1,1         ,2         ,"",0.0932,<0>  ,0.051,<0>  ,"","","","",0.0414,<0>  ,14.59,<0>  ,
"acefcnut  ","P",11/05/2018 12:04,0,1,1         ,1         ,"",0.0563,<0>  ,0.037,<0>  ,"","","","",0.0314,<0>  ,14.26,<0>  ,
"acefcnut  ","P",11/05/2018 12:05,0,1,1         ,2         ,"",0.0552,<0>  ,0.033,<0>  ,"","","","",0.0305,<0>  ,15.89,<0>  ,
"acefcnut  ","P",12/03/2018 11:12,0,1,1         ,1         ,"",0.0515,<0>  ,0.033,<0>  ,"","","","",0.0161,<1> [GSM] (CHB) ,5.0,<0>  ,
"acefcnut  ","P",12/03/2018 11:13,0,1,1         ,2         ,"",0.0516,<0>  ,0.039,<0>  ,"","","","",0.0174,<1> [GSM] (CHB) ,8.04,<0>  ,

