"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"acespnut  ","P",01/06/2015 2:43,1,1,2         ,1         ,"",0.0587,<0>  ,0.104,<0>  ,"","","","",0.0136,<0>  ,0.41,<1> (CSM) ,
"acespnut  ","P",01/06/2015 4:47,1,1,2         ,1         ,"",0.0345,<0>  ,0.0446,<0>  ,"","","","",0.018,<0>  ,0.86,<1> (CSM) ,
"acespnut  ","P",01/06/2015 6:51,1,1,2         ,1         ,"",0.0302,<0>  ,0.0343,<0>  ,"","","","",0.0070,<0>  ,1.78,<1> (CSM) ,
"acespnut  ","P",01/06/2015 8:55,1,1,2         ,1         ,"",0.0241,<0>  ,0.0201,<0>  ,"","","","",0.0038,<0>  ,3.7,<1> (CSM) ,
"acespnut  ","P",01/06/2015 10:59,1,1,2         ,1         ,"",0.0263,<0>  ,0.0216,<0>  ,"","","","",0.0035,<0>  ,2.51,<1> (CSM) ,
"acespnut  ","P",01/06/2015 13:03,1,1,2         ,1         ,"",0.0405,<0>  ,0.0418,<0>  ,"","","","",0.0062,<0>  ,1.5,<1> (CSM) ,
"acespnut  ","P",01/06/2015 15:07,1,1,2         ,1         ,"",0.056,<0>  ,0.0685,<0>  ,"","","","",0.0074,<0>  ,0.42,<1> (CSM) ,
"acespnut  ","P",01/06/2015 17:11,1,1,2         ,1         ,"",0.0348,<0>  ,0.0419,<0>  ,"","","","",0.0124,<0>  ,1.2,<1> (CSM) ,
"acespnut  ","P",01/06/2015 19:15,1,1,2         ,1         ,"",0.0268,<0>  ,0.021,<0>  ,"","","","",0.0075,<0>  ,2.94,<1> (CSM) ,
"acespnut  ","P",01/06/2015 21:19,1,1,2         ,1         ,"",0.0293,<0>  ,0.0197,<0>  ,"","","","",0.0039,<0>  ,3.58,<1> (CSM) ,
"acespnut  ","P",01/06/2015 23:23,1,1,2         ,1         ,"",0.0349,<0>  ,0.0343,<0>  ,"","","","",0.0075,<0>  ,2.64,<1> (CSM) ,
"acespnut  ","P",01/07/2015 1:27,1,1,2         ,1         ,"",0.0528,<0>  ,0.0626,<0>  ,"","","","",0.01,<0>  ,1.21,<1> (CSM) ,
"acespnut  ","P",01/07/2015 3:31,1,1,2         ,1         ,"",0.0647,<0>  ,0.0847,<0>  ,"","","","",0.0086,<0>  ,1.01,<1> (CSM) ,
"acespnut  ","P",01/07/2015 13:15,1,1,1         ,1         ,"",0.0391,<0>  ,0.0324,<0>  ,"","","","",0.0061,<0>  ,0.93,<1> (CSM) ,
"acespnut  ","P",01/07/2015 13:16,1,1,1         ,2         ,"",0.0386,<0>  ,0.0303,<0>  ,"","","","",0.0059,<0>  ,0.79,<1> (CSM) ,
