"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gtmssnut  ","P",01/16/2018 11:38,0,1,1         ,1         ,"",0.016,<0>  ,0.012,<0>  ,0.0020,<-4> [SBL] ,0.026,<0>  ,0.028,<0>  ,3.3,<0>  ,
"gtmssnut  ","P",01/16/2018 11:40,0,1,1         ,2         ,"",0.017,<0>  ,0.01,<0>  ,0.0020,<-4> [SBL] ,0.03,<0>  ,0.032,<0>  ,4.1,<0>  ,
"gtmssnut  ","P",02/13/2018 10:51,0,1,1         ,1         ,"",0.027,<0>  ,0.039,<0>  ,0.0020,<-4> [SBL] ,0.047,<0>  ,0.049,<0>  ,2.4,<0>  ,
"gtmssnut  ","P",02/13/2018 10:53,0,1,1         ,2         ,"",0.026,<0>  ,0.038,<0>  ,0.0020,<-4> [SBL] ,0.048,<0>  ,0.05,<0>  ,3.1,<0>  ,
"gtmssnut  ","P",03/27/2018 8:54,0,1,1         ,1         ,"",0.011,<0>  ,0.017,<0>  ,0.0020,<-4> [SBL] ,0.013,<0>  ,0.015,<0>  ,2.4,<0>  ,
"gtmssnut  ","P",03/27/2018 8:56,0,1,1         ,2         ,"",0.012,<0>  ,0.015,<0>  ,0.0020,<-4> [SBL] ,0.019,<0>  ,0.021,<0>  ,2.8,<0>  ,
"gtmssnut  ","P",04/25/2018 8:10,0,1,1         ,1         ,"",0.023,<0>  ,0.055,<0>  ,0.0020,<-4> [SBL] ,0.044,<0>  ,0.046,<0>  ,2.6,<0>  ,
"gtmssnut  ","P",04/25/2018 8:13,0,1,1         ,2         ,"",0.023,<0>  ,0.055,<0>  ,0.0020,<0>  ,0.045,<0>  ,0.047,<0>  ,2.5,<0>  ,
"gtmssnut  ","P",05/29/2018 10:39,0,1,1         ,1         ,"",0.025,<0>  ,0.075,<0>  ,0.0050,<0>  ,0.029,<0>  ,0.034,<0>  ,9.1,<0>  ,
"gtmssnut  ","P",05/29/2018 10:43,0,1,1         ,2         ,"",0.024,<0>  ,0.07,<0>  ,0.0050,<0>  ,0.027,<0>  ,0.032,<0>  ,7.4,<0>  ,
"gtmssnut  ","P",06/12/2018 9:42,0,1,1         ,1         ,"",0.041,<0>  ,0.13,<0>  ,0.0070,<0>  ,0.041,<0>  ,0.048,<0>  ,3.3,<0>  ,
"gtmssnut  ","P",06/12/2018 9:44,0,1,1         ,2         ,"",0.04,<0>  ,0.13,<0>  ,0.0070,<0>  ,0.038,<0>  ,0.045,<0>  ,5.9,<0>  ,
"gtmssnut  ","P",07/24/2018 9:41,0,1,1         ,1         ,"",0.039,<0>  ,0.13,<0>  ,0.0090,<0>  ,0.039,<0>  ,0.048,<0>  ,4.1,<1> (CSM) ,
"gtmssnut  ","P",07/24/2018 9:45,0,1,1         ,2         ,"",0.036,<0>  ,0.13,<0>  ,0.0090,<0>  ,0.039,<0>  ,0.048,<0>  ,3.4,<0>  ,
"gtmssnut  ","P",08/07/2018 7:58,0,1,1         ,1         ,"",0.034,<0>  ,0.075,<0>  ,0.0050,<0>  ,0.032,<0>  ,0.037,<0>  ,4.1,<0>  ,
"gtmssnut  ","P",08/07/2018 7:59,0,1,1         ,2         ,"",0.034,<0>  ,0.075,<0>  ,0.0050,<0>  ,0.031,<0>  ,0.036,<0>  ,7.1,<0>  ,
"gtmssnut  ","P",09/05/2018 7:37,0,1,1         ,1         ,"",0.042,<0>  ,0.1,<0>  ,0.01,<0>  ,0.046,<0>  ,0.056,<0>  ,4.3,<0>  ,
"gtmssnut  ","P",09/05/2018 7:43,0,1,1         ,2         ,"",0.047,<0>  ,0.1,<0>  ,0.01,<0>  ,0.036,<0>  ,0.046,<0>  ,4.5,<0>  ,
"gtmssnut  ","P",10/23/2018 9:21,0,1,1         ,1         ,"",0.015,<0>  ,0.019,<0>  ,0.018,<0>  ,0.0070,<0>  ,0.025,<0>  ,5.1,<0>  ,
"gtmssnut  ","P",10/23/2018 9:22,0,1,1         ,2         ,"",0.016,<0>  ,0.022,<0>  ,0.015,<0>  ,0.0070,<0>  ,0.022,<0>  ,4.8,<0>  ,
"gtmssnut  ","P",11/06/2018 10:30,0,1,1         ,1         ,"",0.016,<0>  ,0.017,<0>  ,0.0040,<0>  ,0.0080,<0>  ,0.012,<0>  ,5.2,<0>  ,
"gtmssnut  ","P",11/06/2018 10:31,0,1,1         ,2         ,"",0.018,<0>  ,0.019,<0>  ,0.0060,<0>  ,0.011,<0>  ,0.017,<0>  ,7.5,<0>  ,
"gtmssnut  ","P",12/04/2018 9:45,0,1,1         ,1         ,"",0.02,<0>  ,0.029,<0>  ,0.0040,<0>  ,0.156,<0>  ,0.16,<0>  ,7.5,<0>  ,
"gtmssnut  ","P",12/04/2018 9:47,0,1,1         ,2         ,"",0.019,<0>  ,0.028,<0>  ,0.0040,<0>  ,0.166,<0>  ,0.17,<0>  ,6.8,<0>  ,

