"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"niwtanut  ","P",01/02/2018 3:10,1,1,2         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"niwtanut  ","P",01/02/2018 5:14,1,1,2         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"niwtanut  ","P",01/02/2018 7:18,1,1,2         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"niwtanut  ","P",01/02/2018 9:22,1,1,2         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"niwtanut  ","P",01/02/2018 11:26,1,1,2         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"niwtanut  ","P",01/02/2018 13:30,1,1,2         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"niwtanut  ","P",01/02/2018 15:34,1,1,2         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"niwtanut  ","P",01/02/2018 17:38,1,1,2         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"niwtanut  ","P",01/02/2018 19:42,1,1,2         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"niwtanut  ","P",01/02/2018 21:46,1,1,2         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"niwtanut  ","P",01/02/2018 23:50,1,1,2         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,
