"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"niwwswq   ","S",05/11/2016 12:45,0,1,"",23.5,<0> (CND),8.42,<0> (CND),4.7,<0> (CND),71.7,<0> (CND),5.9,<0> (CND),1.41,<0> (CND),1.34,<3> ,"",<-1> ,"","",7.2,<0> (CND),20,<0> (CND),13.8,<0> (CND),
"niwwswq   ","S",05/11/2016 13:00,0,1,"",23.4,<0> ,7.42,<0> ,4.1,<0> ,69.5,<0> ,5.8,<0> ,1.40,<0> ,1.33,<3> ,"",<-1> ,"","",7.1,<0> ,21,<0> ,13.5,<0> ,
"niwwswq   ","S",05/11/2016 13:15,0,1,"",23.5,<0> ,10.11,<0> ,5.7,<0> ,72.7,<0> ,6.0,<0> ,1.39,<0> ,1.32,<3> ,"",<-1> ,"","",7.1,<0> ,18,<0> ,13.5,<0> ,
"niwwswq   ","S",05/11/2016 13:30,0,1,"",23.5,<0> ,8.68,<0> ,4.8,<0> ,73.4,<0> ,6.0,<0> ,1.35,<0> ,1.28,<3> ,"",<-1> ,"","",7.1,<0> ,31,<0> ,13.5,<0> ,
"niwwswq   ","S",05/11/2016 13:45,0,1,"",23.4,<0> ,9.05,<0> ,5.1,<0> ,71.2,<0> ,5.9,<0> ,1.30,<0> ,1.23,<3> ,"",<-1> ,"","",7.1,<0> ,18,<0> ,15.5,<0> ,
"niwwswq   ","S",05/11/2016 14:00,0,1,"",23.3,<0> ,6.57,<0> ,3.6,<0> ,72.5,<0> ,6.1,<0> ,1.26,<0> ,1.19,<3> ,"",<-1> ,"","",7.1,<0> ,23,<0> ,15.2,<0> ,
"niwwswq   ","S",05/11/2016 14:15,0,1,"",23.5,<0> ,6.65,<0> ,3.6,<0> ,72.7,<0> ,6.1,<0> ,1.21,<0> ,1.14,<3> ,"",<-1> ,"","",7.1,<0> ,20,<0> ,12.3,<0> ,
"niwwswq   ","S",05/11/2016 14:30,0,1,"",23.8,<0> ,4.65,<0> ,2.5,<0> ,74.0,<0> ,6.2,<0> ,1.15,<0> ,1.09,<3> ,"",<-1> ,"","",7.1,<0> ,20,<0> ,17.1,<0> ,
"niwwswq   ","S",05/11/2016 14:45,0,1,"",24.1,<0> ,4.52,<0> ,2.4,<0> ,77.2,<0> ,6.4,<0> ,1.09,<0> ,1.03,<3> ,"",<-1> ,"","",7.1,<0> ,20,<0> ,13.8,<0> ,
"niwwswq   ","S",05/11/2016 15:00,0,1,"",24.8,<0> ,3.53,<0> ,1.9,<0> ,85.3,<0> ,7.0,<0> ,1.03,<0> ,0.97,<3> ,"",<-1> ,"","",7.1,<0> ,19,<0> ,17.1,<0> ,
"niwwswq   ","S",05/11/2016 15:15,0,1,"",24.8,<0> ,3.67,<0> ,1.9,<0> ,81.7,<0> ,6.7,<0> ,0.96,<0> ,0.90,<3> ,"",<-1> ,"","",7.0,<0> ,20,<0> ,14.2,<0> ,
"niwwswq   ","S",05/11/2016 15:30,0,1,"",24.9,<0> ,4.02,<0> ,2.1,<0> ,83.3,<0> ,6.8,<0> ,0.90,<0> ,0.84,<3> ,"",<-1> ,"","",7.1,<0> ,19,<0> ,16.4,<0> ,
