event,parameter,station,date,min,max,mean,median,total,station_name
Maria,atemp,jobjbmet,2017-09-18,75.92,89.78,82.5942105263158,82.76,NA,Jobos Bay Weather (JB)
Maria,atemp,jobjbmet,2017-09-19,77.36,91.04,80.76125,79.34,NA,Jobos Bay Weather (JB)
Maria,atemp,jobjbmet,2017-09-20,75.38,82.76,78.755,78.71,NA,Jobos Bay Weather (JB)
Maria,atemp,jobjbmet,2017-09-21,76.28,84.74,82.379375,82.4,NA,Jobos Bay Weather (JB)
Maria,atemp,jobjbmet,2017-09-22,79.7,86.18,82.615625,82.4,NA,Jobos Bay Weather (JB)
Maria,atemp,jobjbmet,2017-09-23,74.3,87.62,81.719375,81.32,NA,Jobos Bay Weather (JB)
Maria,atemp,jobjbmet,2017-09-24,79.34,87.44,83.34125,82.4,NA,Jobos Bay Weather (JB)
Maria,atemp,jobjbmet,2017-09-25,77.18,86.72,81.35,81.32,NA,Jobos Bay Weather (JB)
Maria,atemp,jobjbmet,2017-09-26,78.08,87.98,82.698125,82.4,NA,Jobos Bay Weather (JB)
Maria,atemp,jobjbmet,2017-09-27,76.64,87.8,81.9425,81.68,NA,Jobos Bay Weather (JB)
Maria,atemp,jobjbmet,2017-09-28,78.98,82.04,80.6171428571429,81.14,NA,Jobos Bay Weather (JB)
Maria,bp,jobjbmet,2017-09-18,29.7956532010395,29.9137727380109,29.8527702139829,29.8547129695252,NA,Jobos Bay Weather (JB)
Maria,bp,jobjbmet,2017-09-19,29.7070635483109,29.884242853768,29.8119561579652,29.8251830852823,NA,Jobos Bay Weather (JB)
Maria,bp,jobjbmet,2017-09-20,28.1715095676825,29.7365934325537,29.2813410504764,29.4265296480038,NA,Jobos Bay Weather (JB)
Maria,bp,jobjbmet,2017-09-21,29.6184738955823,29.7956532010395,29.7375162414363,29.7365934325537,NA,Jobos Bay Weather (JB)
Maria,bp,jobjbmet,2017-09-22,29.7661233167966,29.8547129695252,29.8085725253957,29.7956532010395,NA,Jobos Bay Weather (JB)
Maria,bp,jobjbmet,2017-09-23,29.7956532010395,29.9137727380109,29.8448696747775,29.8547129695252,NA,Jobos Bay Weather (JB)
Maria,bp,jobjbmet,2017-09-24,29.8251830852823,29.9433026222537,29.8953165603591,29.884242853768,NA,Jobos Bay Weather (JB)
Maria,bp,jobjbmet,2017-09-25,29.884242853768,29.9728325064966,29.9174639735412,29.9137727380109,NA,Jobos Bay Weather (JB)
Maria,bp,jobjbmet,2017-09-26,29.884242853768,29.9728325064966,29.9248464446019,29.9137727380109,NA,Jobos Bay Weather (JB)
Maria,bp,jobjbmet,2017-09-27,29.8547129695252,29.9433026222537,29.8959317662808,29.884242853768,NA,Jobos Bay Weather (JB)
Maria,bp,jobjbmet,2017-09-28,29.884242853768,29.9137727380109,29.9067418131911,29.9137727380109,NA,Jobos Bay Weather (JB)
Maria,intensprcp,jobjbmet,2017-09-18,0,0,0,0,NA,Jobos Bay Weather (JB)
Maria,intensprcp,jobjbmet,2017-09-19,0,0.755905511811024,0.0159120734908136,0,NA,Jobos Bay Weather (JB)
Maria,intensprcp,jobjbmet,2017-09-20,0,1.19685039370079,0.125,0.047244094488189,NA,Jobos Bay Weather (JB)
Maria,intensprcp,jobjbmet,2017-09-21,0,5.24409448818898,0.0785761154855643,0,NA,Jobos Bay Weather (JB)
Maria,intensprcp,jobjbmet,2017-09-22,0,0.283464566929134,0.00885826771653543,0,NA,Jobos Bay Weather (JB)
Maria,intensprcp,jobjbmet,2017-09-23,0,2.07874015748031,0.0474081364829396,0,NA,Jobos Bay Weather (JB)
Maria,intensprcp,jobjbmet,2017-09-24,0,0.47244094488189,0.0113188976377953,0,NA,Jobos Bay Weather (JB)
Maria,intensprcp,jobjbmet,2017-09-25,0,0,0,0,NA,Jobos Bay Weather (JB)
Maria,intensprcp,jobjbmet,2017-09-26,0,0.078740157480315,0.00131233595800525,0,NA,Jobos Bay Weather (JB)
Maria,intensprcp,jobjbmet,2017-09-27,0,0,0,0,NA,Jobos Bay Weather (JB)
Maria,intensprcp,jobjbmet,2017-09-28,0,0,0,0,NA,Jobos Bay Weather (JB)
Maria,maxwspd,jobjbmet,2017-09-18,0,18.5666173710962,6.77557913574247,3.24356568531199,NA,Jobos Bay Weather (JB)
Maria,maxwspd,jobjbmet,2017-09-19,0,21.0272534082295,6.55470565573465,4.58573079647557,NA,Jobos Bay Weather (JB)
Maria,maxwspd,jobjbmet,2017-09-20,5.81604881504219,63.3054544098823,33.9455926031789,31.6527272049412,NA,Jobos Bay Weather (JB)
Maria,maxwspd,jobjbmet,2017-09-21,5.59235462984826,31.7645742975381,20.5122907527309,20.1324766674537,NA,Jobos Bay Weather (JB)
Maria,maxwspd,jobjbmet,2017-09-22,9.61884996333901,21.2509475934234,15.0084817378553,14.7638162227994,NA,Jobos Bay Weather (JB)
Maria,maxwspd,jobjbmet,2017-09-23,3.57910696310289,22.1457243341991,10.0778890725391,9.73069705593598,NA,Jobos Bay Weather (JB)
Maria,maxwspd,jobjbmet,2017-09-24,6.26343718543005,20.1324766674537,13.2795120981272,13.1979569264419,NA,Jobos Bay Weather (JB)
Maria,maxwspd,jobjbmet,2017-09-25,2.46063603713324,21.6983359638113,7.92483254004747,6.15159009283309,NA,Jobos Bay Weather (JB)
Maria,maxwspd,jobjbmet,2017-09-26,3.35541277790896,18.5666173710962,10.4390619757168,9.28330868554811,NA,Jobos Bay Weather (JB)
Maria,maxwspd,jobjbmet,2017-09-27,2.68433022232717,19.4613941118719,9.13883952427703,5.59235462984826,NA,Jobos Bay Weather (JB)
Maria,maxwspd,jobjbmet,2017-09-28,4.47388370387861,9.61884996333901,6.56169609902196,6.03974300023612,NA,Jobos Bay Weather (JB)
Maria,rh,jobjbmet,2017-09-18,65,90,79.1184210526316,80.5,NA,Jobos Bay Weather (JB)
Maria,rh,jobjbmet,2017-09-19,59,92,81.6458333333333,84,NA,Jobos Bay Weather (JB)
Maria,rh,jobjbmet,2017-09-20,76,97,87.3020833333333,87,NA,Jobos Bay Weather (JB)
Maria,rh,jobjbmet,2017-09-21,79,93,85.5729166666667,85,NA,Jobos Bay Weather (JB)
Maria,rh,jobjbmet,2017-09-22,77,92,86.1770833333333,87,NA,Jobos Bay Weather (JB)
Maria,rh,jobjbmet,2017-09-23,74,95,85.4375,86,NA,Jobos Bay Weather (JB)
Maria,rh,jobjbmet,2017-09-24,72,93,83.1041666666667,84.5,NA,Jobos Bay Weather (JB)
