event,parameter,station,date,min,max,mean,median,station_name
Maria,cdepth,job09wq,2017-09-18,2.2309712,2.6902888,2.40638677866667,2.3950132,Station 9 (09)
Maria,cdepth,job09wq,2017-09-19,2.3950132,2.788714,2.59835692916667,2.5590552,Station 9 (09)
Maria,cdepth,job09wq,2017-09-20,2.7230972,5.6430448,3.5914945375,3.4284778,Station 9 (09)
Maria,cdepth,job09wq,2017-09-21,2.0997376,3.3464568,2.536499425,2.4934384,Station 9 (09)
Maria,cdepth,job09wq,2017-09-22,1.7716536,2.3950132,2.011565025,2.0013124,Station 9 (09)
Maria,cdepth,job09wq,2017-09-23,1.7716536,2.2637796,2.01429905833333,2.0341208,Station 9 (09)
Maria,cdepth,job09wq,2017-09-24,1.8372704,2.3293964,2.1007628625,2.132546,Station 9 (09)
Maria,cdepth,job09wq,2017-09-25,1.6076116,2.296588,1.95620085,1.968504,Station 9 (09)
Maria,cdepth,job09wq,2017-09-26,1.6076116,2.2637796,1.97738960833333,2.0341208,Station 9 (09)
Maria,cdepth,job09wq,2017-09-27,1.64042,2.4278216,1.98764223333333,1.9356956,Station 9 (09)
Maria,cdepth,job09wq,2017-09-28,1.9356956,2.3950132,2.20753662857143,2.2637796,Station 9 (09)
Maria,cdepth,job10wq,2017-09-18,2.132546,2.5918636,2.30392672105263,2.2637796,Station 10 (10)
Maria,cdepth,job10wq,2017-09-19,2.2637796,2.624672,2.46302227916667,2.46063,Station 10 (10)
Maria,cdepth,job10wq,2017-09-20,2.5918636,4.92126,3.31091436666667,3.198819,Station 10 (10)
Maria,cdepth,job10wq,2017-09-21,2.0013124,3.116798,2.3878363625,2.3622048,Station 10 (10)
Maria,cdepth,job10wq,2017-09-22,1.6076116,2.2309712,1.88067317916667,1.8700788,Station 10 (10)
Maria,cdepth,job10wq,2017-09-23,1.6076116,2.132546,1.8854577375,1.9028872,Station 10 (10)
Maria,cdepth,job10wq,2017-09-24,1.6732284,2.2309712,1.98012364166667,1.9849082,Station 10 (10)
Maria,cdepth,job10wq,2017-09-25,1.476378,2.0997376,1.8290683,1.8372704,Station 10 (10)
Maria,cdepth,job10wq,2017-09-26,1.5091864,2.1653544,1.85538337083333,1.9356956,Station 10 (10)
Maria,cdepth,job10wq,2017-09-27,1.5419948,2.3293964,1.86666125833333,1.804462,Station 10 (10)
Maria,cdepth,job10wq,2017-09-28,1.8372704,2.2637796,2.08723916190476,2.132546,Station 10 (10)
Maria,cdepth,job19wq,2017-09-18,2.46063,2.8871392,2.62078679473684,2.5918636,Station 19 (19)
Maria,cdepth,job19wq,2017-09-19,2.624672,3.0511812,2.78290417916667,2.7559056,Station 19 (19)
Maria,cdepth,job19wq,2017-09-20,2.952756,5.8070868,3.75895407916667,3.5925198,Station 19 (19)
Maria,cdepth,job19wq,2017-09-21,2.3293964,3.4776904,2.69814914583333,2.6902888,Station 19 (19)
Maria,cdepth,job19wq,2017-09-22,2.0013124,2.5262468,2.19337824166667,2.1981628,Station 19 (19)
Maria,cdepth,job19wq,2017-09-23,1.9356956,2.3950132,2.18722666666667,2.1981628,Station 19 (19)
Maria,cdepth,job19wq,2017-09-24,2.0341208,2.46063,2.27027292916667,2.296588,Station 19 (19)
Maria,cdepth,job19wq,2017-09-25,1.804462,2.3950132,2.1161418,2.1161418,Station 19 (19)
Maria,cdepth,job19wq,2017-09-26,1.804462,2.46063,2.151000725,2.214567,Station 19 (19)
Maria,cdepth,job19wq,2017-09-27,1.8700788,2.5918636,2.16945545,2.0997376,Station 19 (19)
Maria,cdepth,job19wq,2017-09-28,2.132546,2.5590552,2.38095245714286,2.4278216,Station 19 (19)
Maria,cdepth,job20wq,2017-09-18,2.9199476,3.3792652,3.08916987368421,3.0511812,Station 20 (20)
Maria,cdepth,job20wq,2017-09-19,3.0511812,3.608924,3.26067650416667,3.2152232,Station 20 (20)
Maria,cdepth,job20wq,2017-09-20,3.4120736,6.0039372,4.181020475,3.9698164,Station 20 (20)
Maria,cdepth,job20wq,2017-09-21,2.5262468,3.772966,2.89158200416667,2.8871392,Station 20 (20)
Maria,cdepth,job20wq,2017-09-22,2.132546,2.7230972,2.3714321625,2.3622048,Station 20 (20)
Maria,cdepth,job20wq,2017-09-23,2.0997376,2.624672,2.38920337916667,2.4278216,Station 20 (20)
Maria,cdepth,job20wq,2017-09-24,2.2309712,2.6902888,2.47669244583333,2.4934384,Station 20 (20)
Maria,cdepth,job20wq,2017-09-25,2.0341208,2.624672,2.33383920416667,2.3293964,Station 20 (20)
Maria,cdepth,job20wq,2017-09-26,2.0013124,2.624672,2.35229392916667,2.4278216,Station 20 (20)
Maria,cdepth,job20wq,2017-09-27,2.0669292,2.788714,2.36254655416667,2.296588,Station 20 (20)
Maria,cdepth,job20wq,2017-09-28,2.3293964,2.7559056,2.57467824761905,2.624672,Station 20 (20)
Maria,depth,job09wq,2017-09-18,2.1981628,2.624672,2.33902019733333,2.296588,Station 9 (09)
Maria,depth,job09wq,2017-09-19,2.296588,2.7559056,2.4852363,2.46063,Station 9 (09)
Maria,depth,job09wq,2017-09-20,1.7716536,4.2322836,2.87927885416667,2.8379266,Station 9 (09)
Maria,depth,job09wq,2017-09-21,1.9356956,3.0183728,2.3406742875,2.3293964,Station 9 (09)
Maria,depth,job09wq,2017-09-22,1.64042,2.2309712,1.8946851,1.8700788,Station 9 (09)
Maria,depth,job09wq,2017-09-23,1.6732284,2.1653544,1.937746125,2.0013124,Station 9 (09)
Maria,depth,job09wq,2017-09-24,1.804462,2.296588,2.0802576125,2.0997376,Station 9 (09)
Maria,depth,job09wq,2017-09-25,1.5748032,2.2637796,1.9603019,2.0013124,Station 9 (09)
Maria,depth,job09wq,2017-09-26,1.5748032,2.2637796,1.98969275833333,2.0833334,Station 9 (09)
Maria,depth,job09wq,2017-09-27,1.5748032,2.3622048,1.96782049166667,1.9356956,Station 9 (09)
Maria,depth,job09wq,2017-09-28,1.9028872,2.3622048,2.1997251047619,2.2637796,Station 9 (09)
Maria,depth,job10wq,2017-09-18,2.0669292,2.5590552,2.23615147368421,2.1981628,Station 10 (10)
Maria,depth,job10wq,2017-09-19,2.1653544,2.5918636,2.34990165,2.3293964,Station 10 (10)
Maria,depth,job10wq,2017-09-20,1.476378,3.6745408,2.59869868333333,2.5262468,Station 10 (10)
Maria,depth,job10wq,2017-09-21,1.8372704,2.788714,2.192011225,2.1653544,Station 10 (10)
Maria,depth,job10wq,2017-09-22,1.5091864,2.0997376,1.76379325416667,1.7388452,Station 10 (10)
Maria,depth,job10wq,2017-09-23,1.5091864,2.0669292,1.80890480416667,1.8536746,Station 10 (10)
Maria,depth,job10wq,2017-09-24,1.6076116,2.1981628,1.95961839166667,1.968504,Station 10 (10)
Maria,depth,job10wq,2017-09-25,1.4435696,2.0997376,1.83316935,1.8700788,Station 10 (10)
Maria,depth,job10wq,2017-09-26,1.476378,2.1653544,1.86768652083333,1.968504,Station 10 (10)
Maria,depth,job10wq,2017-09-27,1.476378,2.2637796,1.84683951666667,1.8372704,Station 10 (10)
Maria,depth,job10wq,2017-09-28,1.804462,2.2309712,2.07942763809524,2.132546,Station 10 (10)
Maria,depth,job19wq,2017-09-18,2.3950132,2.8543308,2.55301154736842,2.5262468,Station 19 (19)
Maria,depth,job19wq,2017-09-19,2.4934384,2.9199476,2.66978355,2.624672,Station 19 (19)
Maria,depth,job19wq,2017-09-20,1.9028872,4.2979004,3.04673839583333,3.0183728,Station 19 (19)
Maria,depth,job19wq,2017-09-21,2.1653544,3.1496064,2.50232400833333,2.4934384,Station 19 (19)
Maria,depth,job19wq,2017-09-22,1.8700788,2.3622048,2.07649831666667,2.0669292,Station 19 (19)
Maria,depth,job19wq,2017-09-23,1.8372704,2.3622048,2.11067373333333,2.132546,Station 19 (19)
Maria,depth,job19wq,2017-09-24,2.0013124,2.4934384,2.24976767916667,2.2637796,Station 19 (19)
Maria,depth,job19wq,2017-09-25,1.7716536,2.3622048,2.12024285,2.1489502,Station 19 (19)
Maria,depth,job19wq,2017-09-26,1.7716536,2.4278216,2.163303875,2.2637796,Station 19 (19)
Maria,depth,job19wq,2017-09-27,1.804462,2.5262468,2.14963370833333,2.132546,Station 19 (19)
Maria,depth,job19wq,2017-09-28,2.0997376,2.5262468,2.37314093333333,2.4278216,Station 19 (19)
Maria,depth,job20wq,2017-09-18,2.8543308,3.3464568,3.02139462631579,3.0183728,Station 20 (20)
Maria,depth,job20wq,2017-09-19,2.9855644,3.3792652,3.147555875,3.116798,Station 20 (20)
Maria,depth,job20wq,2017-09-20,2.8215224,4.429134,3.46880479166667,3.444882,Station 20 (20)
Maria,depth,job20wq,2017-09-21,2.3293964,3.444882,2.69575686666667,2.6902888,Station 20 (20)
Maria,depth,job20wq,2017-09-22,2.0013124,2.5918636,2.2545522375,2.2637796,Station 20 (20)
Maria,depth,job20wq,2017-09-23,2.0013124,2.5918636,2.31265044583333,2.3622048,Station 20 (20)
Maria,depth,job20wq,2017-09-24,2.1981628,2.6902888,2.45618719583333,2.4934384,Station 20 (20)
Maria,depth,job20wq,2017-09-25,2.0013124,2.624672,2.33794025416667,2.3622048,Station 20 (20)
Maria,depth,job20wq,2017-09-26,1.968504,2.624672,2.36459707916667,2.46063,Station 20 (20)
Maria,depth,job20wq,2017-09-27,2.0013124,2.7230972,2.3427248125,2.3293964,Station 20 (20)
Maria,depth,job20wq,2017-09-28,2.296588,2.7230972,2.56686672380952,2.624672,Station 20 (20)
Maria,do_mgl,job09wq,2017-09-18,0.8,7,3.61733333333333,2.9,Station 9 (09)
Maria,do_mgl,job09wq,2017-09-19,1.7,5.1,3.23854166666667,3.35,Station 9 (09)
Maria,do_mgl,job09wq,2017-09-20,1.1,5.6,3.803125,3.9,Station 9 (09)
Maria,do_mgl,job09wq,2017-09-21,0.7,4.2,2.32105263157895,2.2,Station 9 (09)
Maria,do_mgl,job10wq,2017-09-18,2,5.4,4.20789473684211,4.2,Station 10 (10)
Maria,do_mgl,job10wq,2017-09-19,1.1,5.2,3.78854166666667,4.3,Station 10 (10)
Maria,do_mgl,job10wq,2017-09-20,4,5.9,5.071875,5.25,Station 10 (10)
Maria,do_mgl,job10wq,2017-09-21,4.6,5.7,5.26666666666667,5.3,Station 10 (10)
Maria,do_mgl,job10wq,2017-09-22,2.8,5.2,3.89479166666667,3.7,Station 10 (10)
Maria,do_mgl,job10wq,2017-09-23,1.8,4.3,3.17604166666667,3.2,Station 10 (10)
Maria,do_mgl,job10wq,2017-09-24,1.7,3.7,2.796875,2.8,Station 10 (10)
Maria,do_mgl,job10wq,2017-09-25,0.2,6.8,3.12083333333333,2.6,Station 10 (10)
Maria,do_mgl,job10wq,2017-09-26,3.6,9.9,6.62916666666667,5.95,Station 10 (10)
Maria,do_mgl,job10wq,2017-09-27,4.6,8.9,7.19270833333333,7.5,Station 10 (10)
Maria,do_mgl,job10wq,2017-09-28,5.3,7.4,6.75714285714286,7,Station 10 (10)
Maria,do_mgl,job19wq,2017-09-18,4.6,7.6,5.9921052631579,5.9,Station 19 (19)
Maria,do_mgl,job19wq,2017-09-19,2.9,7.3,5.490625,5.65,Station 19 (19)
Maria,do_mgl,job19wq,2017-09-20,5.1,6.2,5.8375,5.9,Station 19 (19)
Maria,do_mgl,job19wq,2017-09-21,5.2,6.5,5.96458333333333,5.9,Station 19 (19)
Maria,do_mgl,job19wq,2017-09-22,4.6,6.4,6.05,6.1,Station 19 (19)
Maria,do_mgl,job19wq,2017-09-23,0.7,6.5,4.81145833333333,5.15,Station 19 (19)
Maria,do_mgl,job19wq,2017-09-24,3.8,8.2,5.73854166666667,5.2,Station 19 (19)
Maria,do_mgl,job19wq,2017-09-25,0.6,9.2,5.446875,5.5,Station 19 (19)
Maria,do_mgl,job19wq,2017-09-26,4.6,9.7,7.59270833333333,8.05,Station 19 (19)
Maria,do_mgl,job19wq,2017-09-27,5.7,8.6,7.35,7.65,Station 19 (19)
Maria,do_mgl,job19wq,2017-09-28,5.9,7.8,6.44761904761905,6.3,Station 19 (19)
Maria,do_mgl,job20wq,2017-09-18,4.6,8,6.02236842105263,5.45,Station 20 (20)
Maria,do_mgl,job20wq,2017-09-19,5,7.2,5.92291666666667,5.85,Station 20 (20)
Maria,do_mgl,job20wq,2017-09-20,5.8,6.2,6.07083333333333,6.1,Station 20 (20)
Maria,do_mgl,job20wq,2017-09-21,6,6.6,6.3125,6.3,Station 20 (20)
Maria,do_mgl,job20wq,2017-09-22,5.7,6.9,6.23854166666667,6.1,Station 20 (20)
Maria,do_mgl,job20wq,2017-09-23,5.6,7.9,6.384375,6.1,Station 20 (20)
Maria,do_mgl,job20wq,2017-09-24,5.6,8.8,6.54479166666667,5.95,Station 20 (20)
Maria,do_mgl,job20wq,2017-09-25,4.2,8.6,6.36458333333333,5.9,Station 20 (20)
Maria,do_mgl,job20wq,2017-09-26,4.9,8.6,6.571875,6.05,Station 20 (20)
Maria,do_mgl,job20wq,2017-09-27,5.1,8.3,6.5625,6.4,Station 20 (20)
Maria,do_mgl,job20wq,2017-09-28,5.4,6.2,5.58095238095238,5.5,Station 20 (20)
Maria,do_pct,job09wq,2017-09-18,12.8,117.1,59.1853333333333,46.8,Station 9 (09)
Maria,do_pct,job09wq,2017-09-19,26.4,83.8,52.5072916666667,54,Station 9 (09)
Maria,do_pct,job09wq,2017-09-20,17.2,85.7,56.5822916666667,57.95,Station 9 (09)
Maria,do_pct,job09wq,2017-09-21,9.9,58.1,32.3508771929825,32.2,Station 9 (09)
Maria,do_pct,job10wq,2017-09-18,32.6,87.7,67.771052631579,66.5,Station 10 (10)
Maria,do_pct,job10wq,2017-09-19,17.9,83.3,60.9,68.3,Station 10 (10)
Maria,do_pct,job10wq,2017-09-20,60.5,89.3,77.35625,78.8,Station 10 (10)
Maria,do_pct,job10wq,2017-09-21,67.4,83.6,76.9208333333333,77.55,Station 10 (10)
Maria,do_pct,job10wq,2017-09-22,40.6,75.6,56.5333333333333,54.1,Station 10 (10)
Maria,do_pct,job10wq,2017-09-23,25.9,62.8,46.4979166666667,46.85,Station 10 (10)
Maria,do_pct,job10wq,2017-09-24,25.3,57.1,41.928125,42,Station 10 (10)
Maria,do_pct,job10wq,2017-09-25,2.3,105.2,47.55,38.9,Station 10 (10)
Maria,do_pct,job10wq,2017-09-26,53.8,153.6,101.127083333333,90.5,Station 10 (10)
Maria,do_pct,job10wq,2017-09-27,69.8,136.4,109.486458333333,114.55,Station 10 (10)
Maria,do_pct,job10wq,2017-09-28,80,112.7,102.685714285714,105.8,Station 10 (10)
Maria,do_pct,job19wq,2017-09-18,74,123.9,97.2315789473684,95.2,Station 19 (19)
Maria,do_pct,job19wq,2017-09-19,46.9,118.2,88.903125,91.15,Station 19 (19)
Maria,do_pct,job19wq,2017-09-20,81.4,95.9,91.5625,91.25,Station 19 (19)
Maria,do_pct,job19wq,2017-09-21,72.7,92.1,87.190625,88,Station 19 (19)
Maria,do_pct,job19wq,2017-09-22,63.9,90.8,84.1614583333333,84.95,Station 19 (19)
Maria,do_pct,job19wq,2017-09-23,9.8,97.5,69.684375,76.3,Station 19 (19)
Maria,do_pct,job19wq,2017-09-24,56.4,126.3,86.85,77.95,Station 19 (19)
Maria,do_pct,job19wq,2017-09-25,9.5,145.9,85.2489583333333,85.55,Station 19 (19)
Maria,do_pct,job19wq,2017-09-26,72,153.9,119.633333333333,126.65,Station 19 (19)
Maria,do_pct,job19wq,2017-09-27,88.6,136.3,115.686458333333,120.2,Station 19 (19)
Maria,do_pct,job19wq,2017-09-28,92.3,123.4,101.6,98.9,Station 19 (19)
Maria,do_pct,job20wq,2017-09-18,73,131,97.4223684210526,87.9,Station 20 (20)
Maria,do_pct,job20wq,2017-09-19,79.2,115.5,94.8791666666667,93.25,Station 20 (20)
Maria,do_pct,job20wq,2017-09-20,91,99.2,95.56875,95.45,Station 20 (20)
Maria,do_pct,job20wq,2017-09-21,93.7,103,97.66875,97,Station 20 (20)
Maria,do_pct,job20wq,2017-09-22,88.1,108.3,96.7041666666667,94.75,Station 20 (20)
Maria,do_pct,job20wq,2017-09-23,85.6,124,99.20625,93.8,Station 20 (20)
Maria,do_pct,job20wq,2017-09-24,86.4,140.3,102.566666666667,92.55,Station 20 (20)
