"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"acefcnut  ","P",01/07/2015 14:00,1,1,1         ,1         ,"",0.0654,<0>  ,0.0315,<0>  ,"","","","",0.0067,<0>  ,0.63,<1> (CSM) ,
"acefcnut  ","P",01/07/2015 14:01,1,1,1         ,2         ,"",0.0715,<0>  ,0.0523,<0>  ,"","","","",0.0109,<0>  ,0.49,<1> (CSM) ,
"acefcnut  ","P",02/23/2015 14:30,1,1,1         ,1         ,"",0.035,<0>  ,0.0557,<0>  ,"","","","",0.0279,<0>  ,0.74,<1> (CSM) ,
"acefcnut  ","P",02/23/2015 14:31,1,1,1         ,2         ,"",0.0378,<0>  ,0.0637,<0>  ,"","","","",0.0245,<0>  ,0.7,<1> (CSM) ,
"acefcnut  ","P",03/18/2015 9:45,1,1,1         ,1         ,"",0.0397,<0>  ,0.07,<0>  ,"","","","",0.0108,<0>  ,0.95,<1> (CSM) ,
"acefcnut  ","P",03/18/2015 9:46,1,1,1         ,2         ,"",0.0306,<0>  ,0.0522,<0>  ,"","","","",0.0096,<0>  ,0.95,<1> (CSM) ,
"acefcnut  ","P",04/08/2015 14:30,1,1,1         ,1         ,"",0.0895,<0>  ,0.0020,<-4> [SBL] ,"","","","",0.0268,<0>  ,3.65,<1> (CSM) ,
"acefcnut  ","P",04/08/2015 14:31,1,1,1         ,2         ,"",0.092,<0>  ,0.0020,<0>  ,"","","","",0.0279,<0>  ,4.09,<1> (CSM) ,
"acefcnut  ","P",05/06/2015 13:00,1,1,1         ,1         ,"",0.0413,<0>  ,0.0615,<0>  ,"","","","",0.0423,<1> [SRD] ,1.7,<1> (CSM) ,
"acefcnut  ","P",05/06/2015 13:01,1,1,1         ,2         ,"",0.0255,<0>  ,0.0461,<0>  ,"","","","",0.0052,<1> [SRD] ,1.54,<1> (CSM) ,
"acefcnut  ","P",06/17/2015 10:45,1,1,1         ,1         ,"",0.0405,<0>  ,0.0646,<0>  ,"","","","",0.0842,<0>  ,0.78,<1> (CSM) ,
"acefcnut  ","P",06/17/2015 10:46,1,1,1         ,2         ,"",0.0461,<0>  ,0.0646,<0>  ,"","","","",0.0845,<0>  ,0.89,<1> (CSM) ,
"acefcnut  ","P",07/15/2015 11:50,1,1,1         ,1         ,"",0.0753,<0>  ,0.115,<0>  ,"","","","",0.0774,<0>  ,1.2,<1> (CSM) ,
"acefcnut  ","P",07/15/2015 11:51,1,1,1         ,2         ,"",0.0738,<0>  ,0.113,<0>  ,"","","","",0.0721,<0>  ,1.02,<1> (CSM) ,
"acefcnut  ","P",08/12/2015 10:15,1,1,1         ,1         ,"",0.0901,<0>  ,0.0726,<0>  ,"","","","",0.0909,<0>  ,2.32,<1> (CSM) ,
"acefcnut  ","P",08/12/2015 10:16,1,1,1         ,2         ,"",0.0922,<0>  ,0.0837,<0>  ,"","","","",0.0903,<0>  ,1.86,<1> (CSM) ,
"acefcnut  ","P",09/16/2015 13:46,1,1,1         ,1         ,"",0.0858,<0>  ,0.0445,<0>  ,"","","","",0.176,<0>  ,1.72,<1> (CSM) ,
"acefcnut  ","P",09/16/2015 13:47,1,1,1         ,2         ,"",0.0874,<0>  ,0.0343,<0>  ,"","","","",0.175,<0>  ,1.14,<1> (CSM) ,
"acefcnut  ","P",10/14/2015 12:30,1,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,0.32,<1> (CSM) ,
"acefcnut  ","P",10/14/2015 12:31,1,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,0.32,<1> (CSM) ,
"acefcnut  ","P",11/12/2015 13:01,1,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,0.75,<1> (CSM) ,
"acefcnut  ","P",11/12/2015 13:02,1,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,0.72,<1> (CSM) ,
"acefcnut  ","P",12/14/2015 13:45,1,1,1         ,1         ,"",0.0322,<0>  ,0.026,<0>  ,"","","","",0.0167,<0>  ,0.48,<1> (CSM) ,
"acefcnut  ","P",12/14/2015 13:46,1,1,1         ,2         ,"",0.0331,<0>  ,0.0207,<0>  ,"","","","",0.015,<0>  ,0.67,<1> (CSM) ,

