"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"acejiwq   ","S",01/01/2020 0:00,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 0:15,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 0:30,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 0:45,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 1:00,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 1:15,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 1:30,0,1,"",14.8,<-3> [GPF] (CSM),0.62,<-3> [GPF] (CSM),0.3,<-3> [GPF] (CSM),79.4,<-3> [GPF] (CSM),8.0,<-3> [GPF] (CSM),4.93,<-3> [GPF] (CSM),"",<-3> [GCR],"",<-1> ,"","",6.8,<-3> [GPF] (CSM),27,<-3> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 1:45,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 2:00,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 2:15,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 2:30,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 2:45,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 3:00,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 3:15,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 3:30,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 3:45,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 4:00,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 4:15,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 4:30,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 4:45,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 5:00,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 5:15,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 5:30,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 5:45,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 6:00,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
"acejiwq   ","S",01/01/2020 6:15,0,1,"","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"","","",<-1> ,"","","",<-2> [GPF] (CSM),"",<-2> [GPF] (CSM),"",<-1> ,
