"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"acemcnut  ","P",01/16/2018 12:39,0,1,1         ,1         ,"",0.0441,<0>  ,0.048,<0>  ,"","","","",0.03,<0>  ,4.57,<0>  ,
"acemcnut  ","P",01/16/2018 12:40,0,1,1         ,2         ,"",0.0457,<0>  ,0.052,<0>  ,"","","","",0.0332,<0>  ,4.64,<0>  ,
"acemcnut  ","P",02/13/2018 11:01,0,1,1         ,1         ,"",0.0413,<0>  ,0.036,<0>  ,"","","","",0.036,<0>  ,11.3,<0>  ,
"acemcnut  ","P",02/13/2018 11:02,0,1,1         ,2         ,"",0.04,<0>  ,0.035,<0>  ,"","","","",0.0277,<1> [GSM] (CHB) ,14.21,<0>  ,
"acemcnut  ","P",03/26/2018 8:34,0,1,1         ,1         ,"",0.0295,<0>  ,0.037,<0>  ,"","","","",0.0441,<1> [GSM] (CHB) ,2.83,<0>  ,
"acemcnut  ","P",03/26/2018 8:35,0,1,1         ,2         ,"",0.0342,<0>  ,0.039,<0>  ,"","","","",0.035,<0>  ,3.29,<0>  ,
"acemcnut  ","P",04/24/2018 7:36,0,1,1         ,1         ,"",0.0259,<0>  ,0.04,<0>  ,"","","","",0.0401,<1> [GSM] (CHB) ,6.86,<0>  ,
"acemcnut  ","P",04/24/2018 7:37,0,1,1         ,2         ,"",0.0267,<0>  ,0.039,<0>  ,"","","","",0.0546,<0>  ,5.85,<0>  ,
"acemcnut  ","P",05/09/2018 7:11,0,1,1         ,1         ,"",0.0329,<1> [GSM] (CHB) ,0.041,<1> [GSM] (CHB) ,"","","","",0.0488,<0>  ,5.83,<0>  ,
"acemcnut  ","P",05/09/2018 7:12,0,1,1         ,2         ,"",0.0343,<1> [GSM] (CHB) ,0.047,<1> [GSM] (CHB) ,"","","","",0.0601,<0>  ,7.78,<0>  ,
"acemcnut  ","P",06/07/2018 6:31,0,1,1         ,1         ,"",0.0475,<0>  ,0.054,<0>  ,"","","","",0.173,<1> [SRD] (CSM) ,21.8,<0>  ,
"acemcnut  ","P",06/07/2018 6:32,0,1,1         ,2         ,"",0.0481,<0>  ,0.058,<0>  ,"","","","",0.09,<1> [SRD] (CSM) ,21.53,<0>  ,
"acemcnut  ","P",07/09/2018 8:30,0,1,1         ,1         ,"",0.0435,<0>  ,0.0060,<0>  ,"","","","",0.0784,<0>  ,12.05,<0>  ,
"acemcnut  ","P",07/09/2018 8:31,0,1,1         ,2         ,"",0.0444,<0>  ,0.0060,<0>  ,"","","","",0.0771,<0>  ,11.89,<0>  ,
"acemcnut  ","P",08/06/2018 8:25,0,1,1         ,1         ,"",0.0479,<0>  ,0.0090,<0>  ,"","","","",0.124,<1> [GSM] (CHB) ,14.17,<0>  ,
"acemcnut  ","P",08/06/2018 8:26,0,1,1         ,2         ,"",0.0347,<0>  ,0.0080,<0>  ,"","","","",0.121,<1> [GSM] (CHB) ,13.06,<0>  ,
"acemcnut  ","P",09/05/2018 7:51,0,1,1         ,1         ,"",0.0662,<0>  ,0.0070,<0>  ,"","","","",0.179,<1> [GSM] (CHB) ,8.26,<0>  ,
"acemcnut  ","P",09/05/2018 7:52,0,1,1         ,2         ,"",0.0706,<0>  ,0.0050,<0>  ,"","","","",0.182,<1> [GSM] (CHB) ,8.28,<0>  ,
"acemcnut  ","P",10/04/2018 7:50,0,1,1         ,1         ,"",0.0742,<0>  ,0.0080,<0>  ,"","","","",0.134,<0>  ,4.7,<0>  ,
"acemcnut  ","P",10/04/2018 7:51,0,1,1         ,2         ,"",0.0745,<0>  ,0.0090,<0>  ,"","","","",0.146,<0>  ,4.3,<0>  ,
"acemcnut  ","P",11/05/2018 10:33,0,1,1         ,1         ,"",0.048,<0>  ,0.024,<0>  ,"","","","",0.0633,<0>  ,10.57,<0>  ,
"acemcnut  ","P",11/05/2018 10:34,0,1,1         ,2         ,"",0.0469,<0>  ,0.02,<0>  ,"","","","",0.0625,<0>  ,9.77,<0>  ,
"acemcnut  ","P",12/03/2018 9:52,0,1,1         ,1         ,"",0.0419,<0>  ,0.03,<0>  ,"","","","",0.0298,<0>  ,6.71,<0>  ,
"acemcnut  ","P",12/03/2018 9:53,0,1,1         ,2         ,"",0.0404,<0>  ,0.031,<0>  ,"","","","",0.0321,<1> [GSM] (CHB) ,7.3,<0>  ,

