"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"acespnut  ","P",01/16/2018 11:52,0,1,1         ,1         ,"",0.0207,<0>  ,0.015,<0>  ,"","","","",0.0093,<0>  ,4.5,<0>  ,
"acespnut  ","P",01/16/2018 11:54,0,1,1         ,2         ,"",0.0202,<0>  ,0.015,<0>  ,"","","","",0.0141,<0>  ,4.15,<0>  ,
"acespnut  ","P",01/17/2018 2:08,0,1,2         ,1         ,"",0.0378,<0>  ,0.045,<0>  ,"","","","",0.0209,<0>  ,2.96,<0>  ,
"acespnut  ","P",01/17/2018 4:12,0,1,2         ,1         ,"",0.012,<0>  ,0.019,<0>  ,"","","","",0.0194,<0>  ,6.53,<0>  ,
"acespnut  ","P",01/17/2018 6:16,0,1,2         ,1         ,"",0.0039,<0>  ,0.0090,<0>  ,"","","","",0.0109,<0>  ,8.92,<0>  ,
"acespnut  ","P",01/17/2018 8:20,0,1,2         ,1         ,"",0.0033,<0>  ,0.011,<0>  ,"","","","",0.0163,<0>  ,7.24,<0>  ,
"acespnut  ","P",01/17/2018 10:24,0,1,2         ,1         ,"",0.0052,<0>  ,0.0090,<0>  ,"","","","",0.0092,<0>  ,6.33,<0>  ,
"acespnut  ","P",01/17/2018 12:28,0,1,2         ,1         ,"",0.0173,<0>  ,0.012,<0>  ,"","","","",0.0124,<0>  ,4.08,<0>  ,
"acespnut  ","P",01/17/2018 14:32,0,1,2         ,1         ,"",0.0331,<0>  ,0.034,<0>  ,"","","","",0.0132,<0>  ,3.03,<0>  ,
"acespnut  ","P",01/17/2018 16:36,0,1,2         ,1         ,"",0.0091,<0>  ,0.0050,<0>  ,"","","","",0.0175,<0>  ,8.16,<0>  ,
"acespnut  ","P",01/17/2018 18:40,0,1,2         ,1         ,"",0.0067,<0>  ,0.011,<0>  ,"","","","",0.0072,<0>  ,8.92,<0>  ,
"acespnut  ","P",01/17/2018 20:44,0,1,2         ,1         ,"",0.0048,<0>  ,0.012,<0>  ,"","","","",0.0064,<0>  ,6.08,<0>  ,
"acespnut  ","P",01/17/2018 22:48,0,1,2         ,1         ,"",0.0138,<0>  ,0.02,<0>  ,"","","","",0.0075,<0>  ,6.49,<0>  ,
"acespnut  ","P",01/18/2018 0:52,0,1,2         ,1         ,"",0.0351,<0>  ,0.045,<0>  ,"","","","",0.0141,<0>  ,4.5,<0>  ,
"acespnut  ","P",01/18/2018 2:56,0,1,2         ,1         ,"",0.0438,<0>  ,0.053,<0>  ,"","","","",0.0101,<0>  ,4.81,<0>  ,
