"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"delblnut  ","P",01/28/2019 11:29,0,1,1         ,1         ,"",0.013,<0>  ,0.105,<0>  ,0.0040,<1> (CSM) ,1.176,<1> [GQS] ,1.18,<0>  ,2.3,<0>  ,
"delblnut  ","P",02/25/2019 10:13,0,1,1         ,1         ,"",0.01,<0>  ,0.06,<0>  ,0.0040,<1> (CSM) ,0.98,<1> [GQS] ,0.984,<0>  ,10.7,<0>  ,
"delblnut  ","P",02/25/2019 10:15,0,1,1         ,2         ,"",0.01,<0>  ,0.074,<0>  ,0.0040,<1> (CSM) ,0.973,<1> [GQS] ,0.977,<0>  ,10.9,<0>  ,
"delblnut  ","P",02/25/2019 10:17,0,1,1         ,3         ,"",0.011,<0>  ,0.077,<0>  ,0.0040,<1> (CSM) ,0.965,<1> [GQS] ,0.969,<0>  ,9.6,<0>  ,
"delblnut  ","P",03/05/2019 6:10,0,1,1         ,1         ,"",0.015,<0>  ,0.034,<0>  ,0.0040,<-4> [SBL] ,"",<-4> [SCB] ,0.654,<0>  ,5.0,<0>  ,
"delblnut  ","P",04/08/2019 9:16,0,1,1         ,1         ,"",0.013,<0>  ,0.013,<1> (CSM) ,0.017,<0>  ,0.973,<0>  ,0.99,<0>  ,39.7,<0>  ,
"delblnut  ","P",05/30/2019 5:02,0,1,1         ,1         ,"",0.046,<0>  ,0.378,<1> (CSM) ,0.033,<0>  ,0.414,<0>  ,0.447,<0>  ,37.6,<0>  ,
"delblnut  ","P",06/03/2019 6:35,0,1,1         ,1         ,"",0.037,<0>  ,0.129,<0>  ,0.022,<0>  ,0.254,<0>  ,0.276,<0>  ,56.1,<0>  ,
"delblnut  ","P",06/03/2019 6:38,0,1,1         ,2         ,"",0.035,<0>  ,0.125,<0>  ,0.022,<0>  ,0.259,<0>  ,0.281,<0>  ,50.0,<1> [SRD] ,
"delblnut  ","P",06/03/2019 6:41,0,1,1         ,3         ,"",0.036,<0>  ,0.115,<0>  ,0.022,<0>  ,0.253,<0>  ,0.275,<0>  ,57.0,<1> [SRD] ,
"delblnut  ","P",07/01/2019 6:44,0,1,1         ,1         ,"",0.015,<0>  ,0.038,<0>  ,0.0040,<-4> [SBL] ,"",<-4> [SCB] ,0.0040,<-4> [SBL] ,114.0,<0>  ,
"delblnut  ","P",08/19/2019 8:12,0,1,1         ,1         ,"",0.015,<0>  ,0.025,<0>  ,0.0040,<-4> [SBL] ,"",<-4> [SCB] ,0.0040,<-4> [SBL] ,45.6,<0>  ,
"delblnut  ","P",09/17/2019 8:22,0,1,1         ,1         ,"",0.012,<0>  ,0.011,<1> (CSM) ,0.0040,<-4> [SBL] ,"",<-4> [SCB] ,0.0040,<-4> [SBL] ,77.0,<0>  ,
"delblnut  ","P",10/28/2019 7:52,0,1,1         ,1         ,"",0.0080,<1> (CSM) ,0.016,<1> (CSM) ,0.0050,<1> (CSM) ,0.216,<1> [GQS] ,0.221,<0>  ,40.6,<0>  ,
"delblnut  ","P",11/18/2019 9:52,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.017,<1> (CSM) ,0.0080,<0>  ,0.451,<0>  ,0.459,<0>  ,17.3,<0>  ,
"delblnut  ","P",12/16/2019 9:13,0,1,1         ,2         ,"",0.024,<0>  ,0.163,<0>  ,0.0070,<1> (CSM) ,0.767,<1> [GQS] ,0.774,<0>  ,10.8,<0>  ,

