"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gtmpcnut  ","P",01/15/2018 9:30,0,1,2         ,1         ,"",0.038,<1> (CHB) ,0.048,<0>  ,0.0030,<1> [SBL] (CHB) ,0.024,<0>  ,0.027,<0>  ,1.8,<1> (CHB) ,
"gtmpcnut  ","P",01/15/2018 12:00,0,1,2         ,1         ,"",0.034,<1> (CHB) ,0.036,<0>  ,0.0060,<1> (CSM) ,0.0090,<0>  ,0.015,<0>  ,1.8,<1> (CHB) ,
"gtmpcnut  ","P",01/15/2018 14:30,0,1,2         ,1         ,"",0.036,<0>  ,0.028,<0>  ,0.0020,<-4> [SBL] ,0.016,<0>  ,0.019,<0>  ,1.1,<0>  ,
"gtmpcnut  ","P",01/15/2018 17:00,0,1,2         ,1         ,"",0.036,<0>  ,0.024,<0>  ,0.0020,<-4> [SBL] ,0.012,<0>  ,0.015,<0>  ,0.56,<0>  ,
"gtmpcnut  ","P",01/15/2018 19:30,0,1,2         ,1         ,"",0.037,<0>  ,0.026,<0>  ,0.0020,<-4> [SBL] ,0.013,<0>  ,0.016,<0>  ,0.55,<-4> [SBL] ,
"gtmpcnut  ","P",01/15/2018 22:00,0,1,2         ,1         ,"",0.037,<0>  ,0.038,<0>  ,0.0020,<-4> [SBL] ,0.018,<0>  ,0.021,<0>  ,0.64,<0>  ,
"gtmpcnut  ","P",01/16/2018 0:30,0,1,2         ,1         ,"",0.038,<0>  ,0.032,<0>  ,0.0020,<-4> [SBL] ,0.015,<0>  ,0.018,<0>  ,0.55,<-4> [SBL] ,
"gtmpcnut  ","P",01/16/2018 3:00,0,1,2         ,1         ,"",0.035,<0>  ,0.022,<0>  ,0.0020,<-4> [SBL] ,0.01,<0>  ,0.013,<0>  ,0.55,<-4> [SBL] ,
"gtmpcnut  ","P",01/16/2018 5:30,0,1,2         ,1         ,"",0.0,<-2> (CSM) ,0.02,<0>  ,0.0,<-2> (CSM) ,0.014,<0>  ,0.014,<0>  ,0.55,<-4> [SBL] ,
"gtmpcnut  ","P",01/16/2018 8:00,0,1,2         ,1         ,"",0.036,<0>  ,0.028,<0>  ,0.0020,<-4> [SBL] ,0.014,<0>  ,0.017,<0>  ,0.91,<0>  ,
"gtmpcnut  ","P",01/16/2018 10:30,0,1,2         ,1         ,"",0.032,<0>  ,0.033,<0>  ,0.0060,<1> (CSM) ,0.0060,<0>  ,0.012,<0>  ,2.5,<0>  ,
"gtmpcnut  ","P",01/16/2018 10:54,0,1,1         ,1         ,"",0.032,<0>  ,0.032,<0>  ,0.0060,<0>  ,0.0070,<0>  ,0.013,<0>  ,1.7,<0>  ,
"gtmpcnut  ","P",01/16/2018 10:57,0,1,1         ,2         ,"",0.032,<0>  ,0.027,<0>  ,0.0060,<0>  ,0.0040,<0>  ,0.01,<0>  ,1.8,<0>  ,
"gtmpcnut  ","P",02/12/2018 9:30,0,1,2         ,1         ,"",0.041,<0>  ,0.053,<0>  ,0.0020,<-4> [SBL] ,0.032,<0>  ,0.035,<0>  ,1.2,<1> (CHB) ,
