"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gtmpinut  ","P",01/20/2016 8:27,0,1,1         ,1         ,"",0.02,<0>  ,0.017,<0>  ,0.0020,<-4> [SBL] ,0.0090,<0>  ,0.011,<0>  ,3.2,<0>  ,
"gtmpinut  ","P",01/20/2016 8:30,0,1,1         ,2         ,"",0.022,<0>  ,0.016,<0>  ,0.0020,<-4> [SBL] ,0.0020,<-4> [SCB] ,0.0040,<-4> [SBL] ,4.1,<0>  ,
"gtmpinut  ","P",02/17/2016 8:05,0,1,1         ,1         ,"",0.019,<0>  ,0.017,<0>  ,0.0020,<-4> [SBL] ,0.0020,<-4> [SCB] ,0.0040,<-4> [SBL] ,4.1,<0>  ,
"gtmpinut  ","P",02/17/2016 8:07,0,1,1         ,2         ,"",0.022,<0>  ,0.011,<0>  ,0.0020,<-4> [SBL] ,0.0020,<-4> [SCB] ,0.0040,<-4> [SBL] ,4.7,<0>  ,
"gtmpinut  ","P",03/08/2016 10:55,0,1,1         ,1         ,"",0.013,<0>  ,0.014,<0>  ,0.0020,<-4> [SBL] ,0.0020,<-4> [SCB] ,0.0040,<-4> [SBL] ,3.4,<0>  ,
"gtmpinut  ","P",03/08/2016 10:57,0,1,1         ,2         ,"",0.014,<0>  ,0.01,<0>  ,0.0020,<-4> [SBL] ,0.0020,<-4> [SCB] ,0.0040,<-4> [SBL] ,4.2,<0>  ,
"gtmpinut  ","P",04/04/2016 8:32,0,1,1         ,1         ,"",0.019,<0>  ,0.039,<0>  ,0.0020,<-4> [SBL] ,0.0020,<-4> [SCB] ,0.0040,<-4> [SBL] ,7.1,<0>  ,
"gtmpinut  ","P",04/04/2016 8:35,0,1,1         ,2         ,"",0.019,<0>  ,0.043,<0>  ,0.0020,<-4> [SBL] ,0.0020,<-4> [SCB] ,0.0040,<-4> [SBL] ,6.9,<0>  ,
"gtmpinut  ","P",05/03/2016 9:00,0,1,1         ,1         ,"",0.017,<0>  ,0.014,<0>  ,0.0020,<-4> [SBL] ,0.0020,<-4> [SCB] ,0.0040,<-4> [SBL] ,1.7,<0>  ,
"gtmpinut  ","P",05/03/2016 9:03,0,1,1         ,2         ,"",0.018,<0>  ,0.013,<0>  ,0.0020,<-4> [SBL] ,0.0020,<-4> [SCB] ,0.0040,<-4> [SBL] ,5.5,<0>  ,
