"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gtmssnut  ","P",01/22/2019 10:40,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0020,<0>  ,0.0020,<-4> [SBL] ,0.011,<0>  ,0.013,<0>  ,6.7,<1> (CSM) ,
"gtmssnut  ","P",01/22/2019 10:42,0,1,1         ,2         ,"",0.0040,<-4> [SBL] ,0.0020,<-4> [SBL] ,0.0020,<-4> [SBL] ,0.0080,<0>  ,0.01,<0>  ,6.4,<0>  ,
"gtmssnut  ","P",02/05/2019 11:08,0,1,1         ,1         ,"",0.0060,<0>  ,0.0070,<0>  ,0.0020,<-4> [SBL] ,0.017,<1> [GQS] ,0.019,<1> [SRD] ,4.1,<1> (CSM) ,
"gtmssnut  ","P",02/05/2019 11:09,0,1,1         ,2         ,"",0.0060,<0>  ,0.0060,<0>  ,0.0020,<-4> [SBL] ,0.0040,<1> [GQS] ,0.0060,<1> [SRD] ,3.7,<0>  ,
"gtmssnut  ","P",03/05/2019 10:45,0,1,1         ,1         ,"",0.0080,<0>  ,0.019,<0>  ,0.0020,<-4> [SBL] ,0.016,<0>  ,0.018,<0>  ,4.0,<0>  ,
"gtmssnut  ","P",03/05/2019 10:48,0,1,1         ,2         ,"",0.0090,<0>  ,0.018,<0>  ,0.0020,<-4> [SBL] ,0.014,<0>  ,0.016,<0>  ,3.7,<0>  ,
"gtmssnut  ","P",04/03/2019 8:55,0,1,1         ,1         ,"",0.0080,<0>  ,0.012,<0>  ,0.0020,<-4> [SBL] ,0.01,<0>  ,0.012,<0>  ,4.3,<0>  ,
"gtmssnut  ","P",04/03/2019 8:58,0,1,1         ,2         ,"",0.0080,<0>  ,0.012,<0>  ,0.0020,<-4> [SBL] ,0.01,<0>  ,0.012,<0>  ,4.7,<0>  ,
"gtmssnut  ","P",05/01/2019 8:22,0,1,1         ,1         ,"",0.011,<0>  ,0.0070,<0>  ,0.0020,<-4> [SBL] ,0.0090,<0>  ,0.011,<0>  ,7.6,<0>  ,
"gtmssnut  ","P",05/01/2019 8:25,0,1,1         ,2         ,"",0.011,<0>  ,0.0090,<0>  ,0.0020,<-4> [SBL] ,0.0050,<0>  ,0.0070,<0>  ,6.2,<0>  ,
"gtmssnut  ","P",06/04/2019 10:43,0,1,1         ,1         ,"",0.0090,<0>  ,0.0050,<0>  ,0.0020,<-4> [SBL] ,0.0060,<0>  ,0.0080,<0>  ,5.7,<0>  ,
"gtmssnut  ","P",06/04/2019 10:45,0,1,1         ,2         ,"",0.0080,<0>  ,0.0050,<0>  ,0.0020,<-4> [SBL] ,0.0020,<0>  ,0.0040,<-4> [SBL] ,6.9,<0>  ,
"gtmssnut  ","P",07/15/2019 9:03,0,1,1         ,1         ,"",0.0090,<0>  ,0.0050,<0>  ,0.0020,<-4> [SBL] ,0.0080,<0>  ,0.01,<0>  ,7.9,<0>  ,
"gtmssnut  ","P",07/15/2019 9:07,0,1,1         ,2         ,"",0.0080,<0>  ,0.0040,<0>  ,0.0020,<-4> [SBL] ,0.0020,<0>  ,0.0040,<-4> [SBL] ,7.5,<0>  ,
"gtmssnut  ","P",08/13/2019 8:38,0,1,1         ,1         ,"",0.01,<0>  ,0.011,<0>  ,0.0020,<-4> [SBL] ,0.0070,<0>  ,0.0090,<0>  ,4.2,<0>  ,
"gtmssnut  ","P",08/13/2019 8:41,0,1,1         ,2         ,"",0.01,<0>  ,0.01,<0>  ,0.0020,<-4> [SBL] ,0.0050,<0>  ,0.0070,<0>  ,6.6,<0>  ,
"gtmssnut  ","P",09/11/2019 8:03,0,1,1         ,1         ,"",0.0060,<1> (CUS) ,0.0030,<1> (CUS) ,0.0020,<1> [SBL] (CUS) ,0.0030,<1> [GQS] ,0.0050,<1> (CUS) ,9.9,<1> (CUS) ,
"gtmssnut  ","P",09/11/2019 8:06,0,1,1         ,2         ,"",0.0070,<1> (CUS) ,0.0030,<1> (CUS) ,0.0020,<1> [SBL] (CUS) ,0.0020,<1> [GQS] ,0.0040,<1> [SBL] (CUS) ,10.0,<1> (CUS) ,
"gtmssnut  ","P",10/15/2019 10:51,0,1,1         ,1         ,"",0.0080,<0>  ,0.0060,<0>  ,0.0020,<-4> [SBL] ,0.0020,<0>  ,0.0040,<-4> [SBL] ,8.2,<0>  ,
"gtmssnut  ","P",10/15/2019 10:55,0,1,1         ,2         ,"",0.0090,<0>  ,0.0050,<0>  ,0.0020,<-4> [SBL] ,0.0020,<0>  ,0.0040,<-4> [SBL] ,9.6,<0>  ,
"gtmssnut  ","P",11/12/2019 10:38,0,1,1         ,1         ,"",0.015,<0>  ,0.015,<0>  ,0.0050,<0>  ,0.015,<0>  ,0.02,<0>  ,4.2,<0>  ,
"gtmssnut  ","P",11/12/2019 10:40,0,1,1         ,2         ,"",0.013,<0>  ,0.012,<0>  ,0.0040,<0>  ,0.0090,<0>  ,0.013,<0>  ,5.0,<0>  ,
"gtmssnut  ","P",12/10/2019 9:28,0,1,1         ,1         ,"",0.014,<0>  ,0.012,<0>  ,0.0020,<-4> [SBL] ,0.0050,<0>  ,0.0070,<0>  ,6.6,<0>  ,
"gtmssnut  ","P",12/10/2019 9:30,0,1,1         ,2         ,"",0.012,<0>  ,0.011,<0>  ,0.0020,<-4> [SBL] ,0.0070,<0>  ,0.0090,<0>  ,5.2,<0>  ,

