"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"job10nut  ","P",01/17/2019 10:10,0,1,1         ,1         ,"{COC} {PNP} {TSH} {WH0} {N} {WS0}",0.015,<-4> [SBL] ,0.053,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.03,<0>  ,1.9,<0>  ,
"job10nut  ","P",01/17/2019 10:11,0,1,1         ,2         ,"{COC} {PNP} {TSH} {WH0} {N} {WS0}",0.015,<-4> [SBL] ,0.062,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.041,<0>  ,2.1,<0>  ,
"job10nut  ","P",02/27/2019 9:50,0,1,1         ,1         ,"{COC} {PNP} {TSH} {WH0} {NE} {WS0}",0.015,<-4> [SBL] ,0.033,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.022,<-4> [SBL] ,2.28,<0>  ,
"job10nut  ","P",02/27/2019 9:51,0,1,1         ,2         ,"{COC} {PNP} {TSH} {WH0} {NE} {WS0}",0.015,<-4> [SBL] ,0.031,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.022,<-4> [SBL] ,2.1768844,<0>  ,
"job10nut  ","P",03/20/2019 10:15,0,1,1         ,1         ,"{COC} {PNP} {TSE} {WH0} {ESE} {WS0}",0.015,<-4> [SBL] ,0.022,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.044,<-4> [SBL] ,1.2316583,<0>  ,
"job10nut  ","P",03/20/2019 10:16,0,1,1         ,2         ,"{COC} {PNP} {TSE} {WH0} {ESE} {WS0}",0.015,<-4> [SBL] ,0.031,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.044,<-4> [SBL] ,1.1858292,<0>  ,
"job10nut  ","P",04/11/2019 8:55,0,1,1         ,1         ,"{CPB} {PNP} {TSE} {WH0} {SE} {WS0}",0.015,<-4> [SBL] ,0.03,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.022,<1> [SRD] ,"",<-2> [GDM] ,
"job10nut  ","P",04/11/2019 8:56,0,1,1         ,2         ,"{CPB} {PNP} {TSE} {WH0} {SE} {WS0}",0.015,<-4> [SBL] ,0.043,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.025,<1> [SRD] ,"",<-2> [GDM] ,
"job10nut  ","P",05/08/2019 10:16,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH1} {E} {WS0}",0.015,<-4> [SBL] ,0.066,<1> [SRD] ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.07,<1> [SRD] ,"",<-2> [GDM] ,
"job10nut  ","P",05/08/2019 10:17,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH1} {E} {WS0}",0.015,<-4> [SBL] ,0.017,<1> [SRD] ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.022,<1> [SRD] ,"",<-2> [GDM] ,
"job10nut  ","P",07/02/2019 10:00,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {E} {WS1}",0.015,<-4> [SBL] ,0.029,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.022,<-4> [SBL] ,"",<-2> [GDM] ,
"job10nut  ","P",07/02/2019 10:01,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH0} {E} {WS1}",0.015,<-4> [SBL] ,0.035,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.022,<-4> [SBL] ,"",<-2> [GDM] ,
"job10nut  ","P",07/16/2019 10:07,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH1} {E} {WS0}",0.037,<0>  ,0.01,<-4> [SBL] ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.022,<-4> [SBL] ,"",<-2> [GDM] ,
"job10nut  ","P",07/16/2019 10:08,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH1} {E} {WS0}",0.034,<0>  ,0.01,<-4> [SBL] ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.022,<-4> [SBL] ,"",<-2> [GDM] ,

