"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"niwdcnut  ","P",01/17/2019 10:56,0,1,2         ,1         ,"",0.0166,<0>  ,0.1292,<0>  ,0.0021,<0>  ,0.0336,<0>  ,0.0357,<0>  ,2.74,<0>  ,
"niwdcnut  ","P",01/17/2019 13:00,0,1,2         ,1         ,"",0.012,<0>  ,0.1116,<0>  ,0.0018,<0>  ,0.0457,<0>  ,0.0475,<0>  ,2.83,<0>  ,
"niwdcnut  ","P",01/17/2019 15:04,0,1,2         ,1         ,"",0.0060,<0>  ,0.0562,<0>  ,0.0015,<0>  ,0.0644,<0>  ,0.0659,<0>  ,4.07,<0>  ,
"niwdcnut  ","P",01/17/2019 17:08,0,1,2         ,1         ,"",0.0038,<0>  ,0.0235,<0>  ,0.0014,<0>  ,0.0618,<0>  ,0.0632,<0>  ,8.56,<0>  ,
"niwdcnut  ","P",01/17/2019 19:12,0,1,2         ,1         ,"",0.0074,<0>  ,0.0651,<0>  ,0.0015,<0>  ,0.0632,<0>  ,0.0647,<0>  ,3.22,<0>  ,
"niwdcnut  ","P",01/17/2019 21:16,0,1,2         ,1         ,"",0.0158,<0>  ,0.1386,<0>  ,0.0019,<0>  ,0.0414,<0>  ,0.0433,<0>  ,2.58,<0>  ,
"niwdcnut  ","P",01/17/2019 23:20,0,1,2         ,1         ,"",0.019,<0>  ,0.1552,<0>  ,0.0023,<0>  ,0.0321,<0>  ,0.0344,<0>  ,2.11,<0>  ,
"niwdcnut  ","P",01/18/2019 1:24,0,1,2         ,1         ,"",0.014,<0>  ,0.1193,<0>  ,0.0017,<0>  ,0.0429,<0>  ,0.0446,<0>  ,2.03,<0>  ,
"niwdcnut  ","P",01/18/2019 3:28,0,1,2         ,1         ,"",0.0045,<0>  ,0.0231,<0>  ,0.0013,<0>  ,0.0652,<0>  ,0.0665,<0>  ,6.67,<0>  ,
"niwdcnut  ","P",01/18/2019 5:32,0,1,2         ,1         ,"",0.0035,<0>  ,0.0226,<0>  ,6.0E-4,<0>  ,0.0178,<0>  ,0.0184,<0>  ,6.94,<0>  ,
"niwdcnut  ","P",01/18/2019 7:36,0,1,2         ,1         ,"",0.0046,<0>  ,0.0323,<0>  ,8.0E-4,<0>  ,0.0294,<0>  ,0.0302,<0>  ,5.03,<0>  ,
"niwdcnut  ","P",01/18/2019 9:40,0,1,2         ,1         ,"",0.013,<0>  ,0.1596,<0>  ,0.0015,<0>  ,0.0448,<0>  ,0.0463,<0>  ,2.76,<0>  ,
"niwdcnut  ","P",01/18/2019 11:44,0,1,2         ,1         ,"",0.0159,<0>  ,0.1302,<0>  ,0.0019,<0>  ,0.0338,<0>  ,0.0357,<0>  ,2.72,<0>  ,
"niwdcnut  ","P",01/18/2019 11:46,0,1,1         ,1         ,"",0.016,<0>  ,0.1264,<0>  ,0.0020,<0>  ,0.0336,<0>  ,0.0356,<0>  ,2.67,<0>  ,
"niwdcnut  ","P",01/18/2019 11:48,0,1,1         ,2         ,"",0.016,<0>  ,0.1147,<0>  ,0.0019,<0>  ,0.0316,<0>  ,0.0335,<0>  ,2.73,<0>  ,
"niwdcnut  ","P",02/06/2019 2:44,0,1,2         ,1         ,"",0.0126,<0>  ,0.1135,<0>  ,0.0015,<0>  ,0.0081,<0>  ,0.0096,<0>  ,2.96,<0>  ,
"niwdcnut  ","P",02/06/2019 4:48,0,1,2         ,1         ,"",0.0108,<0>  ,0.0748,<0>  ,0.0012,<0>  ,0.0072,<0>  ,0.0084,<0>  ,2.86,<0>  ,
"niwdcnut  ","P",02/06/2019 6:52,0,1,2         ,1         ,"",0.0059,<0>  ,0.0385,<0>  ,0.0010,<0>  ,0.0294,<0>  ,0.0304,<0>  ,4.93,<0>  ,
"niwdcnut  ","P",02/06/2019 8:56,0,1,2         ,1         ,"",0.0014,<0>  ,0.0351,<0>  ,2.0E-4,<0>  ,0.0014,<0>  ,0.0016,<0>  ,25.91,<0>  ,
"niwdcnut  ","P",02/06/2019 11:00,0,1,2         ,1         ,"",0.0013,<0>  ,0.03,<0>  ,2.0E-4,<0>  ,0.0011,<0>  ,0.0013,<0>  ,13.62,<0>  ,
"niwdcnut  ","P",02/06/2019 13:04,0,1,2         ,1         ,"",0.0025,<0>  ,0.0448,<0>  ,8.0E-4,<0>  ,0.0095,<0>  ,0.0103,<0>  ,7.72,<0>  ,
"niwdcnut  ","P",02/06/2019 15:08,0,1,2         ,1         ,"",0.0097,<0>  ,0.0951,<0>  ,0.0012,<0>  ,0.0078,<0>  ,0.0090,<0>  ,5.04,<0>  ,
"niwdcnut  ","P",02/06/2019 17:12,0,1,2         ,1         ,"",0.0087,<0>  ,0.0665,<0>  ,0.0012,<0>  ,0.0076,<0>  ,0.0088,<0>  ,6.43,<0>  ,
"niwdcnut  ","P",02/06/2019 19:16,0,1,2         ,1         ,"",0.0020,<0>  ,0.0481,<0>  ,8.0E-4,<0>  ,0.0076,<0>  ,0.0084,<0>  ,9.27,<0>  ,
"niwdcnut  ","P",02/06/2019 21:20,0,1,2         ,1         ,"",0.0011,<-4> [SBL] ,0.0347,<0>  ,2.0E-4,<0>  ,0.0012,<0>  ,0.0014,<0>  ,14.57,<0>  ,
"niwdcnut  ","P",02/06/2019 23:24,0,1,2         ,1         ,"",0.0014,<0>  ,0.0403,<0>  ,8.0E-4,<0>  ,0.0075,<0>  ,0.0083,<0>  ,7.22,<0>  ,
"niwdcnut  ","P",02/07/2019 1:28,0,1,2         ,1         ,"",0.0062,<0>  ,0.0656,<0>  ,0.0010,<0>  ,0.0090,<0>  ,0.01,<0>  ,3.94,<0>  ,
"niwdcnut  ","P",02/07/2019 3:32,0,1,2         ,1         ,"",0.0102,<0>  ,0.0972,<0>  ,0.0014,<0>  ,0.0093,<0>  ,0.0107,<0>  ,3.2,<0>  ,
"niwdcnut  ","P",02/07/2019 3:34,0,1,1         ,1         ,"",0.0119,<0>  ,0.0901,<0>  ,0.0014,<0>  ,0.0088,<0>  ,0.0102,<0>  ,2.96,<0>  ,
"niwdcnut  ","P",02/07/2019 3:36,0,1,1         ,2         ,"",0.0102,<0>  ,0.0991,<0>  ,0.0014,<0>  ,0.0086,<0>  ,0.01,<0>  ,3.21,<0>  ,
"niwdcnut  ","P",02/26/2019 7:38,0,1,2         ,1         ,"",0.0107,<0>  ,0.1175,<0>  ,0.0015,<0>  ,0.0058,<0>  ,0.0073,<0>  ,2.94,<0>  ,
"niwdcnut  ","P",02/26/2019 9:42,0,1,2         ,1         ,"",0.0103,<0>  ,0.1145,<0>  ,0.0014,<0>  ,0.0059,<0>  ,0.0073,<0>  ,2.61,<0>  ,
"niwdcnut  ","P",02/26/2019 11:46,0,1,2         ,1         ,"",0.0088,<0>  ,0.08,<0>  ,0.0012,<0>  ,0.0070,<0>  ,0.0082,<0>  ,2.49,<0>  ,
"niwdcnut  ","P",02/26/2019 13:50,0,1,2         ,1         ,"",0.0061,<0>  ,0.0769,<0>  ,9.0E-4,<0>  ,0.0049,<0>  ,0.0058,<0>  ,3.3,<0>  ,
"niwdcnut  ","P",02/26/2019 15:54,0,1,2         ,1         ,"",0.0074,<0>  ,0.099,<0>  ,0.0010,<0>  ,0.0068,<0>  ,0.0078,<0>  ,3.25,<0>  ,
"niwdcnut  ","P",02/26/2019 17:58,0,1,2         ,1         ,"",0.0092,<0>  ,0.0933,<0>  ,0.0013,<0>  ,0.0060,<0>  ,0.0073,<0>  ,3.75,<0>  ,
"niwdcnut  ","P",02/26/2019 20:02,0,1,2         ,1         ,"",0.0104,<0>  ,0.0792,<0>  ,0.0013,<0>  ,0.0055,<0>  ,0.0068,<0>  ,4.06,<0>  ,
"niwdcnut  ","P",02/26/2019 22:06,0,1,2         ,1         ,"",0.01,<0>  ,0.093,<0>  ,0.0012,<0>  ,0.0056,<0>  ,0.0068,<0>  ,3.09,<0>  ,
"niwdcnut  ","P",02/27/2019 0:10,0,1,2         ,1         ,"",0.0087,<0>  ,0.1391,<0>  ,0.0011,<0>  ,0.0078,<0>  ,0.0089,<0>  ,3.03,<0>  ,
"niwdcnut  ","P",02/27/2019 2:14,0,1,2         ,1         ,"",0.0054,<0>  ,0.0447,<0>  ,6.0E-4,<0>  ,0.0018,<0>  ,0.0024,<0>  ,2.92,<0>  ,
"niwdcnut  ","P",02/27/2019 4:18,0,1,2         ,1         ,"",0.0064,<0>  ,0.0454,<0>  ,8.0E-4,<0>  ,0.0029,<0>  ,0.0037,<0>  ,2.66,<0>  ,
"niwdcnut  ","P",02/27/2019 6:22,0,1,2         ,1         ,"",0.0094,<0>  ,0.0692,<0>  ,0.0010,<0>  ,0.0057,<0>  ,0.0067,<0>  ,3.16,<0>  ,
"niwdcnut  ","P",02/27/2019 8:26,0,1,2         ,1         ,"",0.0106,<0>  ,0.1357,<0>  ,0.0012,<0>  ,0.0052,<0>  ,0.0064,<0>  ,3.79,<0>  ,
"niwdcnut  ","P",02/27/2019 8:28,0,1,1         ,1         ,"",0.011,<0>  ,0.0552,<0>  ,0.0012,<0>  ,0.0052,<0>  ,0.0064,<0>  ,3.82,<0>  ,
"niwdcnut  ","P",02/27/2019 8:30,0,1,1         ,2         ,"",0.0107,<0>  ,0.0586,<0>  ,0.0012,<0>  ,0.0051,<0>  ,0.0063,<0>  ,3.9,<0>  ,
"niwdcnut  ","P",03/18/2019 12:04,0,1,2         ,1         ,"",0.0031,<-4> [SBL] ,0.0186,<0>  ,8.0E-4,<0>  ,0.0059,<0>  ,0.0067,<0>  ,4.0,<0>  ,
"niwdcnut  ","P",03/18/2019 14:08,0,1,2         ,1         ,"",0.0052,<0>  ,0.0269,<0>  ,8.0E-4,<0>  ,0.0066,<0>  ,0.0074,<0>  ,3.75,<0>  ,
"niwdcnut  ","P",03/18/2019 16:12,0,1,2         ,1         ,"",0.0037,<0>  ,0.0335,<0>  ,7.0E-4,<0>  ,0.0092,<0>  ,0.0099,<0>  ,3.92,<0>  ,
"niwdcnut  ","P",03/18/2019 18:16,0,1,2         ,1         ,"",0.0031,<0>  ,0.027,<0>  ,4.0E-4,<0>  ,0.0043,<0>  ,0.0047,<0>  ,3.22,<0>  ,
"niwdcnut  ","P",03/18/2019 20:20,0,1,2         ,1         ,"",0.0036,<0>  ,0.0271,<0>  ,4.0E-4,<0>  ,0.0039,<0>  ,0.0043,<0>  ,2.76,<0>  ,
"niwdcnut  ","P",03/18/2019 22:24,0,1,2         ,1         ,"",0.0047,<0>  ,0.034,<0>  ,6.0E-4,<0>  ,0.0050,<0>  ,0.0056,<0>  ,2.74,<0>  ,
"niwdcnut  ","P",03/19/2019 0:28,0,1,2         ,1         ,"",0.0056,<0>  ,0.042,<0>  ,6.0E-4,<0>  ,0.0044,<0>  ,0.0050,<0>  ,3.09,<0>  ,
"niwdcnut  ","P",03/19/2019 2:32,0,1,2         ,1         ,"",0.0055,<0>  ,0.0349,<0>  ,6.0E-4,<0>  ,0.0058,<0>  ,0.0064,<0>  ,2.63,<0>  ,
"niwdcnut  ","P",03/19/2019 4:36,0,1,2         ,1         ,"",0.0031,<0>  ,0.0224,<0>  ,2.0E-4,<0>  ,0.0014,<0>  ,0.0016,<0>  ,6.73,<0>  ,
"niwdcnut  ","P",03/19/2019 6:40,0,1,2         ,1         ,"",0.0050,<0>  ,0.0426,<0>  ,4.0E-4,<0>  ,0.0038,<0>  ,0.0042,<0>  ,4.62,<0>  ,
"niwdcnut  ","P",03/19/2019 8:44,0,1,2         ,1         ,"",0.0038,<0>  ,0.0285,<0>  ,2.0E-4,<0>  ,0.0024,<0>  ,0.0026,<0>  ,4.36,<0>  ,
"niwdcnut  ","P",03/19/2019 10:48,0,1,2         ,1         ,"",0.0046,<0>  ,0.0272,<0>  ,4.0E-4,<0>  ,0.0028,<0>  ,0.0032,<0>  ,3.18,<0>  ,
"niwdcnut  ","P",03/19/2019 12:52,0,1,2         ,1         ,"",0.0053,<0>  ,0.05,<0>  ,5.0E-4,<0>  ,0.0034,<0>  ,0.0039,<0>  ,4.43,<0>  ,
"niwdcnut  ","P",03/19/2019 12:54,0,1,1         ,1         ,"",0.0053,<0>  ,0.0371,<0>  ,5.0E-4,<0>  ,0.0030,<0>  ,0.0035,<0>  ,4.39,<0>  ,
"niwdcnut  ","P",03/19/2019 12:56,0,1,1         ,2         ,"",0.0053,<0>  ,0.0351,<0>  ,4.0E-4,<0>  ,0.0032,<0>  ,0.0036,<0>  ,4.15,<0>  ,
"niwdcnut  ","P",04/07/2019 3:21,0,1,2         ,1         ,"",0.0076,<1> (CSM) ,0.1044,<0>  ,0.0013,<0>  ,0.0061,<0>  ,0.0074,<1> (CSM) ,2.67,<0>  ,
"niwdcnut  ","P",04/07/2019 5:25,0,1,2         ,1         ,"",0.0075,<1> (CSM) ,0.0864,<0>  ,0.0014,<0>  ,0.0051,<0>  ,0.0065,<1> (CSM) ,2.09,<0>  ,
"niwdcnut  ","P",04/07/2019 7:29,0,1,2         ,1         ,"",0.0052,<1> (CSM) ,0.044,<0>  ,0.0011,<0>  ,0.0046,<0>  ,0.0057,<1> (CSM) ,2.36,<0>  ,
