"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"niwtanut  ","P",01/18/2015 13:43,1,1,2         ,1         ,"",0.0243,<0>  ,0.0397,<0>  ,0.0032,<0>  ,0.2188,<0>  ,0.222,<0>  ,2.78,<0>  ,
"niwtanut  ","P",01/18/2015 15:47,1,1,2         ,1         ,"",0.0283,<0>  ,0.0374,<0>  ,0.0040,<0>  ,0.224,<0>  ,0.228,<0>  ,1.99,<0>  ,
"niwtanut  ","P",01/18/2015 17:51,1,1,2         ,1         ,"",0.0193,<0>  ,0.1029,<0>  ,0.0037,<0>  ,0.2832,<0>  ,0.2869,<0>  ,6.86,<0>  ,
"niwtanut  ","P",01/18/2015 19:55,1,1,2         ,1         ,"",0.0192,<0>  ,0.0501,<0>  ,0.0040,<0>  ,0.2871,<0>  ,0.2911,<0>  ,3.88,<0>  ,
"niwtanut  ","P",01/18/2015 21:59,1,1,2         ,1         ,"",0.0218,<0>  ,0.0525,<0>  ,0.0038,<0>  ,0.2659,<0>  ,0.2697,<0>  ,3.97,<0>  ,
"niwtanut  ","P",01/19/2015 0:03,1,1,2         ,1         ,"",0.0323,<0>  ,0.051,<0>  ,0.0030,<0>  ,0.1726,<0>  ,0.1756,<0>  ,2.95,<0>  ,
"niwtanut  ","P",01/19/2015 2:07,1,1,2         ,1         ,"",0.047,<0>  ,0.074,<0>  ,0.0041,<0>  ,0.1262,<0>  ,0.1303,<0>  ,2.68,<0>  ,
"niwtanut  ","P",01/19/2015 4:11,1,1,2         ,1         ,"",0.0224,<0>  ,0.0408,<0>  ,0.0049,<0>  ,0.3087,<0>  ,0.3136,<0>  ,5.59,<0>  ,
"niwtanut  ","P",01/19/2015 6:15,1,1,2         ,1         ,"",0.0218,<0>  ,0.0411,<0>  ,0.0050,<0>  ,0.3156,<0>  ,0.3206,<0>  ,4.14,<0>  ,
"niwtanut  ","P",01/19/2015 8:19,1,1,2         ,1         ,"",0.0198,<0>  ,0.0355,<0>  ,0.0045,<0>  ,0.2869,<0>  ,0.2914,<0>  ,2.87,<0>  ,
"niwtanut  ","P",01/19/2015 10:23,1,1,2         ,1         ,"",0.0201,<0>  ,0.0434,<0>  ,0.0045,<0>  ,0.2794,<0>  ,0.2839,<0>  ,3.07,<0>  ,
"niwtanut  ","P",01/19/2015 12:27,1,1,2         ,1         ,"",0.026,<0>  ,0.0382,<0>  ,0.0045,<0>  ,0.2641,<0>  ,0.2686,<0>  ,3.03,<0>  ,
"niwtanut  ","P",01/19/2015 14:31,1,1,2         ,1         ,"",0.0334,<0>  ,0.083,<0>  ,0.0042,<0>  ,0.2404,<0>  ,0.2446,<0>  ,3.24,<0>  ,
"niwtanut  ","P",01/19/2015 14:33,1,1,1         ,1         ,"",0.0346,<0>  ,0.0425,<0>  ,0.0044,<0>  ,0.2396,<0>  ,0.244,<0>  ,3.32,<0>  ,
"niwtanut  ","P",01/19/2015 14:35,1,1,1         ,2         ,"",0.0344,<0>  ,0.0533,<0>  ,0.0043,<0>  ,0.2387,<0>  ,0.243,<0>  ,2.94,<0>  ,
"niwtanut  ","P",02/07/2015 5:22,1,1,2         ,1         ,"",0.0401,<0>  ,0.0797,<0>  ,0.0043,<0>  ,0.1949,<0>  ,0.1992,<0>  ,1.55,<0>  ,
"niwtanut  ","P",02/07/2015 7:26,1,1,2         ,1         ,"",0.0167,<0>  ,0.0568,<0>  ,0.0060,<0>  ,0.3141,<0>  ,0.3201,<0>  ,4.02,<0>  ,
"niwtanut  ","P",02/07/2015 9:30,1,1,2         ,1         ,"",0.015,<0>  ,0.0557,<0>  ,0.0058,<0>  ,0.3088,<0>  ,0.3146,<0>  ,4.18,<0>  ,
"niwtanut  ","P",02/07/2015 11:34,1,1,2         ,1         ,"",0.0139,<0>  ,0.0503,<0>  ,0.0055,<0>  ,0.2883,<0>  ,0.2938,<0>  ,3.73,<0>  ,
"niwtanut  ","P",02/07/2015 13:38,1,1,2         ,1         ,"",0.0156,<0>  ,0.0436,<0>  ,0.0056,<0>  ,0.291,<0>  ,0.2966,<0>  ,3.58,<0>  ,
"niwtanut  ","P",02/07/2015 15:42,1,1,2         ,1         ,"",0.0287,<0>  ,0.0594,<0>  ,0.0052,<0>  ,0.2474,<0>  ,0.2526,<0>  ,2.57,<0>  ,
"niwtanut  ","P",02/07/2015 17:46,1,1,2         ,1         ,"",0.045,<0>  ,0.0771,<0>  ,0.0059,<0>  ,0.2093,<0>  ,0.2152,<0>  ,1.74,<0>  ,
"niwtanut  ","P",02/07/2015 19:50,1,1,2         ,1         ,"",0.0164,<0>  ,0.139,<0>  ,0.0062,<0>  ,0.3004,<0>  ,0.3066,<0>  ,6.63,<0>  ,
"niwtanut  ","P",02/07/2015 21:54,1,1,2         ,1         ,"",0.0142,<0>  ,0.0579,<0>  ,0.0061,<0>  ,0.3033,<0>  ,0.3094,<0>  ,7.75,<0>  ,
"niwtanut  ","P",02/07/2015 23:58,1,1,2         ,1         ,"",0.0141,<0>  ,0.0758,<0>  ,0.0061,<0>  ,0.3036,<0>  ,0.3097,<0>  ,5.4,<0>  ,
"niwtanut  ","P",02/08/2015 2:02,1,1,2         ,1         ,"",0.0191,<0>  ,0.0516,<0>  ,0.0062,<0>  ,0.2932,<0>  ,0.2994,<0>  ,4.09,<0>  ,
"niwtanut  ","P",02/08/2015 4:06,1,1,2         ,1         ,"",0.0432,<0>  ,0.0721,<0>  ,0.0053,<0>  ,0.2078,<0>  ,0.2131,<0>  ,2.4,<0>  ,
"niwtanut  ","P",02/08/2015 6:10,1,1,2         ,1         ,"",0.058,<0>  ,0.0953,<0>  ,0.0048,<0>  ,0.1813,<0>  ,0.1861,<0>  ,1.81,<0>  ,
"niwtanut  ","P",02/08/2015 6:12,1,1,1         ,1         ,"",0.0576,<0>  ,0.0952,<0>  ,0.0047,<0>  ,0.1798,<0>  ,0.1845,<0>  ,1.65,<0>  ,
"niwtanut  ","P",02/08/2015 6:14,1,1,1         ,2         ,"",0.0587,<0>  ,0.0907,<0>  ,0.0042,<0>  ,0.1808,<0>  ,0.185,<0>  ,1.67,<0>  ,
"niwtanut  ","P",02/27/2015 11:17,1,1,2         ,1         ,"",0.0292,<0>  ,0.0559,<0>  ,0.0040,<0>  ,0.1864,<0>  ,0.1904,<0>  ,4.21,<0>  ,
