"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"nocecwq   ","P",01/01/2020 0:00,0,1,"",13.1,<0> ,18.13,<-3> (CMD),10.8,<-3> (CMD),13.3,<-3> (CMD),1.3,<-3> (CMD),1.05,<0> ,1.06,<3> ,"",<-1> ,"","",7.0,<0> ,149,<1> [STS] (CMD),36.5,<1> [SCS] (CMD),
"nocecwq   ","P",01/01/2020 0:15,0,1,"",13.1,<0> ,18.09,<-3> (CMD),10.7,<-3> (CMD),23.0,<-3> (CMD),2.3,<-3> (CMD),1.07,<0> ,1.08,<3> ,"",<-1> ,"","",7.0,<0> ,168,<1> [STS] (CMD),35.2,<1> [SCS] (CMD),
"nocecwq   ","P",01/01/2020 0:30,0,1,"",13.1,<0> ,18.07,<-3> (CMD),10.7,<-3> (CMD),22.7,<-3> (CMD),2.2,<-3> (CMD),1.09,<0> ,1.09,<3> ,"",<-1> ,"","",7.0,<0> ,171,<1> [STS] (CMD),46.1,<1> [SCS] (CMD),
"nocecwq   ","P",01/01/2020 0:45,0,1,"",13.1,<0> ,18.04,<-3> (CMD),10.7,<-3> (CMD),12.6,<-3> (CMD),1.2,<-3> (CMD),1.09,<0> ,1.10,<3> ,"",<-1> ,"","",6.9,<0> ,194,<1> [STS] (CMD),43.7,<1> [SCS] (CMD),
"nocecwq   ","P",01/01/2020 1:00,0,1,"",13.0,<0> ,18.02,<-3> (CMD),10.7,<-3> (CMD),10.0,<-3> (CMD),1.0,<-3> (CMD),1.09,<0> ,1.10,<3> ,"",<-1> ,"","",6.9,<0> ,214,<1> [STS] (CMD),52.4,<1> [SCS] (CMD),
"nocecwq   ","P",01/01/2020 1:15,0,1,"",13.0,<0> ,18.01,<-3> (CMD),10.7,<-3> (CMD),4.9,<-3> (CMD),0.5,<-3> (CMD),1.08,<0> ,1.09,<3> ,"",<-1> ,"","",6.9,<0> ,228,<1> [STS] (CMD),45.5,<1> [SCS] (CMD),
"nocecwq   ","P",01/01/2020 1:30,0,1,"",12.9,<0> ,17.97,<-3> (CMD),10.7,<-3> (CMD),5.2,<-3> (CMD),0.5,<-3> (CMD),1.06,<0> ,1.07,<3> ,"",<-1> ,"","",6.9,<0> ,259,<1> [STS] (CMD),52.3,<1> [SCS] (CMD),
"nocecwq   ","P",01/01/2020 1:45,0,1,"",12.9,<0> ,17.93,<-3> (CMD),10.6,<-3> (CMD),12.9,<-3> (CMD),1.3,<-3> (CMD),1.03,<0> ,1.04,<3> ,"",<-1> ,"","",6.9,<0> ,282,<1> [STS] (CMD),39.8,<1> [SCS] (CMD),
"nocecwq   ","P",01/01/2020 2:00,0,1,"",12.8,<0> ,17.87,<-3> (CMD),10.6,<-3> (CMD),4.1,<-3> (CMD),0.4,<-3> (CMD),0.99,<0> ,1.00,<3> ,"",<-1> ,"","",6.9,<0> ,322,<1> [STS] (CMD),43.5,<1> [SCS] (CMD),
"nocecwq   ","P",01/01/2020 2:15,0,1,"",12.8,<0> ,17.82,<-3> (CMD),10.6,<-3> (CMD),9.8,<-3> (CMD),1.0,<-3> (CMD),0.95,<0> ,0.96,<3> ,"",<-1> ,"","",6.9,<0> ,278,<1> [STS] (CMD),37.2,<1> [SCS] (CMD),
"nocecwq   ","P",01/01/2020 2:30,0,1,"",12.7,<0> ,17.79,<-3> (CMD),10.5,<-3> (CMD),28.6,<-3> (CMD),2.8,<-3> (CMD),0.91,<0> ,0.92,<3> ,"",<-1> ,"","",6.9,<0> ,300,<1> [STS] (CMD),51.9,<1> [SCS] (CMD),
"nocecwq   ","P",01/01/2020 2:45,0,1,"",12.7,<0> ,17.76,<-3> (CMD),10.5,<-3> (CMD),5.2,<-3> (CMD),0.5,<-3> (CMD),0.86,<0> ,0.86,<3> ,"",<-1> ,"","",7.0,<0> ,273,<1> [STS] (CMD),62.1,<1> [SCS] (CMD),
"nocecwq   ","P",01/01/2020 3:00,0,1,"",12.7,<0> ,17.70,<-3> (CMD),10.5,<-3> (CMD),15.3,<-3> (CMD),1.5,<-3> (CMD),0.82,<0> ,0.82,<3> ,"",<-1> ,"","",7.0,<0> ,304,<1> [STS] (CMD),72.3,<1> [SCS] (CMD),
"nocecwq   ","P",01/01/2020 3:15,0,1,"",12.6,<0> ,17.70,<-3> (CMD),10.5,<-3> (CMD),9.7,<-3> (CMD),1.0,<-3> (CMD),0.78,<0> ,0.78,<3> ,"",<-1> ,"","",7.0,<0> ,445,<1> [STS] (CMD),72.3,<1> [SCS] (CMD),
"nocecwq   ","P",01/01/2020 3:30,0,1,"",12.5,<0> ,17.67,<-3> (CMD),10.5,<-3> (CMD),13.0,<-3> (CMD),1.3,<-3> (CMD),0.73,<0> ,0.73,<3> ,"",<-1> ,"","",7.0,<0> ,451,<1> [STS] (CMD),88.0,<1> [SCS] (CMD),
"nocecwq   ","P",01/01/2020 3:45,0,1,"",12.4,<0> ,17.61,<-3> (CMD),10.4,<-3> (CMD),20.7,<-3> (CMD),2.1,<-3> (CMD),0.68,<0> ,0.68,<3> ,"",<-1> ,"","",7.0,<0> ,424,<1> [STS] (CMD),39.2,<1> [SCS] (CMD),
"nocecwq   ","P",01/01/2020 4:00,0,1,"",12.3,<0> ,17.58,<-3> (CMD),10.4,<-3> (CMD),7.4,<-3> (CMD),0.7,<-3> (CMD),0.64,<0> ,0.64,<3> ,"",<-1> ,"","",7.0,<0> ,383,<1> [STS] (CMD),56.6,<1> [SCS] (CMD),
"nocecwq   ","P",01/01/2020 4:15,0,1,"",12.1,<0> ,17.57,<-3> (CMD),10.4,<-3> (CMD),6.1,<-3> (CMD),0.6,<-3> (CMD),0.59,<0> ,0.59,<3> ,"",<-1> ,"","",7.0,<0> ,375,<1> [STS] (CMD),43.5,<1> [SCS] (CMD),
"nocecwq   ","P",01/01/2020 4:30,0,1,"",11.9,<0> ,17.51,<-3> (CMD),10.4,<-3> (CMD),6.0,<-3> (CMD),0.6,<-3> (CMD),0.55,<0> ,0.55,<3> ,"",<-1> ,"","",7.0,<0> ,473,<1> [STS] (CMD),56.8,<1> [SCS] (CMD),
"nocecwq   ","P",01/01/2020 4:45,0,1,"",11.8,<0> ,17.49,<-3> (CMD),10.3,<-3> (CMD),5.0,<-3> (CMD),0.5,<-3> (CMD),0.51,<0> ,0.51,<3> ,"",<-1> ,"","",7.0,<0> ,693,<1> [STS] (CMD),57.2,<1> [SCS] (CMD),
