"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"nocrcnut  ","P",01/24/2018 12:19,0,1,2         ,1         ,"",0.0029,<0>  ,0.0321,<0>  ,0.0016,<-4> [SBL] ,0.0039,<-4> [SCB] ,0.0055,<-4> [SBL] ,2.97,<0>  ,
"nocrcnut  ","P",01/24/2018 13:45,0,1,1         ,1         ,"",0.0020,<0>  ,0.033,<0>  ,0.0016,<-4> [SBL] ,0.0174,<-4> [SCB] ,0.019,<0>  ,2.55,<0>  ,
"nocrcnut  ","P",01/24/2018 14:23,0,1,2         ,1         ,"",0.0025,<0>  ,0.039,<0>  ,0.0016,<-4> [SBL] ,0.0143,<-4> [SCB] ,0.0159,<0>  ,3.09,<0>  ,
"nocrcnut  ","P",01/24/2018 16:27,0,1,2         ,1         ,"",0.0027,<0>  ,0.0315,<0>  ,0.0016,<-4> [SBL] ,0.0149,<-4> [SCB] ,0.0165,<0>  ,3.5,<0>  ,
"nocrcnut  ","P",01/24/2018 18:31,0,1,2         ,1         ,"",0.0056,<0>  ,0.0584,<0>  ,0.0016,<-4> [SBL] ,0.0127,<-4> [SCB] ,0.0143,<0>  ,3.92,<0>  ,
"nocrcnut  ","P",01/24/2018 20:35,0,1,2         ,1         ,"",0.0035,<0>  ,0.0434,<0>  ,0.0016,<-4> [SBL] ,0.0136,<-4> [SCB] ,0.0152,<0>  ,3.28,<0>  ,
"nocrcnut  ","P",01/24/2018 22:39,0,1,2         ,1         ,"",0.0024,<0>  ,0.0303,<0>  ,0.0016,<-4> [SBL] ,0.0111,<-4> [SCB] ,0.0127,<0>  ,4.87,<0>  ,
"nocrcnut  ","P",01/25/2018 0:43,0,1,2         ,1         ,"",0.0018,<0>  ,0.0285,<0>  ,0.0016,<-4> [SBL] ,0.0039,<-4> [SCB] ,0.0055,<-4> [SBL] ,3.22,<0>  ,
"nocrcnut  ","P",01/25/2018 2:47,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.057,<0>  ,0.0016,<-4> [SBL] ,0.0163,<-4> [SCB] ,0.0179,<0>  ,3.21,<0>  ,
"nocrcnut  ","P",01/25/2018 4:51,0,1,2         ,1         ,"",0.0023,<0>  ,0.0342,<0>  ,0.0016,<-4> [SBL] ,0.0122,<-4> [SCB] ,0.0138,<0>  ,4.03,<0>  ,
