event,parameter,station,date,min,max,mean,median,total,station_name
Florence,atemp,niwolmet,2018-09-12,77,85.1,81.1613157894737,82.67,NA,Oyster Landing (OL)
Florence,atemp,niwolmet,2018-09-13,75.56,85.1,80.181875,79.88,NA,Oyster Landing (OL)
Florence,atemp,niwolmet,2018-09-14,74.3,83.12,77.76125,77.63,NA,Oyster Landing (OL)
Florence,atemp,niwolmet,2018-09-15,73.04,76.46,74.598125,74.3,NA,Oyster Landing (OL)
Florence,atemp,niwolmet,2018-09-16,75.74,82.94,79.55375,79.97,NA,Oyster Landing (OL)
Florence,atemp,niwolmet,2018-09-17,76.64,84.74,80.778125,80.96,NA,Oyster Landing (OL)
Florence,atemp,niwolmet,2018-09-18,74.84,90.14,81.99875,80.69,NA,Oyster Landing (OL)
Florence,atemp,niwolmet,2018-09-19,76.46,84.74,81.018125,80.96,NA,Oyster Landing (OL)
Florence,atemp,niwolmet,2018-09-20,75.38,81.68,78.14,77.36,NA,Oyster Landing (OL)
Florence,bp,niwolmet,2018-09-12,30.0023623907394,30.090952043468,30.0555938925983,30.0614221592251,NA,Oyster Landing (OL)
Florence,bp,niwolmet,2018-09-13,29.7956532010395,30.0318922749823,29.9442254311363,29.9728325064966,NA,Oyster Landing (OL)
Florence,bp,niwolmet,2018-09-14,29.3527049373966,29.8251830852823,29.5907896291047,29.5889440113395,NA,Oyster Landing (OL)
Florence,bp,niwolmet,2018-09-15,29.2641152846681,29.5594141270966,29.3997681904087,29.3674698795181,NA,Oyster Landing (OL)
Florence,bp,niwolmet,2018-09-16,29.5889440113395,29.9137727380109,29.756280022049,29.7661233167966,NA,Oyster Landing (OL)
Florence,bp,niwolmet,2018-09-17,29.9137727380109,30.0023623907394,29.9623740058272,29.9433026222537,NA,Oyster Landing (OL)
Florence,bp,niwolmet,2018-09-18,29.8547129695252,29.9728325064966,29.9266920623671,29.9433026222537,NA,Oyster Landing (OL)
Florence,bp,niwolmet,2018-09-19,29.8547129695252,29.9728325064966,29.9230008268368,29.9137727380109,NA,Oyster Landing (OL)
Florence,bp,niwolmet,2018-09-20,29.9728325064966,30.0318922749823,30.0051747606673,30.0023623907394,NA,Oyster Landing (OL)
