event,parameter,station,date,min,max,mean,median,station_name
Florence,cdepth,niwcbwq,2018-09-12,2.7559056,8.3005252,5.26963340526316,5.0688978,Clambank (CB)
Florence,cdepth,niwcbwq,2018-09-13,2.7230972,8.0052496,5.6912321375,5.8727036,Clambank (CB)
Florence,cdepth,niwcbwq,2018-09-14,0.656168,6.4632548,3.64241590833333,3.8057744,Clambank (CB)
Florence,cdepth,niwcbwq,2018-09-15,1.3451444,8.2349084,5.29411379583333,5.3805776,Clambank (CB)
Florence,cdepth,niwcbwq,2018-09-16,4.2979004,8.1364832,6.18609217083333,6.1679792,Clambank (CB)
Florence,cdepth,niwcbwq,2018-09-17,3.3136484,6.8569556,5.28249415416667,5.2821524,Clambank (CB)
Florence,cdepth,niwcbwq,2018-09-18,2.3622048,6.0367456,4.26953480416667,4.3963256,Clambank (CB)
Florence,cdepth,niwcbwq,2018-09-19,2.2309712,6.3648296,4.1943488875,4.183071,Clambank (CB)
Florence,cdepth,niwcbwq,2018-09-20,2.3950132,4.92126,3.27615308571429,2.9855644,Clambank (CB)
Florence,cdepth,niwdcwq,2018-09-12,6.397638,11.8766408,8.98432132631579,8.8910764,Debidue Creek (DC)
Florence,cdepth,niwdcwq,2018-09-13,6.397638,11.6141736,9.37089925,9.5472444,Debidue Creek (DC)
Florence,cdepth,niwdcwq,2018-09-14,4.429134,10.1049872,7.44340575,7.6607614,Debidue Creek (DC)
Florence,cdepth,niwdcwq,2018-09-15,5.1509188,11.975066,9.10603977083333,9.1699478,Debidue Creek (DC)
Florence,cdepth,niwdcwq,2018-09-16,7.9724412,11.8766408,9.86986033333333,9.8589242,Debidue Creek (DC)
Florence,cdepth,niwdcwq,2018-09-17,7.0209976,10.5643048,9.0951036375,9.0879268,Debidue Creek (DC)
Florence,cdepth,niwdcwq,2018-09-18,6.3648296,10.1049872,8.3333336,8.448163,Debidue Creek (DC)
Florence,cdepth,niwdcwq,2018-09-19,6.2992128,10.4658796,8.30941080833333,8.3169294,Debidue Creek (DC)
Florence,cdepth,niwdcwq,2018-09-20,6.5288716,9.2519688,7.58967653333333,7.217848,Debidue Creek (DC)
Florence,cdepth,niwolwq,2018-09-17,5.7742784,8.0052496,7.16681271111111,7.3162732,Oyster Landing (OL)
Florence,cdepth,niwolwq,2018-09-18,3.8385828,7.545932,5.77462015416667,5.8891078,Oyster Landing (OL)
Florence,cdepth,niwolwq,2018-09-19,3.7073492,7.9068244,5.7404447375,5.7742784,Oyster Landing (OL)
Florence,cdepth,niwolwq,2018-09-20,3.937008,6.7585304,4.9884391047619,4.593176,Oyster Landing (OL)
Florence,cdepth,niwtawq,2018-09-12,6.7913388,10.66273,8.47406436842105,8.3005252,Thousand Acre (TA)
Florence,cdepth,niwtawq,2018-09-13,6.725722,10.4658796,8.82580135416667,8.940289,Thousand Acre (TA)
Florence,cdepth,niwtawq,2018-09-14,5.1181104,9.514436,7.109170175,7.0209976,Thousand Acre (TA)
Florence,cdepth,niwtawq,2018-09-15,5.4461944,10.7939636,8.35383885,8.4809714,Thousand Acre (TA)
Florence,cdepth,niwtawq,2018-09-16,7.8412076,10.9580056,9.43412377083333,9.5472444,Thousand Acre (TA)
Florence,cdepth,niwtawq,2018-09-17,7.4146984,10.1377956,8.9238848,8.8418638,Thousand Acre (TA)
Florence,cdepth,niwtawq,2018-09-18,6.6272968,9.84252,8.19731544166667,8.0872706,Thousand Acre (TA)
Florence,cdepth,niwtawq,2018-09-19,6.5944884,10.1049872,8.18740457083333,8.1036748,Thousand Acre (TA)
Florence,cdepth,niwtawq,2018-09-20,6.7585304,9.02231,7.60373727619048,7.4475068,Thousand Acre (TA)
Florence,cdepth,niwwbwq,2018-09-12,14.6653548,18.6351712,16.4469372578947,16.2893706,Winyah Bay Bottom (WB)
Florence,cdepth,niwwbwq,2018-09-13,15.2230976,18.9632552,17.1857917791667,17.2572184,Winyah Bay Bottom (WB)
Florence,cdepth,niwwbwq,2018-09-14,14.0419952,18.3398956,16.1260121083333,16.0433076,Winyah Bay Bottom (WB)
Florence,cdepth,niwwbwq,2018-09-15,14.4028876,19.2257224,17.256680557377,17.4212604,Winyah Bay Bottom (WB)
Florence,cdepth,niwwbwq,2018-09-18,16.6010504,17.8477696,17.4321965333333,17.5853024,Winyah Bay Bottom (WB)
Florence,cdepth,niwwbwq,2018-09-19,14.5341212,18.04462,16.1348977166667,16.0104992,Winyah Bay Bottom (WB)
Florence,cdepth,niwwbwq,2018-09-20,14.6325464,17.060368,15.5777407809524,15.419948,Winyah Bay Bottom (WB)
