"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"acefcnut  ","P",01/03/2019 11:52,0,1,1         ,1         ,"",0.076,<0>  ,0.031,<0>  ,"","","","",0.0268,<0>  ,4.1,<0>  ,
"acefcnut  ","P",01/03/2019 11:53,0,1,1         ,2         ,"",0.0755,<0>  ,0.031,<0>  ,"","","","",0.0234,<0>  ,4.6,<0>  ,
"acefcnut  ","P",02/04/2019 11:55,0,1,1         ,1         ,"",0.0182,<0>  ,0.013,<0>  ,"","","","",0.0641,<0>  ,4.8,<0>  ,
"acefcnut  ","P",02/04/2019 11:56,0,1,1         ,2         ,"",0.0182,<0>  ,0.014,<0>  ,"","","","",0.067,<0>  ,4.6,<0>  ,
"acefcnut  ","P",03/04/2019 12:11,0,1,1         ,1         ,"",0.0418,<0>  ,0.033,<0>  ,"","","","",0.0426,<0>  ,6.2,<0>  ,
"acefcnut  ","P",03/04/2019 12:13,0,1,1         ,2         ,"",0.0426,<0>  ,0.029,<0>  ,"","","","",0.0447,<0>  ,6.2,<0>  ,
"acefcnut  ","P",04/01/2019 11:13,0,1,1         ,1         ,"",0.0518,<0>  ,0.019,<0>  ,"","","","",0.0542,<0>  ,18.7,<0>  ,
"acefcnut  ","P",04/01/2019 11:14,0,1,1         ,2         ,"",0.0521,<0>  ,0.019,<0>  ,"","","","",0.0557,<0>  ,20.2,<0>  ,
"acefcnut  ","P",05/01/2019 12:05,0,1,1         ,1         ,"",0.0613,<1> [GSM] (CHB) ,0.063,<1> [GSM] (CHB) ,"","","","",0.0799,<1> [GSM] (CHB) ,34.7,<0>  ,
"acefcnut  ","P",05/01/2019 12:06,0,1,1         ,2         ,"",0.0608,<1> [GSM] (CHB) ,0.067,<1> [GSM] (CHB) ,"","","","",0.0757,<1> [GSM] (CHB) ,32.9,<0>  ,
"acefcnut  ","P",06/13/2019 10:37,0,1,1         ,1         ,"",0.0502,<1> [GSM] (CHB) ,0.071,<1> [GSM] (CHB) ,"","","","",0.0453,<0>  ,9.0,<0>  ,
"acefcnut  ","P",06/13/2019 10:38,0,1,1         ,2         ,"",0.0536,<1> [GSM] (CHB) ,0.078,<1> [GSM] (CHB) ,"","","","",0.0474,<0>  ,9.4,<0>  ,
"acefcnut  ","P",07/11/2019 8:46,0,1,1         ,1         ,"",0.0829,<0>  ,0.078,<0>  ,"","","","",0.0515,<0>  ,11.7,<0>  ,
"acefcnut  ","P",07/11/2019 8:47,0,1,1         ,2         ,"",0.0836,<0>  ,0.077,<0>  ,"","","","",0.05,<0>  ,11.2,<0>  ,
"acefcnut  ","P",08/12/2019 10:41,0,1,1         ,1         ,"",0.0859,<0>  ,0.059,<0>  ,"","","","",0.116,<0>  ,30.8,<0>  ,
"acefcnut  ","P",08/12/2019 10:42,0,1,1         ,2         ,"",0.0804,<0>  ,0.051,<0>  ,"","","","",0.0941,<0>  ,38.3,<0>  ,
"acefcnut  ","P",09/10/2019 10:47,0,1,1         ,1         ,"",0.1181,<0>  ,0.099,<0>  ,"","","","",0.0915,<0>  ,20.2,<0>  ,
"acefcnut  ","P",09/10/2019 10:48,0,1,1         ,2         ,"",0.1225,<0>  ,0.111,<0>  ,"","","","",0.0867,<0>  ,19.9,<0>  ,
"acefcnut  ","P",10/08/2019 9:42,0,1,1         ,1         ,"",0.0955,<1> [GSM] (CHB) ,0.033,<1> [GSM] (CHB) ,"","","","",0.0541,<1> [SRD] (CHB) ,11.1,<0>  ,
"acefcnut  ","P",10/08/2019 9:43,0,1,1         ,2         ,"",0.0979,<1> [GSM] (CHB) ,0.032,<1> [GSM] (CHB) ,"","","","",0.0317,<1> [SRD] (CHB) ,11.1,<0>  ,
"acefcnut  ","P",11/07/2019 9:49,0,1,1         ,1         ,"",0.0797,<0>  ,0.024,<0>  ,"","","","",0.024,<0>  ,17.6,<0>  ,
"acefcnut  ","P",11/07/2019 9:50,0,1,1         ,2         ,"",0.0795,<0>  ,0.027,<0>  ,"","","","",0.0438,<0>  ,17.6,<0>  ,
"acefcnut  ","P",12/09/2019 12:11,0,1,1         ,1         ,"",0.0858,<0>  ,0.024,<0>  ,"","","","",0.0219,<0>  ,8.0,<0>  ,
"acefcnut  ","P",12/09/2019 12:13,0,1,1         ,2         ,"",0.0892,<0>  ,0.026,<0>  ,"","","","",0.0205,<0>  ,7.0,<0>  ,

