"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"acemcnut  ","P",01/03/2019 10:34,0,1,1         ,1         ,"",0.0565,<0>  ,0.038,<0>  ,"","","","",0.0225,<0>  ,3.6,<0>  ,
"acemcnut  ","P",01/03/2019 10:35,0,1,1         ,2         ,"",0.0573,<0>  ,0.036,<0>  ,"","","","",0.0344,<0>  ,3.7,<0>  ,
"acemcnut  ","P",02/04/2019 13:38,0,1,1         ,1         ,"",0.0406,<0>  ,0.031,<0>  ,"","","","",0.0284,<0>  ,6.2,<0>  ,
"acemcnut  ","P",02/04/2019 13:39,0,1,1         ,2         ,"",0.0401,<0>  ,0.031,<0>  ,"","","","",0.0304,<1> [GSM] (CHB) ,6.7,<0>  ,
"acemcnut  ","P",03/04/2019 11:02,0,1,1         ,1         ,"",0.0281,<0>  ,0.034,<0>  ,"","","","",0.0702,<1> [SRD] (CSM) ,5.8,<0>  ,
"acemcnut  ","P",03/04/2019 11:03,0,1,1         ,2         ,"",0.028,<0>  ,0.034,<0>  ,"","","","",0.0287,<1> [SRD] (CSM) ,6.0,<0>  ,
"acemcnut  ","P",04/01/2019 9:45,0,1,1         ,1         ,"",0.0243,<0>  ,0.011,<0>  ,"","","","",0.0107,<0>  ,12.0,<0>  ,
"acemcnut  ","P",04/01/2019 9:46,0,1,1         ,2         ,"",0.0248,<0>  ,0.012,<0>  ,"","","","",0.0116,<0>  ,12.7,<0>  ,
"acemcnut  ","P",05/01/2019 10:52,0,1,1         ,1         ,"",0.0323,<1> [GSM] (CHB) ,0.037,<1> [GSM] (CHB) ,"","","","",0.0474,<1> [GSM] (CHB) ,8.5,<0>  ,
"acemcnut  ","P",05/01/2019 10:53,0,1,1         ,2         ,"",0.0311,<1> [GSM] (CHB) ,0.034,<1> [GSM] (CHB) ,"","","","",0.0371,<0>  ,8.2,<0>  ,
"acemcnut  ","P",06/13/2019 9:02,0,1,1         ,1         ,"",0.039,<1> [GSM] (CHB) ,0.054,<1> [GSM] (CHB) ,"","","","",0.0268,<0>  ,4.4,<0>  ,
"acemcnut  ","P",06/13/2019 9:03,0,1,1         ,2         ,"",0.0377,<1> [GSM] (CHB) ,0.055,<1> [GSM] (CHB) ,"","","","",0.0341,<0>  ,4.6,<0>  ,
"acemcnut  ","P",07/11/2019 7:31,0,1,1         ,1         ,"",0.0393,<0>  ,0.013,<-4> [SBL] ,"","","","",0.0782,<0>  ,8.0,<0>  ,
"acemcnut  ","P",07/11/2019 7:32,0,1,1         ,2         ,"",0.0512,<0>  ,0.013,<-4> [SBL] ,"","","","",0.116,<0>  ,7.8,<0>  ,
"acemcnut  ","P",08/12/2019 9:28,0,1,1         ,1         ,"",0.0615,<1> [GSM] (CLE) ,0.013,<-4> [SBL] (CLE) ,"","","","",0.163,<1> [GSM] (CLE) ,6.0,<1> [GSM] (CLE) ,
"acemcnut  ","P",08/12/2019 9:29,0,1,1         ,2         ,"",0.0643,<1> [GSM] (CLE) ,0.013,<-4> [SBL] (CLE) ,"","","","",0.118,<1> [GSM] (CLE) ,8.6,<1> [GSM] (CLE) ,
"acemcnut  ","P",09/10/2019 9:26,0,1,1         ,1         ,"",0.0753,<0>  ,0.033,<0>  ,"","","","",0.132,<0>  ,6.0,<0>  ,
"acemcnut  ","P",09/10/2019 9:27,0,1,1         ,2         ,"",0.0755,<0>  ,0.042,<0>  ,"","","","",0.128,<0>  ,6.6,<0>  ,
"acemcnut  ","P",10/08/2019 8:25,0,1,1         ,1         ,"",0.0678,<1> [GSM] (CHB) ,0.042,<1> [GSM] (CHB) ,"","","","",0.0413,<1> [GSM] (CHB) ,4.6,<0>  ,
"acemcnut  ","P",10/08/2019 8:26,0,1,1         ,2         ,"",0.0685,<1> [GSM] (CHB) ,0.04,<1> [GSM] (CHB) ,"","","","",0.0391,<1> [GSM] (CHB) ,5.0,<0>  ,
"acemcnut  ","P",11/07/2019 8:15,0,1,1         ,1         ,"",0.0535,<0>  ,0.034,<0>  ,"","","","",0.0602,<0>  ,5.4,<0>  ,
"acemcnut  ","P",11/07/2019 8:16,0,1,1         ,2         ,"",0.0531,<0>  ,0.033,<0>  ,"","","","",0.0565,<0>  ,6.1,<0>  ,
"acemcnut  ","P",12/09/2019 10:06,0,1,1         ,1         ,"",0.0462,<0>  ,0.013,<-4> [SBL] ,"","","","",0.0229,<0>  ,7.2,<0>  ,
"acemcnut  ","P",12/09/2019 10:08,0,1,1         ,2         ,"",0.0456,<0>  ,0.014,<0>  ,"","","","",0.0259,<0>  ,9.2,<0>  ,

