"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"acespnut  ","P",01/03/2019 9:40,0,1,1         ,1         ,"",0.0204,<0>  ,0.037,<0>  ,"","","","",0.0196,<0>  ,5.4,<0>  ,
"acespnut  ","P",01/03/2019 9:41,0,1,1         ,2         ,"",0.021,<0>  ,0.037,<0>  ,"","","","",0.0251,<0>  ,5.4,<0>  ,
"acespnut  ","P",01/03/2019 12:39,0,1,2         ,1         ,"",0.045,<0>  ,0.074,<0>  ,"","","","",0.0504,<0>  ,3.8,<0>  ,
"acespnut  ","P",01/03/2019 14:43,0,1,2         ,1         ,"",0.0179,<0>  ,0.037,<0>  ,"","","","",0.0392,<0>  ,7.8,<0>  ,
"acespnut  ","P",01/03/2019 16:47,0,1,2         ,1         ,"",0.0126,<0>  ,0.022,<0>  ,"","","","",0.0274,<0>  ,7.9,<0>  ,
"acespnut  ","P",01/03/2019 18:51,0,1,2         ,1         ,"",0.0103,<0>  ,0.015,<0>  ,"","","","",0.0163,<0>  ,6.5,<0>  ,
"acespnut  ","P",01/03/2019 20:55,0,1,2         ,1         ,"",0.0164,<0>  ,0.04,<0>  ,"","","","",0.0241,<0>  ,6.6,<0>  ,
"acespnut  ","P",01/03/2019 22:59,0,1,2         ,1         ,"",0.0369,<0>  ,0.082,<0>  ,"","","","",0.0288,<0>  ,3.8,<0>  ,
"acespnut  ","P",01/04/2019 1:03,0,1,2         ,1         ,"",0.0533,<0>  ,0.117,<0>  ,"","","","",0.032,<0>  ,3.1,<0>  ,
"acespnut  ","P",01/04/2019 3:07,0,1,2         ,1         ,"",0.017,<0>  ,0.038,<0>  ,"","","","",0.0298,<0>  ,5.4,<0>  ,
"acespnut  ","P",01/04/2019 5:11,0,1,2         ,1         ,"",0.0158,<0>  ,0.016,<0>  ,"","","","",0.0135,<0>  ,12.7,<0>  ,
"acespnut  ","P",01/04/2019 7:15,0,1,2         ,1         ,"",0.0063,<0>  ,0.012,<0>  ,"","","","",0.0117,<0>  ,9.4,<0>  ,
"acespnut  ","P",01/04/2019 9:19,0,1,2         ,1         ,"",0.0146,<0>  ,0.02,<0>  ,"","","","",0.0101,<0>  ,6.7,<0>  ,
"acespnut  ","P",01/04/2019 11:23,0,1,2         ,1         ,"",0.0274,<0>  ,0.052,<0>  ,"","","","",0.0184,<0>  ,5.3,<0>  ,
"acespnut  ","P",01/04/2019 13:27,0,1,2         ,1         ,"",0.0421,<0>  ,0.08,<0>  ,"","","","",0.0213,<0>  ,4.0,<0>  ,
"acespnut  ","P",02/04/2019 12:53,0,1,1         ,1         ,"",0.0213,<0>  ,0.018,<0>  ,"","","","",0.0187,<1> [SRD] (CHB) ,4.5,<0>  ,
"acespnut  ","P",02/04/2019 12:54,0,1,1         ,2         ,"",0.0213,<0>  ,0.018,<0>  ,"","","","",0.0088,<1> [SRD] (CHB) ,3.8,<0>  ,
"acespnut  ","P",02/05/2019 2:24,0,1,2         ,1         ,"",0.0254,<0>  ,0.048,<0>  ,"","","","",0.0316,<0>  ,3.0,<0>  ,
"acespnut  ","P",02/05/2019 4:28,0,1,2         ,1         ,"",0.0108,<0>  ,0.017,<0>  ,"","","","",0.0354,<0>  ,6.0,<0>  ,
"acespnut  ","P",02/05/2019 6:32,0,1,2         ,1         ,"",0.0054,<0>  ,0.0090,<0>  ,"","","","",0.01,<1> [GSM] (CHB) ,15.8,<0>  ,
"acespnut  ","P",02/05/2019 8:36,0,1,2         ,1         ,"",0.0028,<0>  ,0.0060,<0>  ,"","","","",0.0058,<1> [GSM] (CHB) ,12.7,<0>  ,
"acespnut  ","P",02/05/2019 10:40,0,1,2         ,1         ,"",0.0047,<0>  ,0.0080,<0>  ,"","","","",0.0043,<1> [GSM] (CHB) ,11.0,<0>  ,
"acespnut  ","P",02/05/2019 12:44,0,1,2         ,1         ,"",0.0147,<0>  ,0.02,<0>  ,"","","","",0.0139,<1> [GSM] (CHB) ,6.2,<0>  ,
"acespnut  ","P",02/05/2019 14:48,0,1,2         ,1         ,"",0.0236,<0>  ,0.032,<0>  ,"","","","",0.0149,<1> [GSM] (CHB) ,4.1,<0>  ,
"acespnut  ","P",02/05/2019 16:52,0,1,2         ,1         ,"",0.0115,<0>  ,0.013,<0>  ,"","","","",0.0288,<1> [GSM] (CHB) ,9.7,<0>  ,
