"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"delbbnut  ","S",01/13/2020 8:35,0,1,1         ,1         ,"",0.018,<0>  ,0.155,<1> (CHB) ,0.0070,<1> (CSM) ,0.216,<1> [GQS] ,0.223,<0>  ,37.6,<0>  ,
"delbbnut  ","S",02/25/2020 8:11,0,1,1         ,1         ,"",0.012,<0>  ,0.096,<0>  ,0.0040,<-4> [SBL] ,"",<-4> [SCB] ,0.396,<0>  ,11.6,<0>  ,
"delbbnut  ","S",03/02/2020 8:41,0,1,1         ,1         ,"",0.025,<0>  ,0.189,<0>  ,0.013,<0>  ,0.699,<0>  ,0.712,<0>  ,26.4,<0>  ,
"delbbnut  ","S",04/28/2020 10:28,0,1,1         ,1         ,"",0.017,<0>  ,0.056,<0>  ,0.01,<0>  ,0.206,<0>  ,0.216,<0>  ,7.1,<0>  ,
"delbbnut  ","S",05/26/2020 8:25,0,1,1         ,1         ,"",0.019,<0>  ,0.084,<0>  ,0.0090,<1> (CSM) ,0.123,<1> [GQS] ,0.132,<0>  ,36.7,<0>  ,
"delbbnut  ","S",06/08/2020 8:22,0,1,1         ,1         ,"",0.02,<0>  ,0.133,<1> (CHB) ,0.011,<0>  ,0.116,<0>  ,0.127,<0>  ,50.9,<0>  ,
"delbbnut  ","S",07/06/2020 7:40,0,1,1         ,1         ,"",0.0060,<1> (CSM) ,0.02,<1> (CSM) ,0.0060,<1> (CSM) ,0.011,<1> [GQS] ,0.017,<1> (CSM) ,83.0,<0>  ,
"delbbnut  ","S",08/10/2020 7:46,0,1,1         ,1         ,"",0.032,<0>  ,0.032,<0>  ,0.0040,<1> (CSM) ,0.011,<1> [GQS] ,0.015,<1> (CSM) ,151.0,<0>  ,
"delbbnut  ","S",09/08/2020 8:03,0,1,1         ,1         ,"",0.014,<0>  ,0.044,<0>  ,0.0040,<-4> [SBL] ,"",<-4> [SCB] ,0.013,<0>  ,142.0,<0>  ,
"delbbnut  ","S",10/05/2020 8:36,0,1,1         ,1         ,"",0.02,<0>  ,0.019,<1> (CSM) ,0.0060,<1> (CSM) ,0.155,<1> [GQS] ,0.161,<0>  ,531.0,<1> (CSM) ,
"delbbnut  ","S",11/09/2020 9:13,0,1,1         ,1         ,"",0.04,<0>  ,0.185,<1> (CHB) ,0.0090,<1> (CSM) ,0.435,<1> [GQS] ,0.444,<0>  ,7.6,<0>  ,
"delbbnut  ","S",12/07/2020 6:57,0,1,1         ,1         ,"",0.072,<0>  ,0.053,<0>  ,0.011,<1> (CHB) ,0.408,<1> (CHB) ,0.419,<1> (CHB) ,1.2,<0>  ,

